"uuid:ID","name","instanceType","label","description","id"
"b3a2268a-1124-4565-bcf3-bd740cc9bf56","E1","Encounter","Screening 1","Screening encounter","Encounter_1"
"af4bdf2a-095a-460a-9b24-e931f855e499","E2","Encounter","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter_2"
"cedc8860-bde6-46ed-8efc-8f8751296371","E3","Encounter","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter_3"
"44a23067-479b-4841-b7cc-93c5186206cb","E4","Encounter","Week 2","Day 14","Encounter_4"
"ebcfca3e-011a-4c46-a7f0-7599909d33ec","E5","Encounter","Week 4","Day 28","Encounter_5"
"6b8ae492-1dc7-4c1e-b265-aea35a6beaa4","E7","Encounter","Week 6","Day 42","Encounter_6"
"959e3500-b1ea-4bfb-adf1-6307c28d6725","E8","Encounter","Week 8","Day 56","Encounter_7"
"5aa8fde7-a780-4a58-b3dd-97626b5bc06f","E9","Encounter","Week 12","Day 84","Encounter_8"
"7245a854-214b-47a3-8432-fa3abbd283f2","E10","Encounter","Week 16","Day 112","Encounter_9"
"d5d15ac0-0ce3-4434-80fc-6566aabca5d4","E11","Encounter","Week 20","Day 140","Encounter_10"
"b5aadb80-fb8f-463a-b6d6-67552423365f","E12","Encounter","Week 24","Day 168","Encounter_11"
"0b6ab796-a797-4694-84c3-0de8b1460300","E13","Encounter","Week 26","Day 182","Encounter_12"
