"uuid:ID","decode","instanceType","code","id","codeSystem","codeSystemVersion"
"dccb9cb0-20cb-48a9-842b-9cbb4ab96c04","Interventional Study","Code","C98388","Code_1","http://www.cdisc.org","2023-09-29"
"98a43d3a-5c1a-411d-9ca7-6e8980f2113f","Phase II Trial","Code","C15601","Code_2","http://www.cdisc.org","2023-09-29"
"57bb8b54-6ab9-45bb-9a0d-50f493baed0e","Sponsor Approval Date","Code","C132352","Code_9","http://www.cdisc.org","2023-09-29"
"8ddbee5a-afc4-467d-af5e-7c1f7777d7ea","Global","Code","C68846","Code_10","http://www.cdisc.org","2023-09-29"
"aa4e6aca-a87f-4962-bae6-8f377f03bb31","IRB/IEC Feedback","Code","C99904x3","Code_72","http://www.cdisc.org","2023-09-29"
"49b862e5-93e0-4ccb-a8f9-b67af82495b1","Other","Code","C17649","Code_73","http://www.cdisc.org","2023-09-29"
"100002f6-f854-4818-a515-c9f43a1b11ae","Region","Code","C41129","Code_75","http://www.cdisc.org","2023-09-29"
"220c5150-ad9b-48c2-b2c4-ac02977665f2","Europe","Code","150","Code_74","ISO 3166 1 alpha3","2020-08"
"dddbf2fc-026b-4db5-abc9-ae375a6d31a9","Eli Lilly","Code","PHARMA","Code_4","SPONSOR","12"
"fe2066a0-0f4b-4a1c-aab4-1fd877b2ab2e","Clinical Study Sponsor","Code","C70793","Code_76","http://www.cdisc.org","2023-09-29"
"77f5a1b0-4190-4348-b997-8d75d9341f4c","United States of America","Code","USA","Code_77","ISO 3166 1 alpha3","2020-08"
"c0cf098b-e5f0-496f-b399-2a482db279b6","Study Registry","Code","C93453","Code_78","http://www.cdisc.org","2023-09-29"
"94e5b2f5-245a-4ac8-85c3-054e5f1f1144","United States of America","Code","USA","Code_79","ISO 3166 1 alpha3","2020-08"
"5c29c6f1-a563-48ee-870a-cac41672a708","Treatment Study","Code","C49656","Code_137","http://www.cdisc.org","2023-09-29"
"d43b9b78-954c-4737-ac38-1302d77cf0f8","Efficacy Study","Code","C49666","Code_138","http://www.cdisc.org","2023-09-29"
"36e9b60b-6477-4095-8638-17e84c44bb09","Safety Study","Code","C49667","Code_139","http://www.cdisc.org","2023-09-29"
"2475ded7-a6bf-4463-9bfe-c37efda4806b","Pharmacokinetic Study","Code","C49663","Code_140","http://www.cdisc.org","2023-09-29"
"47a910be-1a60-438a-98ac-2a2c6fcf65bb","Mild to Moderate Alzheimer's Disease","Code","MILD_MOD_ALZ","Code_134","SPONSOR","12"
"ebd11cec-7832-4c70-a5ce-77c0eebdcd95","Alzheimer's disease","Code","26929004","Code_135","SNOMED","January 31, 2018"
"e9847521-1474-4b46-b875-45b63c740056","EXTENSION","Code","C99907x1","Code_143","http://www.cdisc.org","2023-09-29"
"c48baa57-88eb-4bde-9101-4b5595932814","ADAPTIVE","Code","C98704","Code_144","http://www.cdisc.org","2023-09-29"
"07aaf918-927b-4f6a-9dde-4dbffb4cf0ec","Parallel Study","Code","C82639","Code_141","http://www.cdisc.org","2023-09-29"
"1806954d-3593-488a-b090-167c5020b9f1","Visit","Code","C25716","Code_83","http://www.cdisc.org","2023-09-29"
"540c13ae-bdc2-4ad2-b0b4-4f428efdcdde","Clinic","Code","C51282","Code_84","http://www.cdisc.org","2023-09-29"
"57c3d6ce-db0c-4e3a-bee1-e3b8f84b2be4","In Person","Code","C175574","Code_85","http://www.cdisc.org","2023-09-29"
