"uuid:ID","name","instanceType","label","description","id"
"81c56a3c-7d38-4978-82e1-79e9eb7004ac","Informed consent","Activity","Informed consent","","Activity_1"
"1236990e-b936-49a7-98b2-46461f4092cb","Inclusion/exclusion criteria","Activity","Inclusion and exclusion criteria","","Activity_2"
"dd37def0-56d4-44ca-ab27-7a2adebaf0cd","Patient number assigned","Activity","Patient number assigned","","Activity_3"
"c4115cc8-f08a-4881-bd57-846b35df717a","Demographics","Activity","Demographics","","Activity_4"
"679aa65d-3394-4304-a766-115a068aad0f","Hachinski","Activity","Hachinski Ischemic Scale","","Activity_5"
"a609299b-8fcb-40cd-b51b-7abae87737aa","MMSE","Activity","MMSE","","Activity_6"
"8c77686a-f94f-44fb-be11-b867a1398ef3","Physical examination","Activity","Physical examination","","Activity_7"
"4470139d-6789-416c-80d4-7597eea838f7","Medical history","Activity","Medical history","","Activity_8"
"154ed174-be7c-4c6c-b7e9-b106dee4a332","Habits","Activity","Habits","","Activity_9"
"5b9847fb-360d-43c5-beac-0e7000fbf3fe","Chest X-ray","Activity","Chest X-ray","","Activity_10"
"cf2bc1ba-74fe-4441-b68b-f32910e9a428","Apo E genotyping","Activity","Apo E genotyping","","Activity_11"
"0f05bead-86e5-4df1-8861-40f39692b81f","Patient randomised","Activity","Patient randomised","","Activity_12"
"0889a1af-4128-403c-8c55-5f971cc65e00","Vital signs / Temperature","Activity","Vital Signs and Temperature","","Activity_13"
"7d33867e-bcdd-4d18-b5ab-f935aa91a552","Ambulatory ECG placed","Activity","Ambulatory ECG placed","","Activity_14"
"e9a3b612-f355-4e3a-a23b-3c3d9fd6b524","Ambulatory ECG removed","Activity","Ambulatory ECG removed","","Activity_15"
"0351ee14-4ff3-454a-9165-bb30561a3201","ECG","Activity","ECG","","Activity_16"
"68362dd0-c99d-4461-972c-bcf4873403e6","Placebo TTS test","Activity","Placebo TTS test","","Activity_17"
"decab225-0469-453b-9fcc-f8eba1a3b1fa","CT scan","Activity","CT scan","","Activity_18"
"f863179f-df7a-465c-b1e8-8a712bb1b921","Concomitant medications","Activity","Concomitant medications","","Activity_19"
"6c56ddae-12ff-4968-8c2d-89fee8105de7","Hematology","Activity","Hematology","","Activity_20"
"1823d10a-d254-4332-b9c5-075edf39bfb2","Chemistry","Activity","Chemistry","","Activity_21"
"abadd674-0870-444a-91db-736ea641f14e","Uninalysis","Activity","Uninalysis","","Activity_22"
"91a6eb9c-6656-4301-b905-de014e79a411","Plasma Specimen (Xanomeline)","Activity","Plasma Specimen (Xanomeline)","","Activity_23"
"916d84d7-943d-442b-950e-543b71503fcf","Hemoglobin A1C","Activity","Hemoglobin A1C","","Activity_24"
"644234d8-5f78-46db-aa6c-babae970114e","Study drug","Activity","Study drug record , Medications dispensed, Medications returned","","Activity_25"
"cd053700-d590-4144-a641-7610b3b3a60d","TTS Acceptability Survey","Activity","TTS Acceptability Survey","","Activity_26"
"b3f73339-a8c0-4e7e-90fd-97c36fc78534","ADAS-Cog","Activity","ADAS-Cog","","Activity_27"
"ab0d8845-1496-4f73-a3fc-857d0c356375","CIBIC+","Activity","CIBIC+","","Activity_28"
"af2bdfb0-6860-4469-929e-0299e8e4bed1","DAD","Activity","DAD","","Activity_29"
"8a6e9c0b-b535-4ed7-99ab-9b35e2d4285a","NPI-X","Activity","NPI-X","","Activity_30"
"6bccdee8-eef0-4608-a8aa-0ab81215ebe0","Adverse events","Activity","Adverse events","","Activity_31"
"f0eae3d5-f07b-484d-bd82-cddf34e74833","Check adverse events","Activity","Check adverse events","","Activity_32"
"0fee9fdd-f295-4239-8c0d-bf15a9c647c3","Supine","Activity","Subject supine","","Activity_33"
"ff518379-afab-42c2-98b2-e9a00de512b9","Vital Signs Supine","Activity","Vital signs while supine","","Activity_34"
"df22ba8f-fd72-43d3-803d-078bad8fdfee","Stand","Activity","Subject Standing","","Activity_35"
"9e36dcaa-0bfd-47fa-83d9-ede320da6454","Vital Signs Standing","Activity","Vital signs while standing","","Activity_36"
