"uuid:ID","name","instanceType","label","window","description","windowUpper","id","windowLower","value"
"22dbf662-f480-4f94-b003-272743d7d6e9","TIM1","Timing","Screening","","Screening timing","","Timing_1","","P2W"
"0bed4059-141c-4263-83d1-ccf801487109","TIM2","Timing","Pre dose","-4..0 hours","Pre dose timing","PT0H","Timing_2","PT4H","P2D"
"d20ad260-7b45-4f22-8be9-9b09c0540a06","TIM3","Timing","Dosing","","Dosing anchor","","Timing_3","","P1D"
"8ab768ae-33f4-4209-978b-313b9e0b9586","TIM4","Timing","Week 2","-3..3 days","Week 2 timing","P3D","Timing_4","P3D","P2W"
"1eff61a6-b09e-435c-b044-76ad3f1c752d","TIM5","Timing","Week 4","-3..3 days","Week 4 timing","P3D","Timing_5","P3D","P4W"
"53450fe4-4374-483b-8b3f-d22a2a33dd93","TIM6","Timing","Week 6","-3..3 days","Week 6 timing","P3D","Timing_6","P3D","P6W"
"7f316778-9199-431f-940a-dbcc1fa22665","TIM7","Timing","Week 8","-3..3 days","Week 8 timing","P3D","Timing_7","P3D","P8W"
"4606243b-1e8d-4586-a01e-87e20670916b","TIM9","Timing","Week 12","-4..4 days","Week 12 timing","P4D","Timing_9","P4D","P12W"
"c3a46dc3-2624-48bf-a8bb-8c613db5873d","TIM11","Timing","Week 16","-4..4 days","Week 16 timing","P4D","Timing_11","P4D","P16W"
"61899c09-00c0-44bc-bd97-a6c1aeb8f227","TIM13","Timing","Week 20","-4..4 days","Week 20 timing","P4D","Timing_13","P4D","P20W"
"356eac23-b5d4-4d00-bd5d-1a1072024fc5","TIM15","Timing","Week 24","-4..4 days","Week 24 timing","P4D","Timing_15","P4D","P24W"
"3e65d492-f1c3-4292-82ee-cbfed065570f","TIM16","Timing","Week 26","-3..3 days","Week 26 timing","P3D","Timing_16","P3D","P26W"
"eb8c1664-a100-4bcc-9232-fa805583f605","TIM8","Timing","Week 8 Home","","Week 8 at home timing","","Timing_8","","P2W"
"c3666807-8e75-4115-881c-ca79c54b564d","TIM10","Timing","Week 12 Home","","Week 12 at home timing","","Timing_10","","P2W"
"e76fbfd7-566d-4a02-86af-cee7219d0258","TIM12","Timing","Week 16 Home","","Week 16 at home timing","","Timing_12","","P2W"
"1af021ab-d5f8-490e-a68d-1157fabd4e04","TIM14","Timing","Week 20 Home","","Week 20 at home timing","","Timing_14","","P2W"
"cdc9b234-f4b8-4dd0-b603-ed850d7101af","TIM17","Timing","Adverse Event","","Adverse Event","","Timing_17","","P1D"
"6ebf2d44-6fbd-442f-b645-718ee467a765","TIM18","Timing","Early Termination","","Early Termination","","Timing_18","","P1D"
"2e484b16-60dd-486c-8ba2-8d54bdf6c3fa","TIM19","Timing","Supine","","Supine","","Timing_19","","PT0M"
"905acfda-9dc4-4afa-954a-88a337c2dad8","TIM20","Timing","VS while supine","","VS while supine","","Timing_20","","PT5M"
"6a30f207-61aa-4ff2-b176-75df446c4405","TIM21","Timing","Standing","","Standing","","Timing_21","","PT0M"
"39b96628-1211-444c-985f-2ca74e2ffa0b","TIM22","Timing","VS while standing","","VS while standing","","Timing_22","","PT1M"
"e47052d4-5a39-494b-b636-ff2aa41a8cbf","TIM23","Timing","Standing","","Standing","","Timing_23","","PT0M"
"34a182d6-4c8c-47e1-a19c-73fb75bcea19","TIM24","Timing","VS while standing","","VS while standing","","Timing_24","","PT2M"
