"purpose","uuid:ID","name","instanceType","label","text","description","id"
"","cbc38ada-9069-45e3-a0e3-d973e6552116","END1","Endpoint","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint_1"
"","3353ec73-402e-4557-827d-ae0ee8216556","END2","Endpoint","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint_2"
"","d282519a-152a-45db-836d-5e7986961e92","END3","Endpoint","","Adverse events","","Endpoint_3"
"","dc508bb8-7d5c-4559-9333-b3a2c2e91fa6","END4","Endpoint","","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint_4"
"","fa7ae1cf-ff89-462f-9fa7-81a333aa8e89","END5","Endpoint","","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5"
"","f87227fe-b22d-45de-9119-ecf4b38340c2","END6","Endpoint","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint_6"
"","6674103c-b0ae-4713-8739-f99c7cfe3653","END7","Endpoint","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint_7"
"","f7a95a2a-c7dc-4cd0-9ba1-8166f3fb87a5","END8","Endpoint","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint_8"
"","3e2b9996-9002-47de-a07f-4d344147dc77","END9","Endpoint","","*** To be determined from protocol ***","","Endpoint_9"
"","d659e354-194a-4df2-be22-1ab739e79646","END10","Endpoint","","*** To be determined from protocol ***","","Endpoint_10"
"","eb24c681-6b72-484e-846f-5a645ed7d645","END11","Endpoint","","*** To be determined from protocol ***","","Endpoint_11"
