"description","label","name","uuid:ID","text","id"
"","","ENCOUNTER_START_RULE_1","af6471f0-ef63-4c55-97a4-b46e353ba5b4","Subject identifier","TransitionRule_1"
"","","ENCOUNTER_START_RULE_1","b00dcef4-56e0-4665-8c54-d22c7fd9e4d5","completion of screening activities","TransitionRule_2"
"","","ENCOUNTER_START_RULE_2","39e92174-2d01-473e-bc4c-6df39db9aaf3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"","","ENCOUNTER_START_RULE_3","25793cb8-a386-4c39-ad9f-882aed0c44c6","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"","","ENCOUNTER_START_RULE_3","f3129f59-5935-4663-a7e9-8012dcf2f8ea","Radomized","TransitionRule_5"
"","","ENCOUNTER_START_RULE_12","c2aeaf67-72d9-4953-a33d-369926773144","End of treatment","TransitionRule_6"
"","","ELEMENT_START_RULE_1","2d6e6f67-d6e5-4396-b6c9-64749cf0a144","Informed consent","TransitionRule_7"
"","","ELEMENT_END_RULE_1","af43e7fd-0115-42bf-8c5b-40d4797f1ca1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"","","ELEMENT_START_RULE_2","766a5db4-0578-4e9a-acf7-835d84e5e5b6","Administration of first dose","TransitionRule_9"
"","","ELEMENT_START_RULE_7","386c2644-fc1b-42e1-a6aa-05bea12846fb","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"","","ELEMENT_END_RULE_7","d381c6e2-0980-4862-80eb-ed589a10c82d","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"","","ELEMENT_START_RULE_3","3311de46-f5b1-4c6d-9ef0-4e146faff331","Administration of first dose","TransitionRule_10"
"","","ELEMENT_START_RULE_4","513fb7ee-564d-4577-8462-fc79840865e7","Randomized","TransitionRule_11"
"","","ELEMENT_START_RULE_5","72e03557-5282-4a01-96f4-2bd97d9d8fcb","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"","","ELEMENT_START_RULE_6","bbaa54f7-0149-41cb-ac62-90f5c3ce9ac7","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
