"label","name","bcPropertyEnabled","uuid:ID","bcPropertyDatatype","bcPropertyResponseCodes","id","bcPropertyRequired"
"Vital Signs Result","Vital Signs Result","True","97ec9da8-ba4c-40b9-b7e6-5552ef88737d","decimal","[]","BiomedicalConceptProperty_86","True"
"Unit of Temperature","Unit of Temperature","True","c387f8b1-ad3b-454a-8684-4c5e295d64b1","string","","BiomedicalConceptProperty_87","True"
"Vital Signs Location","Vital Signs Location","True","b86036fc-0a7d-4244-a5fb-a79e3c3e53af","string","[]","BiomedicalConceptProperty_88","True"
"Vital Signs Result","Vital Signs Result","True","a30bb446-c9a0-4174-a5d2-d9e2e40b61f2","decimal","[]","BiomedicalConceptProperty_89","True"
"Unit of Weight","Unit of Weight","True","51bd225f-17b3-46f1-b58a-68a15175d888","string","","BiomedicalConceptProperty_90","True"
"Vital Signs Result","Vital Signs Result","True","67a789c8-ace9-4e26-adb5-9a8f242ca1ba","decimal","[]","BiomedicalConceptProperty_91","True"
"Unit of Height","Unit of Height","True","fa240d69-8bdb-4fd5-b57b-bb497626fdb9","string","","BiomedicalConceptProperty_92","True"
"Laboratory Test Result","Laboratory Test Result","True","9ac4b13f-ea41-4006-9d30-bfed06e2db95","decimal","[]","BiomedicalConceptProperty_93","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","b97a90e7-90b9-4790-b9cb-1f87f013e748","boolean","[]","BiomedicalConceptProperty_94","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","eb222183-d29a-4221-9ce6-81f9a7564695","string","[]","BiomedicalConceptProperty_95","True"
"Biospecimen Type","Biospecimen Type","True","fb14431b-c4ef-4511-bc5b-29c2e7818398","string","[]","BiomedicalConceptProperty_96","True"
"Laboratory Test Result","Laboratory Test Result","True","45b9d6f3-3e20-4e59-b7c3-03d9451ac124","string","[]","BiomedicalConceptProperty_97","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","0be5f24e-f1fb-4f2f-97e3-b6853bc18ef2","boolean","[]","BiomedicalConceptProperty_98","True"
"Unit of Concentration","Unit of Concentration","True","932ca251-3627-4234-9fc3-c36a97bd283f","string","[]","BiomedicalConceptProperty_99","True"
"Biospecimen Type","Biospecimen Type","True","4b005709-6f87-45ef-a395-d96fe7365b3a","string","[]","BiomedicalConceptProperty_100","True"
"Laboratory Test Result","Laboratory Test Result","True","cb3fc973-54ab-4cf9-b0ea-923b291a79b7","decimal","[]","BiomedicalConceptProperty_101","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","3f820f1f-cd48-43ad-ba73-731ef38b8916","boolean","[]","BiomedicalConceptProperty_102","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","1b05060d-3cc0-4d90-9f9b-339d354e778b","string","[]","BiomedicalConceptProperty_103","True"
"Biospecimen Type","Biospecimen Type","True","4027e473-5855-47b9-8696-79068b37daf7","string","[]","BiomedicalConceptProperty_104","True"
"Laboratory Test Result","Laboratory Test Result","True","0d55785e-5319-4ccd-a3ca-25694c422e10","decimal","[]","BiomedicalConceptProperty_105","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","26b1607c-148e-4dcc-ae4b-e0b100c252f6","boolean","[]","BiomedicalConceptProperty_106","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","dbf0c57f-1c07-4c73-8344-7c687145038a","string","[]","BiomedicalConceptProperty_107","True"
"Biospecimen Type","Biospecimen Type","True","53706c58-2565-4ed2-a7b7-554ec62dba09","string","[]","BiomedicalConceptProperty_108","True"
"Laboratory Test Result","Laboratory Test Result","True","7c56df49-e6c4-4438-bc74-196392121186","string","[]","BiomedicalConceptProperty_109","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","1f3cc33d-4e86-40b9-9d06-0fc4c02face9","boolean","[]","BiomedicalConceptProperty_110","True"
"Unit of Concentration","Unit of Concentration","True","ae0dfa4e-99ab-4771-ae44-a13d14810c7d","string","[]","BiomedicalConceptProperty_111","True"
"Biospecimen Type","Biospecimen Type","True","688adb77-46a8-4cd9-acb1-7f4ea78354a9","string","[]","BiomedicalConceptProperty_112","True"
"Laboratory Test Result","Laboratory Test Result","True","ff9bbebd-a3c3-4a75-992c-108732f7d9e3","decimal","[]","BiomedicalConceptProperty_113","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","ee893742-894e-4231-9ae1-1865fcc93e65","boolean","[]","BiomedicalConceptProperty_114","True"
"Molarity Unit","Molarity Unit","True","893d97f7-e714-481c-9700-f20fc774eb7a","string","[]","BiomedicalConceptProperty_115","True"
"Biospecimen Type","Biospecimen Type","True","cb206f86-2483-49a1-9d71-5e1a335406ad","string","[]","BiomedicalConceptProperty_116","True"
"Laboratory Test Result","Laboratory Test Result","True","a4a73250-8ac2-4acc-bae2-a32d9364636e","decimal","[]","BiomedicalConceptProperty_117","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","fa573ce3-39cf-4f3f-8432-0f5644de52d3","boolean","[]","BiomedicalConceptProperty_118","True"
"Molarity Unit","Molarity Unit","True","23a5eccb-662d-413e-83bb-378d13dcab5f","string","[]","BiomedicalConceptProperty_119","True"
"Biospecimen Type","Biospecimen Type","True","c38187f2-fd4e-4245-b72a-68a4ae70f57e","string","[]","BiomedicalConceptProperty_120","True"
