"description","label","name","timingValue","timingWindowUpper","timingWindowLower","timingWindow","uuid:ID","id"
"Screening timing","Screening","TIM1","P2W","","","","7baa53a6-0fd9-4590-81e2-1d54773e0505","Timing_1"
"Pre dose timing","Pre dose","TIM2","P2D","PT0H","PT4H","-4..0 hours","7cea4a18-0b8b-4b91-8219-233885f56e16","Timing_2"
"Dosing anchor","Dosing","TIM3","P1D","","","","e230aa5a-a030-4a71-aaed-fd7ad39da722","Timing_3"
"Week 2 timing","Week 2","TIM4","P2W","P3D","P3D","-3..3 days","edf30c44-e15f-4831-9192-5a5bea59dd84","Timing_4"
"Week 4 timing","Week 4","TIM5","P4W","P3D","P3D","-3..3 days","57806fe3-2d67-439a-bf8e-2b2d662d52d2","Timing_5"
"Week 6 timing","Week 6","TIM6","P6W","P3D","P3D","-3..3 days","6c923263-fad0-4a16-8445-eb54e907eac4","Timing_6"
"Week 8 timing","Week 8","TIM7","P8W","P3D","P3D","-3..3 days","ba40585d-53b0-463e-85b7-c74bd9e4fc67","Timing_7"
"Week 8 at home timing","Week 8 Home","TIM8","P2W","","","","3e7ed448-36a4-4c5d-a099-64ac9e9fbbc0","Timing_8"
"Week 12 timing","Week 12","TIM9","P12W","P4D","P4D","-4..4 days","35dfa544-e54f-4687-933f-d02f2ad6b0f1","Timing_9"
"Week 12 at home timing","Week 12 Home","TIM10","P2W","","","","5c6e8304-6edf-4034-b5dd-2f6c8de65fd8","Timing_10"
"Week 16 timing","Week 16","TIM11","P16W","P4D","P4D","-4..4 days","af73349f-9d4a-49f4-b5b3-ffc77e442d78","Timing_11"
"Week 16 at home timing","Week 16 Home","TIM12","P2W","","","","c26cb362-fe68-432a-9e35-92a0dac48346","Timing_12"
"Week 20 timing","Week 20","TIM13","P20W","P4D","P4D","-4..4 days","21fdfe89-bc16-4779-a90e-78db746b51af","Timing_13"
"Week 20 at home timing","Week 20 Home","TIM14","P2W","","","","5dce3e51-3aa4-443f-9e3a-278567f017e9","Timing_14"
"Week 24 timing","Week 24","TIM15","P24W","P4D","P4D","-4..4 days","5d033d5e-c07e-4d3f-881b-b7dff2e95675","Timing_15"
"Week 26 timing","Week 26","TIM16","P26W","P3D","P3D","-3..3 days","82d166d8-94b5-41c3-9022-e1f8b4743d22","Timing_16"
"Adverse Event","Adverse Event","TIM17","P1D","","","","5c8b7dc4-c840-4d2e-9c62-138fd57d899a","Timing_17"
"Early Termination","Early Termination","TIM18","P1D","","","","4924c550-bb8a-472d-84f0-d6a4e7b5ca34","Timing_18"
"BP Anchor","BP Anchor","TIM19","PT0M","","","","13a2f80b-4efd-4289-b39d-f27e153a9225","Timing_19"
"BP while Supine","BP while Supine","TIM20","PT5M","","","","ccfaf447-7b3d-4760-8d67-ce3602e8dd58","Timing_20"
"BP Stand Up","BP Stand Up","TIM21","PT3M","PT0M","PT2M","-2..0 mins","bbbb76c4-90c9-4eda-a3a8-b2e26201e16b","Timing_21"
"BP while standing","BP while standing","TIM22","PT0M","","","","ac49b2cc-eff3-4d52-916f-afd677ec1363","Timing_22"
