"label","name","uuid:ID","bcReference","id","bcSynonyms"
"Body Temperature","Body Temperature","c0c1b013-1161-4a61-aa3e-c4cc19d9c0ae","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_18","['Temperature']"
"Body Weight","Body Weight","b916d757-9529-4f76-9d7b-9dd268dec7db","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_19","['Weight']"
"Body Height","Body Height","ea4e882a-12f7-441a-bc46-ae0b3e0da580","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_20","['Height']"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","82c1f082-923c-4452-920a-587c0321af9a","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_21","['ALT', 'SGPT']"
"Albumin Measurement","Albumin Measurement","94981afb-6e6a-4cae-9036-e8e5e5154d24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_22","['Albumin']"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","8033d027-1da5-40c7-b806-b2073c921f68","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_23","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","7dc67b64-bf09-4a77-911e-4e41057af797","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_24","['AST', 'SGOT']"
"Creatinine Measurement","Creatinine Measurement","7311c190-7704-4892-9577-843740836dc6","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_25","['Creatinine']"
"Potassium Measurement","Potassium Measurement","f1ebd479-2545-4880-aa29-5f3aea3ab5cb","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_26","['Potassium', 'K']"
"Sodium Measurement","Sodium Measurement","99cc7e7e-81d3-4868-a97f-fcd8104dc103","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_27","['Sodium', 'NA']"
