"uuid:ID","instanceType","description","id","label","name"
"15ed743a-1c46-4e0c-94ab-ed0caf954572","Encounter","Screening encounter","Encounter_1","Screening 1","E1"
"3ed3b52f-a6c4-4205-846e-fbe496068504","Encounter","Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2","E2"
"85738836-9e65-4279-b032-a4c58620fcb6","Encounter","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline","E3"
"492965e2-7c97-4aef-89e7-6eded9c06075","Encounter","Day 14","Encounter_4","Week 2","E4"
"31e86df2-93b9-4a4d-af09-e75e0bf1ed03","Encounter","Day 28","Encounter_5","Week 4","E5"
"cf58c5dd-ce6a-4159-99dc-1a96c6b7ba8f","Encounter","Day 42","Encounter_6","Week 6","E7"
"28de016e-0900-4a0a-83cb-6ef28a47c59b","Encounter","Day 56","Encounter_7","Week 8","E8"
"ec9cbba8-2bf9-4018-b34a-fcc12f9fcb85","Encounter","Day 84","Encounter_8","Week 12","E9"
"c8488d34-0eee-4a02-a63f-657c8b973211","Encounter","Day 112","Encounter_9","Week 16","E10"
"a5c38cdf-850e-4fe7-8341-0fd1484e82c9","Encounter","Day 140","Encounter_10","Week 20","E11"
"ebf738c4-fba9-4c34-bf8b-b4021950d4f7","Encounter","Day 168","Encounter_11","Week 24","E12"
"24907385-66e3-4eb4-99a8-d920449db995","Encounter","Day 182","Encounter_12","Week 26","E13"
