"uuid:ID","instanceType","text","id","name"
"dd8400e9-cb98-4987-9065-f28a0c123079","TransitionRule","Subject identifier","TransitionRule_1","ENCOUNTER_START_RULE_1"
"3d0f9e18-f86c-4bf9-8c3a-68c38b453338","TransitionRule","completion of screening activities","TransitionRule_2","ENCOUNTER_START_RULE_1"
"8978bb1f-a246-42d1-bd2c-36d2226133d3","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ENCOUNTER_START_RULE_2"
"ad91c1ea-461e-4b5b-8c4f-b91ce2a8fb4a","TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4","ENCOUNTER_START_RULE_3"
"27301295-c0cb-466c-bd01-41670ef76471","TransitionRule","Radomized","TransitionRule_5","ENCOUNTER_START_RULE_3"
"a7232189-7487-40eb-abdd-fc8601fb9595","TransitionRule","End of treatment","TransitionRule_6","ENCOUNTER_START_RULE_12"
"b9c87438-1054-4c2c-869f-2a06d1ec0558","TransitionRule","Informed consent","TransitionRule_7","ELEMENT_START_RULE_1"
"bab1ceed-4890-4799-84f2-2599181b7b92","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","ELEMENT_END_RULE_1"
"fe5fc3e2-94d1-4a20-b732-14efc5fd4b6c","TransitionRule","Administration of first dose","TransitionRule_9","ELEMENT_START_RULE_2"
"cbb40bb5-45bc-4fd1-b1bd-62724d44f839","TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14","ELEMENT_START_RULE_7"
"93cedd79-a73c-4d71-a69a-2f17fc247bd8","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ELEMENT_END_RULE_7"
"7dbf61fe-5d22-4f58-9cf1-8a0fbcd5effa","TransitionRule","Administration of first dose","TransitionRule_10","ELEMENT_START_RULE_3"
"a371fb9c-28a1-412a-8c7c-f35f02bd24be","TransitionRule","Randomized","TransitionRule_11","ELEMENT_START_RULE_4"
"57cd49e0-d5b2-477a-8df6-a745664ea0d8","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ELEMENT_START_RULE_5"
"4db47110-6374-4be5-8b75-3639e7ccb2d0","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ELEMENT_START_RULE_6"
