"reference","uuid:ID","instanceType","id","label","synonyms","name"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","e63ec1af-53b7-4342-9759-75e0fdec409a","BiomedicalConcept","BiomedicalConcept_20","Body Temperature","['Temperature']","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","e9de867b-4131-49ef-8f3b-329c246edd9d","BiomedicalConcept","BiomedicalConcept_21","Body Weight","['Weight']","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","a6079f19-83e7-4954-8741-4f85172a2517","BiomedicalConcept","BiomedicalConcept_22","Body Height","['Height']","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","bdf07529-844a-4f4c-ab0b-8e9c75df38e4","BiomedicalConcept","BiomedicalConcept_23","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","6fe4dc2a-dc55-4960-8aa6-96bffff82e8e","BiomedicalConcept","BiomedicalConcept_24","Albumin Measurement","['Albumin']","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","2f0aa29c-2153-4ba1-b413-d833327f1070","BiomedicalConcept","BiomedicalConcept_25","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","a43c27d3-5155-4d35-bdf3-6a0d1aca72ec","BiomedicalConcept","BiomedicalConcept_26","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","40ca02f1-09e2-47fe-9323-a0a473987674","BiomedicalConcept","BiomedicalConcept_27","Creatinine Measurement","['Creatinine']","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","576e9c72-7632-4484-b94e-6a045e7b1453","BiomedicalConcept","BiomedicalConcept_28","Potassium Measurement","['Potassium', 'K']","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","df0eb1dc-597b-41a8-939b-f917f584df60","BiomedicalConcept","BiomedicalConcept_29","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","307ae2cd-536d-4600-9db3-b9ef873f3248","BiomedicalConcept","BiomedicalConcept_1","Adverse Event","['Adverse Event Reported Term', 'AETERM']","Adverse Event"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","9fe07361-e4db-45db-a4c9-56f4a05890c6","BiomedicalConcept","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","bdb28dbd-1852-4372-b124-28633bc1ac7f","BiomedicalConcept","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","f3f232ea-dfbc-441e-ba92-daa8deff58a5","BiomedicalConcept","BiomedicalConcept_4","Body Temperature","['Temperature']","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","0619e020-14d9-42c2-b009-cdd09b000bdb","BiomedicalConcept","BiomedicalConcept_5","Body Weight","['Weight']","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","4c6bf978-5496-4eb6-a57f-a1f08ff2a64c","BiomedicalConcept","BiomedicalConcept_6","Body Height","['Height']","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","db8d13f8-1b6c-4390-ad23-08972c3635c5","BiomedicalConcept","BiomedicalConcept_7","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","5400c26a-2650-4e42-9c92-148f6306b880","BiomedicalConcept","BiomedicalConcept_8","Albumin Measurement","['Albumin']","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","e490ab75-3959-4df7-ac0f-0f7a8c2b3a02","BiomedicalConcept","BiomedicalConcept_9","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","05603121-4e13-42fe-bf16-dc0e93cc09d7","BiomedicalConcept","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","ea2346fb-e586-4355-ad11-b29f086f5196","BiomedicalConcept","BiomedicalConcept_11","Creatinine Measurement","['Creatinine']","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","71bb83c2-b708-4888-922e-2e5e68391509","BiomedicalConcept","BiomedicalConcept_12","Potassium Measurement","['Potassium', 'K']","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","32d426cf-802f-4b44-bea7-e3efeef436ee","BiomedicalConcept","BiomedicalConcept_13","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","099b7f35-35b4-47ab-8819-2118f3d7d092","BiomedicalConcept","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","d50e7577-d952-43b2-b2ee-3780ae2c71fd","BiomedicalConcept","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","7c12edbc-fa67-4295-a381-63eba8875fd8","BiomedicalConcept","BiomedicalConcept_16","Heart Rate","","Heart Rate"
