"codeSystem","uuid:ID","instanceType","code","id","codeSystemVersion","decode"
"http://www.cdisc.org","0d63c728-e09e-47a7-9b48-8cfdd0815e5e","Code","C98388","Code_1","2023-09-29","Interventional Study"
"http://www.cdisc.org","3925646f-4587-4959-abce-07f63673d733","Code","C15601","Code_2","2023-09-29","Phase II Trial"
"http://www.cdisc.org","7e60c39e-4208-4298-b1f1-1d3380c1c3b6","Code","C132352","Code_9","2023-09-29","Sponsor Approval Date"
"http://www.cdisc.org","04c9ab7f-f574-4cba-bf35-aa8368d28230","Code","C68846","Code_10","2023-09-29","Global"
"http://www.cdisc.org","c47161a0-e8ff-4530-bf3a-286c9b8187bc","Code","C99904x3","Code_72","2023-09-29","IRB/IEC Feedback"
"http://www.cdisc.org","81466c6b-fc64-4a1f-b54a-d6196e471d06","Code","C17649","Code_73","2023-09-29","Other"
"http://www.cdisc.org","0888d8dd-7415-486e-8250-092bce645bad","Code","C41129","Code_75","2023-09-29","Region"
"ISO 3166 1 alpha3","ab5905c9-4f12-48c1-9af5-a8c27649f71e","Code","150","Code_74","2020-08","Europe"
"SPONSOR","fa113b5e-ff27-4373-840e-82a6d77879c4","Code","PHARMA","Code_4","12","Eli Lilly"
"http://www.cdisc.org","bfa9d1c7-46da-400e-8c38-79518dbdaf91","Code","C70793","Code_76","2023-09-29","Clinical Study Sponsor"
"ISO 3166 1 alpha3","10baf83d-8b64-44ab-a52f-5a1088481d86","Code","DNK","Code_77","2020-08","Denmark"
"http://www.cdisc.org","09e83363-31a3-4220-94f9-6ad0dbe6f97b","Code","C93453","Code_78","2023-09-29","Study Registry"
"http://www.cdisc.org","634e8396-a884-4f44-96d6-536943353495","Code","C49656","Code_136","2023-09-29","Treatment Study"
"http://www.cdisc.org","d930d5d2-faec-4811-8086-748b179e4712","Code","C49666","Code_137","2023-09-29","Efficacy Study"
"http://www.cdisc.org","3a8b86ef-18f6-4b22-9091-2ea81826bbcc","Code","C49667","Code_138","2023-09-29","Safety Study"
"http://www.cdisc.org","ec82e5de-3730-4c14-a8a9-bc0431564167","Code","C49663","Code_139","2023-09-29","Pharmacokinetic Study"
"SPONSOR","1ddcb29e-5ab9-4c19-8174-7afd14e37af8","Code","MILD_MOD_ALZ","Code_133","12","Mild to Moderate Alzheimer's Disease"
"SNOMED","3e778a2e-2a29-41f9-aefe-327d97da1833","Code","26929004","Code_134","January 31, 2018","Alzheimer's disease"
"http://www.cdisc.org","bb987b2e-f799-4e2e-88a1-38c503928c4d","Code","C99907x1","Code_142","2023-09-29","EXTENSION"
"http://www.cdisc.org","77b0a2c7-275a-4df9-9585-6c9d7799cc49","Code","C98704","Code_143","2023-09-29","ADAPTIVE"
"http://www.cdisc.org","3a678f19-1313-4b92-bc24-5c81d6bc31de","Code","C82639","Code_140","2023-09-29","Parallel Study"
"http://www.cdisc.org","4cda73d6-6730-43e5-ba74-3718c5398a4b","Code","C25716","Code_82","2023-09-29","Visit"
"http://www.cdisc.org","b397e4ac-711a-4c11-be6d-86b85e84112d","Code","C51282","Code_83","2023-09-29","Clinic"
"http://www.cdisc.org","1d27d4ac-d029-4e6e-9d75-3c1a66561d51","Code","C175574","Code_84","2023-09-29","In Person"
"http://www.cdisc.org","d0e17217-81fd-4611-8a10-13a76a43f32d","Code","C25716","Code_85","2023-09-29","Visit"
"http://www.cdisc.org","7c1a0186-6062-4fd7-b2bb-0e6ce5cdff5b","Code","C51282","Code_86","2023-09-29","Clinic"
"http://www.cdisc.org","67bcc6d2-0b5f-4fb9-bd21-3c045b1fd21d","Code","C175574","Code_87","2023-09-29","In Person"
"http://www.cdisc.org","8fe1e147-fcc6-4a34-bcf7-9c1f6eb53277","Code","C25716","Code_88","2023-09-29","Visit"
"http://www.cdisc.org","bcf56894-71a5-4520-851e-575d9dd1f998","Code","C51282","Code_89","2023-09-29","Clinic"
"http://www.cdisc.org","dd3ca747-7b6c-4aee-96e4-0a9a75fd7054","Code","C175574","Code_90","2023-09-29","In Person"
"http://www.cdisc.org","fb084328-1289-42ff-aa37-9ce73db9b8ac","Code","C25716","Code_91","2023-09-29","Visit"
"http://www.cdisc.org","3607bc51-277c-4f3b-b20d-8587c11879b5","Code","C51282","Code_92","2023-09-29","Clinic"
"http://www.cdisc.org","7d800bd8-ee62-448a-8727-3f344d48de6a","Code","C175574","Code_93","2023-09-29","In Person"
"http://www.cdisc.org","af6e915c-747d-4398-b1b5-7964ce33d5b6","Code","C25716","Code_94","2023-09-29","Visit"
"http://www.cdisc.org","ea793f92-ada8-410f-a542-028062e32202","Code","C51282","Code_95","2023-09-29","Clinic"
"http://www.cdisc.org","eb98a5ce-ea22-4c3f-b9ee-286412d47726","Code","C175574","Code_96","2023-09-29","In Person"
"http://www.cdisc.org","c070b72c-18de-4088-8b1c-54bfd15d110e","Code","C25716","Code_97","2023-09-29","Visit"
"http://www.cdisc.org","2f2778a5-5d81-4e11-ab1c-98df2e591aff","Code","C51282","Code_98","2023-09-29","Clinic"
"http://www.cdisc.org","0f649a69-b039-4efa-9f21-44c7d086daa7","Code","C175574","Code_99","2023-09-29","In Person"
"http://www.cdisc.org","28707a6a-135c-4878-80de-e4fb2a5e3197","Code","C25716","Code_100","2023-09-29","Visit"
"http://www.cdisc.org","74274b71-3534-47c2-ab5c-12b6bb17e2da","Code","C51282","Code_101","2023-09-29","Clinic"
"http://www.cdisc.org","bd64b751-0906-49ed-b869-6201eeda907f","Code","C175574","Code_102","2023-09-29","In Person"
"http://www.cdisc.org","c717ba66-a1f3-4e31-8cc3-792ce011bb3a","Code","C171537","Code_103","2023-09-29","Telephone Call"
"http://www.cdisc.org","4cca10f5-7294-46f0-98b1-504cc6e5d776","Code","C25716","Code_104","2023-09-29","Visit"
"http://www.cdisc.org","d316e320-75ac-490e-a10e-2710487917b5","Code","C51282","Code_105","2023-09-29","Clinic"
