"uuid:ID","instanceType","description","id","label","name"
"e5f86bf1-81a9-4e35-b1a7-0b337ac712d7","Activity","","Activity_1","","Informed consent"
"e0337cc8-4b3a-4b52-8eaa-13bb87404da2","Activity","","Activity_2","","Inclusion/exclusion criteria"
"72031827-e72c-4355-aa02-34d982a518c4","Activity","","Activity_3","","Patient number assigned"
"73eccfb3-39b5-4eeb-8049-eeed4b5983b1","Activity","","Activity_4","Demographics","Demographics"
"0a52d437-53da-4bf2-a467-452ba1b86a71","Activity","","Activity_5","Hachinski","Hachinski"
"fd5ca9bd-6969-4b2f-bd2a-654021096dc7","Activity","","Activity_6","MMSE","MMSE"
"2da57eb9-7912-42e4-b1a8-fd108c0b5744","Activity","","Activity_7","","Physical examination"
"29786805-6222-4d61-8c59-424d92ef276f","Activity","","Activity_8","","Medical history"
"299d5d4b-7f0e-4385-b0c1-ccb0e4e213e3","Activity","","Activity_9","","Habits"
"2c003cc5-9ef0-4c4a-b449-44362cdc0a10","Activity","","Activity_10","","Chest X-ray"
"92e13a67-1df3-4b5a-971d-751a8de0cf28","Activity","","Activity_11","","Apo E genotyping"
"546b70cd-0d3f-4cb5-9a8c-426a8c8b4960","Activity","","Activity_12","","Patient randomised"
"d03344f3-fe64-4d9d-85e2-7570de0cd424","Activity","","Activity_13","Vital Signs and Temperature","Vital signs / Temperature"
"00631e94-fbbc-475a-850e-d0b31afe8cb7","Activity","","Activity_14","","Ambulatory ECG placed"
"82dc7114-ba4c-448e-88ed-00c4813b7bf1","Activity","","Activity_15","","Ambulatory ECG removed"
"d808836c-685e-4968-82ad-b0e76ece2fa0","Activity","","Activity_16","","ECG"
"843ba767-99ca-4f43-a058-65e8a5fb3260","Activity","","Activity_17","","Placebo TTS test"
"4f4a509b-4ea8-4617-80cb-bfae822a7969","Activity","","Activity_18","","CT scan"
"6b01cfef-4ccc-4ad8-b8f0-78c6a69bb443","Activity","","Activity_19","","Concomitant medications"
"f75fedf7-e99c-4b2f-a70e-8d85f837d1fb","Activity","","Activity_20","","Hematology"
"eb590b4c-d58e-4ea2-b4a9-7cc5a5905522","Activity","","Activity_21","","Chemistry"
"2dfaaa3e-d305-4840-b503-7b7f6d98bef5","Activity","","Activity_22","","Uninalysis"
"5cc5c5dc-72be-4007-a24c-f422351818d0","Activity","","Activity_23","","Plasma Specimen (Xanomeline)"
"fa409564-d9fe-446b-9c12-16a0b2308fc1","Activity","","Activity_24","","Hemoglobin A1C"
"4efbea3b-7912-4438-9a5b-52ec15722086","Activity","","Activity_25","Study drug record , Medications dispensed, Medications returned","Study drug"
"d381d1fa-5bd1-44b1-9782-18ac640c9e03","Activity","","Activity_26","","TTS Acceptability Survey"
"8068f33e-77fb-4b0f-b4d4-a47ef979b58b","Activity","","Activity_27","","ADAS-Cog"
"d7d448f1-f7ea-4aef-adc7-aec1763f9918","Activity","","Activity_28","","CIBIC+"
"63f45694-1c71-4183-a9fd-adbd60c2fff6","Activity","","Activity_29","","DAD"
"890980d5-d071-42fc-b1a1-e54696b6a434","Activity","","Activity_30","","NPI-X"
"3d1aff7d-1289-4701-a8a1-d8b606dc53af","Activity","","Activity_31","","Adverse events"
"1b9cd3ff-fdab-42e1-abdb-1013553b15b6","Activity","","Activity_32","","Check adverse events"
"aca4a925-ec0d-47c2-ba6d-e3daf6884a62","Activity","","Activity_33","Subject supine","Supine"
"930d24fd-9c68-462a-8160-88606b6b0337","Activity","","Activity_34","Vital signs while supine","Vital Signs Supine"
"0c2488a5-9a7a-4fcb-9951-f6a81df5baea","Activity","","Activity_35","Subject Standing","Stand"
"f362aa4c-c4d9-4485-8715-b69c43184d7b","Activity","","Activity_36","Vital signs while standing","Vital Signs Standing"
