"uuid:ID","windowLower","instanceType","window","description","id","label","name","windowUpper","value"
"4039d52c-2d69-4a88-ba44-b17031835198","","Timing","","Screening timing","Timing_1","Screening","TIM1","","P2W"
"f847a40b-2756-48ef-bfae-682bdf990e87","PT4H","Timing","-4..0 hours","Pre dose timing","Timing_2","Pre dose","TIM2","PT0H","P2D"
"6e2c5697-eb8c-4229-8b88-cfc365f4cb16","","Timing","","Dosing anchor","Timing_3","Dosing","TIM3","","P1D"
"ffbb4b71-a993-46c3-85aa-d521d0a3fbf9","P3D","Timing","-3..3 days","Week 2 timing","Timing_4","Week 2","TIM4","P3D","P2W"
"95025019-63bb-47ae-af7e-4d53aa3c6400","P3D","Timing","-3..3 days","Week 4 timing","Timing_5","Week 4","TIM5","P3D","P4W"
"5a01c2ad-e833-47f2-9d1d-50846724f45b","P3D","Timing","-3..3 days","Week 6 timing","Timing_6","Week 6","TIM6","P3D","P6W"
"a0d31c2d-1e0f-438d-a965-7ca6e02bf83f","P3D","Timing","-3..3 days","Week 8 timing","Timing_7","Week 8","TIM7","P3D","P8W"
"af54b5b6-6747-449d-911c-65afa66c98dd","P4D","Timing","-4..4 days","Week 12 timing","Timing_9","Week 12","TIM9","P4D","P12W"
"bc679d93-4cbf-4ae3-9588-327c8b24b57f","P4D","Timing","-4..4 days","Week 16 timing","Timing_11","Week 16","TIM11","P4D","P16W"
"7c4a41e4-320f-4dda-bd44-2aa29f7d3b43","P4D","Timing","-4..4 days","Week 20 timing","Timing_13","Week 20","TIM13","P4D","P20W"
"ac07c881-6814-4107-abe4-2595c1bc4348","P4D","Timing","-4..4 days","Week 24 timing","Timing_15","Week 24","TIM15","P4D","P24W"
"26f24be0-38cf-442f-9a2b-5863f11d6105","P3D","Timing","-3..3 days","Week 26 timing","Timing_16","Week 26","TIM16","P3D","P26W"
"24b319cc-b63a-49e2-84e3-232245672e30","","Timing","","Week 8 at home timing","Timing_8","Week 8 Home","TIM8","","P2W"
"b1b3c9b5-31e6-435d-93a0-78456fb67c4e","","Timing","","Week 12 at home timing","Timing_10","Week 12 Home","TIM10","","P2W"
"5bf4ab0a-3704-4212-8662-f342b5de23b9","","Timing","","Week 16 at home timing","Timing_12","Week 16 Home","TIM12","","P2W"
"bb26f0a3-fe2b-4468-8a5e-c86b74ce67bd","","Timing","","Week 20 at home timing","Timing_14","Week 20 Home","TIM14","","P2W"
"500a6d7a-734c-4cce-ade6-ab62f5530607","","Timing","","Adverse Event","Timing_17","Adverse Event","TIM17","","P1D"
"6aaf4441-f87e-400b-bb5a-1750570ff06b","","Timing","","Early Termination","Timing_18","Early Termination","TIM18","","P1D"
"f4e2587c-5230-4509-87e9-7abdc87878fb","","Timing","","Supine","Timing_19","Supine","TIM19","","PT0M"
"799e8535-2012-465f-bd5e-216141c7e2cd","","Timing","","VS while supine","Timing_20","VS while supine","TIM20","","PT5M"
"1801fce6-5492-4a4a-b63f-6d78f842e23b","","Timing","","Standing","Timing_21","Standing","TIM21","","PT0M"
"4f6465e5-20ec-47ab-b591-2d4d66052eb0","","Timing","","VS while standing","Timing_22","VS while standing","TIM22","","PT1M"
"624af6e6-1013-44dd-bc96-fd93cdb7b087","","Timing","","Standing","Timing_23","Standing","TIM23","","PT0M"
"5aed9974-e17f-488c-b956-b912feb79507","","Timing","","VS while standing","Timing_24","VS while standing","TIM24","","PT2M"
