"uuid:ID","instanceType","sectionTitle","text","sectionNumber","id","name"
"1138e70c-bf0c-4acf-bf24-cdaa791f2760","NarrativeContent","Root","","0","NarrativeContent_1","ROOT"
"6ffd8212-7cb4-42d6-b07c-df0081f401f0","NarrativeContent","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","0","NarrativeContent_2","SECTION 0"
"7b93d7c0-ce83-4f26-bf2c-55cf90d971f6","NarrativeContent","PROTOCOL SUMMARY","<div></div>","1","NarrativeContent_3","SECTION 1"
"5d33dd6d-a798-432e-96c4-0e6814730e92","NarrativeContent","Protocol Synopsis","<div></div>","1.1","NarrativeContent_4","SECTION 1.1"
"cf3fb6b3-7427-494b-a745-7765a90bfbe4","NarrativeContent","Trial Schema","<div></div>","1.2","NarrativeContent_5","SECTION 1.2"
"4b00cb5a-4c00-4418-af69-a525af40759a","NarrativeContent","Schedule of Activities","<div></div>","1.3","NarrativeContent_6","SECTION 1.3"
"ce853917-414d-48ea-a897-5fdccc47e731","NarrativeContent","INTRODUCTION","<div></div>","2","NarrativeContent_7","SECTION 2"
"e1b706f4-e173-4bf6-bf4d-b87d221b4db6","NarrativeContent","Purpose of Trial","<div></div>","2.1","NarrativeContent_8","SECTION 2.1"
"85988903-423a-4db9-92dc-82298d489f14","NarrativeContent","Summary of Benefits and Risks","<div></div>","2.2","NarrativeContent_9","SECTION 2.2"
"3b1ea48a-3612-4ceb-bf58-aa1432ccf146","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","3","NarrativeContent_10","SECTION 3"
"64831921-5d7a-4878-b9f3-946920e5397e","NarrativeContent","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","NarrativeContent_11","SECTION 3.1"
"1b678f5f-4d48-474e-bb07-0f39c4c2123d","NarrativeContent","TRIAL DESIGN","<div></div>","4","NarrativeContent_12","SECTION 4"
"64b326cd-0b08-4a31-bfa7-ad8c5fcae699","NarrativeContent","Description of Trial Design","<div></div>","4.1","NarrativeContent_13","SECTION 4.1"
"7bb8d695-b659-4d6b-a37a-e292d4c8b1e3","NarrativeContent","Participant Input into Design","<div></div>","4.1.1","NarrativeContent_14","SECTION 4.1.1"
"b4957fd5-269b-4f29-9fb9-aa7e75969973","NarrativeContent","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","NarrativeContent_15","SECTION 4.2"
"7bc4f4f2-5a86-4e6c-8d69-4032b09191f3","NarrativeContent","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","NarrativeContent_16","SECTION 4.2.1"
"bc5c48e1-cb2d-4e01-ab16-e0778a5cf3a9","NarrativeContent","Rationale for Adaptive or Novel Trial Design","<div></div>","4.2.2","NarrativeContent_17","SECTION 4.2.2"
"6fbe1029-439e-44ac-b631-38b0cf787712","NarrativeContent","Other Trial Design Considerations","<div></div>","4.2.3","NarrativeContent_18","SECTION 4.2.3"
"c0287c36-43ef-492d-a80e-f886f58e7b9c","NarrativeContent","Access to Trial Intervention After End of Trial","<div></div>","4.3","NarrativeContent_19","SECTION 4.3"
"9e7c66d6-86d9-4c01-a3a7-81964aae8062","NarrativeContent","Start of Trial and End of Trial","<div></div>","4.4","NarrativeContent_20","SECTION 4.4"
"a9804ac8-5f7e-4402-baea-07262a9dd671","NarrativeContent","TRIAL POPULATION","<div></div>","5","NarrativeContent_21","SECTION 5"
