"id","text","purpose","name","instanceType","description","label","uuid:ID"
"Endpoint_1","Clinical status assessed using a 7-category ordinal scale at Day 28","","END1","ENDPOINT","","","c135ca46-5b75-48bb-abbf-f24275303195"
"Endpoint_2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","","END2","ENDPOINT","","","0a9e8625-8f3f-47f2-84ec-221504dcc9fe"
"Endpoint_3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","","END3","ENDPOINT","","","ad39b061-6426-40c3-a382-35b9ec269d8e"
"Endpoint_4","Incidence of mechanical ventilation","","END4","ENDPOINT","","","112b589b-1460-453a-aa18-895c931f68c7"
"Endpoint_5","Ventilator-free days to Day 28","","END5","ENDPOINT","","","76c3562a-b343-4a06-80bf-844f9afe929a"
"Endpoint_6","Incidence of intensive care unit (ICU) stay","","END6","ENDPOINT","","","33566931-0408-435b-a24b-63aa27fe34db"
"Endpoint_7","Duration of ICU stay","","END7","ENDPOINT","","","8b09b196-c0cb-4ee6-9a78-724aaf330f0d"
"Endpoint_8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","","END8","ENDPOINT","","","f574f1d0-9d42-4465-a72f-01bd51aab7a1"
"Endpoint_9","Mortality rate at Days 7, 14, 21, 28, and 60","","END9","ENDPOINT","","","05c01945-9f1d-4b8b-ad41-4624b709a45f"
"Endpoint_10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","","END10","ENDPOINT","","","8287b7b8-c76e-4050-b129-ae0d560d6fe8"
"Endpoint_11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","","END11","ENDPOINT","","","8b152537-19c2-49e4-85c5-4894dfe288c4"
"Endpoint_12","Duration of supplemental oxygen","","END12","ENDPOINT","","","dfb15d26-40f4-43b9-9a39-2b047638080b"
