"id","uuid:ID","name","text"
"TransitionRule_1","e22e24f8-f7f5-4461-a426-4efaeb97c82f","ENCOUNTER_START_RULE_1","Subject identified"
"TransitionRule_2","af474be0-672b-482d-8bb8-ce83a8bed2f8","ENCOUNTER_START_RULE_1","IEs passed"
"TransitionRule_3","79c822e0-ba37-4b53-a9e8-afbefe5541fc","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule_4","14ec8d0b-7673-49ec-9fb3-73df474621d5","ELEMENT_START_RULE_1","Study Start"
"TransitionRule_5","fde7de76-8d61-4f3c-bce1-ace4e0acb4dd","ELEMENT_END_RULE_1","Screened"
"TransitionRule_6","57d58719-69a4-4ad7-9b52-996740ad5b29","ELEMENT_START_RULE_2","Screened"
"TransitionRule_7","34ffcff4-5638-4239-a3e7-487c226a1265","ELEMENT_END_RULE_2","Radomized"
"TransitionRule_8","63303bc7-4465-4564-8f3a-a20c69573c96","ELEMENT_START_RULE_3","Radomized"
"TransitionRule_9","e648803e-9ee6-4865-856d-87bd87607981","ELEMENT_END_RULE_3","Completed treatment 1"
"TransitionRule_12","bfb7039a-b9dd-4803-b24f-74c8bf6f6c41","ELEMENT_START_RULE_5","Radomized"
"TransitionRule_13","6480652a-ffee-47b6-b712-b2f63c3905b6","ELEMENT_END_RULE_5","Completed treatment 2"
"TransitionRule_10","08b6a67b-4f84-45ad-ba82-6577121cb366","ELEMENT_START_RULE_4","Treated"
"TransitionRule_11","d4d16d65-cc3d-4fbd-9619-ce1a1f7584e3","ELEMENT_END_RULE_4","Leave Study"
