"id","text","sectionTitle","name","sectionNumber","uuid:ID"
"NarrativeContent_1","","Root","ROOT","0","0883af96-530e-4afb-b975-5150ac94bbb7"
"NarrativeContent_2","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","PROTOCOL SUMMARY","SECTION 1","1","19dba86d-86b9-4895-842b-97ff90ac22a1"
"NarrativeContent_3","<div></div>","Protocol Synopsis","SECTION 1.1","1.1","d9c8624f-819a-418e-8988-8f4e4d0e772a"
"NarrativeContent_4","<div></div>","Trial Schema","SECTION 1.2","1.2","20c04e35-3fae-45e9-ba58-b3d88f9f6f61"
"NarrativeContent_5","<div></div>","Schedule of Activities","SECTION 1.3","1.3","b8c47185-e81f-4d56-a56c-bbe05ca4d4d5"
"NarrativeContent_6","<div></div>","INTRODUCTION","SECTION 2","2","7a472fc6-6e44-4ab9-8ec0-2f9aa71b38f7"
"NarrativeContent_7","<div></div>","Purpose of Trial","SECTION 2.1","2.1","3f94d3a7-93a0-408d-90cd-45514c58558d"
"NarrativeContent_8","<div></div>","Summary of Benefits and Risks","SECTION 2.2","2.2","2dc2c173-1ea8-4214-8636-61dd1c93a380"
"NarrativeContent_9","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","3","79196370-fad0-4f4b-bfb3-3b0076a2913a"
"NarrativeContent_10","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","Primary Objectives","SECTION 3.1","3.1","514961d0-fb9e-41a4-9814-16a1f8e317e4"
"NarrativeContent_11","<div></div>","TRIAL DESIGN","SECTION 4","4","55c10912-434c-48d1-acd4-b837573ee7da"
"NarrativeContent_12","<div></div>","Description of Trial Design","SECTION 4.1","4.1","825660fd-6bb2-46cf-bf05-250f2d529314"
"NarrativeContent_13","<div></div>","Participant Input into Design","SECTION 4.1.1","4.1.1","107c6b00-bdff-4df3-9b39-943d2dc3c769"
"NarrativeContent_14","<div></div>","Rationale for Trial Design","SECTION 4.2","4.2","344237f6-c9d7-4eb1-969b-7c66184a5d43"
"NarrativeContent_15","<div></div>","Rationale for Comparator","SECTION 4.2.1","4.2.1","3a18639a-225e-4a20-9884-012835e28f8c"
"NarrativeContent_16","<div></div>","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","4.2.2","7843c328-698f-4728-be15-ccd044975a4e"
"NarrativeContent_17","<div></div>","Other Trial Design Considerations","SECTION 4.2.3","4.2.3","34ef84b7-d397-46dc-aeb1-55eaf468fbf8"
"NarrativeContent_18","<div></div>","Access to Trial Intervention After End of Trial","SECTION 4.3","4.3","53ec4c1c-8b06-4047-afb8-e24730602a22"
"NarrativeContent_19","<div></div>","Start of Trial and End of Trial","SECTION 4.4","4.4","5b3956aa-a90a-4d38-850e-10285417613b"
"NarrativeContent_20","<div></div>","TRIAL POPULATION","SECTION 5","5","c242e7ad-f356-41aa-a74b-34398147178f"
"NarrativeContent_21","<div></div>","Selection of Trial Population","SECTION 5.1","5.1","844a61e9-b308-440d-a0ba-9af179ba0315"
"NarrativeContent_22","<div></div>","Rationale for Trial Population","SECTION 5.2","5.2","b5717559-d54e-45a5-95e5-268b641ada17"
"NarrativeContent_23","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","Inclusion Criteria","SECTION 5.3","5.3","ff51082f-5936-41de-9adf-b43cc6539fd5"
"NarrativeContent_24","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","Exclusion Criteria","SECTION 5.4","5.4","f321e537-3b1d-4a4d-8a89-b0f0e9664d6e"
"NarrativeContent_25","<div></div>","Lifestyle Considerations","SECTION 5.5","5.5","c9759cc8-cd40-43c5-88b9-e980644189e9"
"NarrativeContent_26","<div></div>","Meals and Dietary Restrictions","SECTION 5.5.1","5.5.1","dbbef070-049c-4d1d-9b8f-e28d1160fb29"
"NarrativeContent_27","<div></div>","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","5.5.2","d76ad5b1-222f-4ce0-942f-3602fd0b9b5c"
"NarrativeContent_28","<div></div>","Physical Activity","SECTION 5.5.3","5.5.3","0013a1ca-cfab-4c6e-88fb-c03712602e0b"
"NarrativeContent_29","<div></div>","Other Activity","SECTION 5.5.4","5.5.4","5f1a5284-027d-498e-8e84-6e93476b8712"
"NarrativeContent_30","<div></div>","Screen Failures","SECTION 5.6","5.6","208291e3-a7f4-4baf-81ae-c10f93275ce0"
"NarrativeContent_31","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","6","30626e45-1b61-41ef-a268-0e0d1b41b9bf"
"NarrativeContent_32","<div></div>","Description of Trial Intervention","SECTION 6.1","6.1","fc79d325-5ea6-4d33-8f04-8d5d517e13e7"
"NarrativeContent_33","<div></div>","Rationale for Trial Intervention","SECTION 6.2","6.2","4d7a0eb7-270f-4d5d-a824-b636d75ebeff"
"NarrativeContent_34","<div></div>","Dosing and Administration","SECTION 6.3","6.3","474ee146-9463-45c8-8ef7-f12db185e39a"
"NarrativeContent_35","<div></div>","Trial Intervention Dose Modification","SECTION 6.3.1","6.3.1","207e3d41-ce23-43ac-947e-7ddafe524d88"
"NarrativeContent_36","<div></div>","Treatment of Overdose","SECTION 6.4","6.4","cd3e7ac7-f950-48f9-a3da-ed4a5406f50d"
"NarrativeContent_37","<div></div>","Preparation, Handling, Storage and Accountability","SECTION 6.5","6.5","c5c1f580-b04c-43a4-ba4c-401f2915ab34"
"NarrativeContent_38","<div></div>","Preparation of Trial Intervention","SECTION 6.5.1","6.5.1","3518b775-fb41-4356-ae59-fb73f0f5b621"
"NarrativeContent_39","<div></div>","Handling and Storage of Trial Intervention","SECTION 6.5.2","6.5.2","03e156c2-a956-422f-8ce8-934ba5b375e0"
"NarrativeContent_40","<div></div>","Accountability of Trial Intervention","SECTION 6.5.3","6.5.3","bc5b4eed-b048-452b-8407-e128dfab9d62"
"NarrativeContent_41","<div></div>","Participant Assignment, Randomisation and Blinding","SECTION 6.6","6.6","872f0153-3bba-4ca8-8600-014eb416bef4"
"NarrativeContent_42","<div></div>","Participant Assignment","SECTION 6.6.1","6.6.1","49dd8125-4a67-4679-a113-06e65082ae9e"
"NarrativeContent_43","<div></div>","Randomisation","SECTION 6.6.2","6.6.2","945ef459-01bd-4f43-bd2b-433c9466a8b7"
"NarrativeContent_44","<div><p>Blinding and unblinding text here please</p></div>","Blinding and Unblinding","SECTION 6.6.3","6.6.3","1c66ce71-4adf-45c8-8254-3a0df2539fb1"
"NarrativeContent_45","<div></div>","Trial Intervention Compliance","SECTION 6.7","6.7","baa752c1-b646-4f48-ac89-58924c0a86e8"
"NarrativeContent_46","<div></div>","Concomitant Therapy","SECTION 6.8","6.8","8d378459-f256-4500-8799-9b909cf0de5d"
"NarrativeContent_47","<div></div>","Prohibited Concomitant Therapy","SECTION 6.8.1","6.8.1","cbcbbaf6-f641-475e-8fa7-c98a83c9f5a4"
"NarrativeContent_48","<div></div>","Permitted Concomitant Therapy","SECTION 6.8.2","6.8.2","2c01c379-d4af-47a7-9c8e-3212814245fe"
"NarrativeContent_49","<div></div>","Rescue Therapy","SECTION 6.8.3","6.8.3","555d4ceb-7725-4f4d-87d9-f184d334678e"
"NarrativeContent_50","<div></div>","Other Therapy","SECTION 6.8.4","6.8.4","89ef90be-50c8-47ed-990a-6d23f2fbffb4"
"NarrativeContent_51","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","7","a02cdf35-db57-4dd6-89db-3a97d14af215"
"NarrativeContent_52","<div></div>","Discontinuation of Trial Intervention","SECTION 7.1","7.1","ba0c728d-bf14-4091-83c2-de5105f0be72"
"NarrativeContent_53","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","7.1.1","a0c55c38-5c6e-4011-b725-9ca4baa89066"
"NarrativeContent_54","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","7.1.2","750caa0a-6f54-42b4-803b-046e31e0df67"
"NarrativeContent_55","<div></div>","Rechallenge","SECTION 7.1.3","7.1.3","8f2957d3-92d5-43ce-89f8-6cbc5110a206"
"NarrativeContent_56","<div></div>","Participant Withdrawal from the Trial","SECTION 7.2","7.2","d37ff75c-e6c4-4f4f-9fcc-4739abb65acf"
"NarrativeContent_57","<div></div>","Lost to Follow-Up","SECTION 7.3","7.3","4f982ac9-5842-4cc4-9e98-af94740ea9c1"
"NarrativeContent_58","<div></div>","Trial Stopping Rules","SECTION 7.4","7.4","31da0932-a3ce-4fa6-95f5-cf0b027015fc"
"NarrativeContent_59","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","8","08e84fb0-b46f-41f5-8fd6-04e812de54c6"
"NarrativeContent_60","<div></div>","Screening/Baseline Assessments and Procedures","SECTION 8.1","8.1","b1d9f43c-4493-4faa-a442-003321c7dea6"
"NarrativeContent_61","<div></div>","Efficacy Assessments and Procedures","SECTION 8.2","8.2","9af02a23-41d1-4bc0-9c15-0e98b1257fa1"
"NarrativeContent_62","<div></div>","Safety Assessments and Procedures","SECTION 8.3","8.3","ce760d27-2dcb-4b89-afc7-d7355446b186"
"NarrativeContent_63","<div></div>","Physical Examination","SECTION 8.3.1","8.3.1","09e83ea4-8b88-4e08-bf61-415eb6d6bb2c"
"NarrativeContent_64","<div></div>","Vital Signs","SECTION 8.3.2","8.3.2","b88abeba-eaa4-41b5-a04d-8121427200f6"
"NarrativeContent_65","<div></div>","Electrocardiograms","SECTION 8.3.3","8.3.3","2507f9dc-2a42-4658-b328-ee76e3345856"
"NarrativeContent_66","<div></div>","Clinical Laboratory Assessments","SECTION 8.3.4","8.3.4","7272cd9b-19b8-4a8a-b480-b3638b08067e"
"NarrativeContent_67","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","8.3.5","ea615588-ef99-4f26-8f31-e0448920de19"
"NarrativeContent_68","<div></div>","Adverse Events and Serious Adverse Events","SECTION 8.4","8.4","a7e36c29-3b67-48f0-b5a3-10629eaac750"
"NarrativeContent_69","<div></div>","Definitions of AE and SAE","SECTION 8.4.1","8.4.1","7e5fdf60-e639-4268-8c66-0f2eaf0f15fa"
"NarrativeContent_70","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","8.4.2","a4574fec-d9a5-490b-b9e6-9aee1cf26dd4"
"NarrativeContent_71","<div></div>","Identifying AEs and SAEs","SECTION 8.4.3","8.4.3","89d0fa59-5668-4f0e-acbc-f3d7c6db531d"
"NarrativeContent_72","<div></div>","Recording of AEs and SAEs","SECTION 8.4.4","8.4.4","b8a04b01-e401-4990-a45d-b977f15a794d"
"NarrativeContent_73","<div></div>","Follow-up of AEs and SAEs","SECTION 8.4.5","8.4.5","c744ed0f-f271-4f49-a109-bc8968cd40b0"
"NarrativeContent_74","<div></div>","Reporting of SAEs","SECTION 8.4.6","8.4.6","3c6a9582-3144-417a-a1e8-393cc3ac843a"
"NarrativeContent_75","<div></div>","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","8.4.7","ab98562b-6462-45e2-9d78-247a202a2ead"
"NarrativeContent_76","<div></div>","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","8.4.8","c46c19ab-bc68-415c-bddf-349f04435949"
"NarrativeContent_77","<div></div>","Adverse Events of Special Interest","SECTION 8.4.9","8.4.9","d76ed84a-7da0-4cf6-923b-a5bebf9ea2c6"
"NarrativeContent_78","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","8.4.10","751f2fac-091e-4b1b-b43b-3acb486ff01c"
"NarrativeContent_79","<div></div>","Pregnancy and Postpartum Information","SECTION 8.5","8.5","8f541038-fd09-455d-b3d6-10b0abce9d3a"
"NarrativeContent_80","<div></div>","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","8.5.1","614471c1-fd6a-4d7e-807b-11f10b8fab48"
"NarrativeContent_81","<div></div>","Participants Whose Partners Become Pregnant","SECTION 8.5.2","8.5.2","b4984597-309a-4e0a-a26a-732a667c2f73"
"NarrativeContent_82","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","SECTION 8.6","8.6","46f64453-25a0-4052-bdeb-ff7e2ca0ac40"
"NarrativeContent_83","<div></div>","Definition of Medical Device Product Complaints","SECTION 8.6.1","8.6.1","405c2d0a-8a11-4751-9975-88b35ac583c6"
"NarrativeContent_84","<div></div>","Recording of Medical Device Product Complaints","SECTION 8.6.2","8.6.2","d1bf1bcd-caeb-4ede-95c0-04477d413d0f"
"NarrativeContent_85","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","SECTION 8.6.3","8.6.3","6377e783-5324-4c05-a83e-5de66faf23cd"
"NarrativeContent_86","<div></div>","Follow-Up of Medical Device Product Complaints","SECTION 8.6.4","8.6.4","8ce2df9d-4159-48aa-add6-29075ba9fe0a"
"NarrativeContent_87","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","SECTION 8.6.5","8.6.5","354cf000-2877-404f-9406-1bf06b033511"
"NarrativeContent_88","<div></div>","Pharmacokinetics","SECTION 8.7","8.7","bef962f7-5f94-49d0-9a3f-f19c4a78cb70"
"NarrativeContent_89","<div></div>","Genetics","SECTION 8.8","8.8","2b55dab9-9467-4428-8a20-34942540c088"
