"name","bcPropertyRequired","id","uuid:ID","bcPropertyEnabled","label","bcPropertyDatatype"
"Vital Signs Result","True","BiomedicalConceptProperty_86","75568207-e49e-4c25-b9c6-8e5a8f726adb","True","Vital Signs Result","decimal"
"Unit of Temperature","True","BiomedicalConceptProperty_87","91d207a6-2253-4f63-90b6-ccffded82829","True","Unit of Temperature","string"
"Vital Signs Location","True","BiomedicalConceptProperty_88","ede3843a-d19e-4678-a789-07ea9baeb329","True","Vital Signs Location","string"
"Vital Signs Result","True","BiomedicalConceptProperty_89","0297a9f9-66d8-4b57-aef0-528a5addd534","True","Vital Signs Result","decimal"
"Unit of Weight","True","BiomedicalConceptProperty_90","d2da4f92-18d5-48ef-a3b2-e6e194670b2d","True","Unit of Weight","string"
"Vital Signs Result","True","BiomedicalConceptProperty_91","47e9ea4c-0cdf-4dc6-9b1c-66abb9c5805e","True","Vital Signs Result","decimal"
"Unit of Height","True","BiomedicalConceptProperty_92","7871a5cb-d418-4552-be5a-6b25ae9ce88d","True","Unit of Height","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_93","01e511c0-113a-44ef-aab9-31a6004424e7","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_94","e3ab0ee7-6b04-446f-95a7-646bcafaaf9a","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_95","44ff789a-199c-4720-87aa-07377cb0a93c","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_96","88ef8af8-3aa0-4c44-a89d-2a13607c66b7","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_97","223d4ac6-2977-4857-b82d-ad0bcd3b9130","True","Laboratory Test Result","string"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_98","71af3c34-4345-488c-a325-966155c34e90","True","Laboratory Test Fasting Status","boolean"
"Unit of Concentration","True","BiomedicalConceptProperty_99","203c0a92-b3a0-457a-88a6-56d98907f5ce","True","Unit of Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_100","741e5e17-5774-4680-a779-ba2e36ee50e5","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_101","b2cc7c37-4d68-49e5-8d77-27aef94660d7","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_102","abc117a7-8519-42e3-ab3b-096e09c4bd4d","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_103","ece49181-eccd-4fc8-b368-893dcdf2cdad","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_104","6c80d4c1-0c62-48e5-aad8-2b8301631e7d","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_105","dfdfa506-558d-43ce-9ed5-70f6050ce2c4","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_106","c4268cde-86ff-4054-9cc1-661685fc26cd","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_107","241a0c7c-e5b6-4cc1-992e-34b321e6c909","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_108","1a95e473-ed72-4940-8ecc-f61548d432ea","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_109","858a76bc-e8f9-48c6-bf5e-1124f6eefb19","True","Laboratory Test Result","string"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_110","3bdd2e21-1eec-4c80-9e18-966a433e5554","True","Laboratory Test Fasting Status","boolean"
"Unit of Concentration","True","BiomedicalConceptProperty_111","920bc14b-3f03-42f6-8fe5-343ca7f2919e","True","Unit of Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_112","bbf3cfc4-8038-4e4b-b3b3-a6477f1096d2","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_113","546584bd-0204-46d2-901e-8cf9630f949c","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_114","cba2acb8-31f6-4760-8328-8ed39f47b020","True","Laboratory Test Fasting Status","boolean"
"Molarity Unit","True","BiomedicalConceptProperty_115","b5db3633-82b1-4e1f-b548-d3c4a397fec9","True","Molarity Unit","string"
"Biospecimen Type","True","BiomedicalConceptProperty_116","678f0903-4540-4b97-9eb7-506990deaebb","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_117","03a86093-e618-4677-bdb5-0d227fcc65d4","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_118","0b8dfc7b-5ee4-495f-8366-7898c53bb6f0","True","Laboratory Test Fasting Status","boolean"
"Molarity Unit","True","BiomedicalConceptProperty_119","8aa9ad79-7597-4db2-85ce-eea7010b8c05","True","Molarity Unit","string"
"Biospecimen Type","True","BiomedicalConceptProperty_120","2853fca5-6de7-4c77-93e6-70e291ac15e1","True","Biospecimen Type","string"
"Adverse Event Verbatim Description","True","BiomedicalConceptProperty_1","43478eb3-8669-4079-af40-7fef8b514f85","True","Adverse Event Verbatim Description","string"
"Adverse Event Dictionary Derived Term","True","BiomedicalConceptProperty_2","348c7bcb-7cc1-4bfb-8dd2-84b528488fd3","True","Adverse Event Dictionary Derived Term","string"
"Adverse Event Category","True","BiomedicalConceptProperty_3","bbc090a1-9e4c-48a6-aa72-992617821223","True","Adverse Event Category","string"
"Adverse Event Subcategory","True","BiomedicalConceptProperty_4","5c50cb77-1503-4fe2-8914-72b41cbb382a","True","Adverse Event Subcategory","string"
"Adverse Event Pre-specified","True","BiomedicalConceptProperty_5","88ebf5bf-e941-4697-8ca8-b51c43d2a1f9","True","Adverse Event Pre-specified","boolean"
"Severity of Adverse Event","True","BiomedicalConceptProperty_6","f954d0f1-412d-4ee6-baa8-486f615567f0","True","Severity of Adverse Event","string"
"Adverse Event Toxicity Grade","True","BiomedicalConceptProperty_7","d7ebb924-b557-48c6-a4b1-c98eac97354e","True","Adverse Event Toxicity Grade","string"
"Seriousness of Adverse Event","True","BiomedicalConceptProperty_8","4ab8e049-547c-4b4b-834b-71629e222aeb","True","Seriousness of Adverse Event","boolean"
"Adverse Event Action Taken with Study Treatment","True","BiomedicalConceptProperty_9","9726d8c9-805e-4085-b86e-c59ee80969ad","True","Adverse Event Action Taken with Study Treatment","string"
"Adverse Event Attribution to Product or Procedure","True","BiomedicalConceptProperty_10","82d182d0-c5ec-4236-8e9d-ff65db265061","True","Adverse Event Attribution to Product or Procedure","string"
"Adverse Event Pattern","True","BiomedicalConceptProperty_11","5976e969-6b15-492f-a690-6abe954bc638","True","Adverse Event Pattern","string"
"Adverse Event Outcome","True","BiomedicalConceptProperty_12","173d7d50-c596-4ed2-ad34-61bf4d3e1ecb","True","Adverse Event Outcome","string"
"Adverse Event Start Date Time","True","BiomedicalConceptProperty_13","ff672e9f-8b6d-4b2a-87dd-839d3f249cd3","True","Adverse Event Start Date Time","datetime"
"Adverse Event End Date Time","True","BiomedicalConceptProperty_14","0fe20f56-03ec-4ca6-83c3-afd582a9ebcf","True","Adverse Event End Date Time","datetime"
"Vital Signs Result","True","BiomedicalConceptProperty_15","784a5b85-4b6f-4fc0-846f-e236a2362c73","True","Vital Signs Result","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_16","a6498f0d-716f-47d1-af20-b94f4965cb87","True","Unit of Pressure","string"
"Vital Signs Location","True","BiomedicalConceptProperty_17","d29b4f27-9b83-4440-ba4f-786a77bb27d7","True","Vital Signs Location","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_18","0ec723b9-93ac-4f66-8333-fca7fce5634f","True","Vital Signs Laterality","string"
"Test Method","True","BiomedicalConceptProperty_19","4f8fc563-d920-438f-bae8-eb6474d2e4a4","True","Test Method","string"
"Vital Signs Position","True","BiomedicalConceptProperty_20","58d41272-716a-4c09-8afb-c950df1fa0f3","True","Vital Signs Position","string"
"Vital Signs Result","True","BiomedicalConceptProperty_21","cdcc4cd0-92a6-4b61-9e37-e9d475b0e20f","True","Vital Signs Result","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_22","b79501f1-13da-4576-8483-5630d4ab2232","True","Unit of Pressure","string"
"Vital Signs Location","True","BiomedicalConceptProperty_23","182a356f-e3a2-43f3-a77c-a8e5fb0324d4","True","Vital Signs Location","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_24","445e266b-383d-4b0d-9fc3-eb372f1ceafe","True","Vital Signs Laterality","string"
"Test Method","True","BiomedicalConceptProperty_25","997ef25f-f40c-4b2a-9f9c-6e8f0f46b30c","True","Test Method","string"
"Vital Signs Position","True","BiomedicalConceptProperty_26","af31e5ca-769f-475b-90e2-03f84c50a383","True","Vital Signs Position","string"
"Vital Signs Result","True","BiomedicalConceptProperty_27","3fdefdc8-3242-47db-bf4c-fc50b693a695","True","Vital Signs Result","decimal"
"Unit of Temperature","True","BiomedicalConceptProperty_28","8e3702ad-99eb-4bfb-8cc4-54555120c261","True","Unit of Temperature","string"
"Vital Signs Location","True","BiomedicalConceptProperty_29","6f61a8e8-4cd3-4653-a31b-2d4df467aeb9","True","Vital Signs Location","string"
"Vital Signs Result","True","BiomedicalConceptProperty_30","6bf14a9e-61e5-4c7c-9174-96d0779d3c33","True","Vital Signs Result","decimal"
"Unit of Weight","True","BiomedicalConceptProperty_31","8737e95e-2e55-435c-963a-62144ce2abb0","True","Unit of Weight","string"
"Vital Signs Result","True","BiomedicalConceptProperty_32","c46d1ac7-b984-4602-9c37-8161208ef51d","True","Vital Signs Result","decimal"
"Unit of Height","True","BiomedicalConceptProperty_33","868be553-cbc2-42c7-b0b4-3759d31a9966","True","Unit of Height","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_34","9b58e8ce-d700-4e92-b889-0bbdbbeae219","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_35","bbcd0c4f-0dd7-4ea9-976b-8bc3c6387685","True","Laboratory Test Fasting Status","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_36","7beedb9b-a11d-450d-af19-41de06b0f77d","True","Unit of Catalytic Activity Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_37","b8de24a1-dd9d-41ff-a604-5865a8cbefbd","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_38","f473fea6-714d-4148-9419-d44e723ec4bd","True","Laboratory Test Result","string"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_39","f47a3370-0db7-4cef-a5ab-d3d3f57e9f5f","True","Laboratory Test Fasting Status","boolean"
"Unit of Concentration","True","BiomedicalConceptProperty_40","d080d570-3d7f-4d26-b4cd-efad456a82b9","True","Unit of Concentration","string"
"Biospecimen Type","True","BiomedicalConceptProperty_41","ca8163e1-f00a-495e-afa1-0ac7e8cf9fea","True","Biospecimen Type","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_42","25a39fe4-9790-450a-b233-15267df202d2","True","Laboratory Test Result","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_43","50594b65-d8f1-4171-bbb7-9f308f79376a","True","Laboratory Test Fasting Status","boolean"
