"name","id","description","activityIsConditionalReason","uuid:ID","activityIsConditional","label"
"Informed consent","Activity_1","","","96c31d06-b94e-4d79-a652-56c0fe955b4d","False",""
"Inclusion/exclusion criteria","Activity_2","","","8388ac70-9c55-40e9-86a8-6d42f1f498d4","False",""
"Patient number assigned","Activity_3","","","52122ca6-39a5-408c-8042-042ee14d060e","False",""
"Demographics","Activity_4","","","d83d54de-6496-4c4a-8d98-50dc1a20768e","False","Demographics"
"Hachinski","Activity_5","","","eaea30f2-be77-4d0e-a55b-cf8cf2724d0e","False","Hachinski"
"MMSE","Activity_6","","","27c2f690-dddc-450e-b40a-cb8dda522081","False","MMSE"
"Physical examination","Activity_7","","","279070a6-c2c7-4095-b975-674378d6cc30","False",""
"Medical history","Activity_8","","","a9282960-3fb7-462a-a2ab-aa9f4ce677b3","False",""
"Habits","Activity_9","","","2fd16735-281c-4942-9a1a-f25423cd7408","False",""
"Chest X-ray","Activity_10","","","10869b96-9bf0-4ba1-99df-1f377e920e47","False",""
"Apo E genotyping","Activity_11","","","014d1836-7861-49a0-8f29-a4f0b02dbd29","False",""
"Patient randomised","Activity_12","","","d5dc10f5-16d2-4336-8c15-0fc583732826","False",""
"Vital signs / Temperature","Activity_13","","","efd6454d-8526-4076-b7e1-170dd4fecb5d","False","Vital Signs and Temperature"
"Ambulatory ECG placed","Activity_14","","","2d58d5c6-47ff-4c77-aaba-f370aa6fdb30","False",""
"Ambulatory ECG removed","Activity_15","","","2503a2fa-aff3-4fc3-b558-a127e07fcb2c","False",""
"ECG","Activity_16","","","780da09e-f68e-40ac-94c4-eae4aa34e174","False",""
"Placebo TTS test","Activity_17","","","916e8746-2d40-4c8f-a31d-a2dee9e1158e","False",""
"CT scan","Activity_18","","","ac8bcfde-4559-4f76-a525-5a56e50a8d99","False",""
"Concomitant medications","Activity_19","","","228d5a55-ca5f-4aa6-9b00-0b4314daefa8","False",""
"Hematology","Activity_20","","","2223f93d-58f0-49d2-b9ab-851bc3f7f1b2","False",""
"Chemistry","Activity_21","","","0366eb28-4a68-4da5-a985-aebda3497fe2","False",""
"Uninalysis","Activity_22","","","b153ff7f-383e-4459-af5b-8d46930fb0e7","False",""
"Plasma Specimen (Xanomeline)","Activity_23","","","bfd75c23-8cd2-493d-a32e-0d0abeea99ca","False",""
"Hemoglobin A1C","Activity_24","","","8eabf325-fac1-4fb5-95e2-a93f2c3e2bd4","False",""
"Study drug","Activity_25","","","b2c1b36b-86df-41ef-b89c-110195a4aad1","False","Study drug record , Medications dispensed, Medications returned"
"TTS Acceptability Survey","Activity_26","","","3a29d10f-c2aa-460e-a801-489f57a5ef12","False",""
"ADAS-Cog","Activity_27","","","db3c346e-7e75-4cbc-8d30-f3abd6b23a46","False",""
"CIBIC+","Activity_28","","","1a09c8a9-dbf8-449f-a099-0fe41e45374c","False",""
"DAD","Activity_29","","","5913b075-7752-4083-94a0-8e4692bae41c","False",""
"NPI-X","Activity_30","","","4d406f2f-8405-4051-be6e-f1e255526d6b","False",""
"Adverse events","Activity_31","","","90c1e957-bee2-44c0-b7fd-c2f7c62b6561","False",""
"Check adverse events","Activity_32","","","e72af618-1d93-44af-9357-31906d30b2f4","False",""
"Supine 5min","Activity_33","","","5443fc9d-4a14-4510-8da5-73cbc8f49efb","False","Supine for 5 minutes"
"Blood Pressure Supine","Activity_34","","","d244e77a-a285-4fea-a017-35bb10aaca67","False","Blood pressure supine"
"Stand 3min","Activity_35","","","35801b70-b1db-4209-a147-cd7cc1161f12","False","Stand for 3 minutes"
"Bood Pressure Standing","Activity_36","","","d7ef73e9-fe89-4505-b1c0-5f3f0ac45f40","False","Blood pressure standing"
