"name","id","timingWindow","description","timingValue","uuid:ID","timingWindowLower","timingWindowUpper","label"
"TIM1","Timing_1","","Screening timing","P2W","3d9f4ecd-5530-4d41-8314-e1b6f69e01fe","","","Screening"
"TIM2","Timing_2","-4..0 hours","Pre dose timing","P2D","22041b9e-45e8-4f83-95e2-0643272a27c2","PT4H","PT0H","Pre dose"
"TIM3","Timing_3","","Dosing anchor","P1D","e6ef288a-31d8-4666-9ad5-68276a95b0d9","","","Dosing"
"TIM4","Timing_4","-3..3 days","Week 2 timing","P2W","bf957740-8251-4d0f-848a-0066473fe75d","P3D","P3D","Week 2"
"TIM5","Timing_5","-3..3 days","Week 4 timing","P4W","3efe071f-c0c1-4a69-a655-3d1574834133","P3D","P3D","Week 4"
"TIM6","Timing_6","-3..3 days","Week 6 timing","P6W","ae5744b2-a5ad-4718-83e2-90239f236926","P3D","P3D","Week 6"
"TIM7","Timing_7","-3..3 days","Week 8 timing","P8W","ba7633e0-3051-4f9b-886f-d2c120053590","P3D","P3D","Week 8"
"TIM8","Timing_8","","Week 8 at home timing","P2W","64416510-373a-4910-b8cb-cf535a547921","","","Week 8 Home"
"TIM9","Timing_9","-4..4 days","Week 12 timing","P12W","f4a7f0ff-2823-4b64-b2f7-3b899c86fcbc","P4D","P4D","Week 12"
"TIM10","Timing_10","","Week 12 at home timing","P2W","03123b59-6f1f-44f7-b425-ba88c18c51c0","","","Week 12 Home"
"TIM11","Timing_11","-4..4 days","Week 16 timing","P16W","dc25f3b5-37f2-46c8-bfbb-1b40ebfaf335","P4D","P4D","Week 16"
"TIM12","Timing_12","","Week 16 at home timing","P2W","06b804d6-32d0-48de-85e9-1ac915d32156","","","Week 16 Home"
"TIM13","Timing_13","-4..4 days","Week 20 timing","P20W","9f38f0a8-d9a9-453b-bce3-14ce94973585","P4D","P4D","Week 20"
"TIM14","Timing_14","","Week 20 at home timing","P2W","b37f1791-f445-4bbf-9298-beb6dd0cac85","","","Week 20 Home"
"TIM15","Timing_15","-4..4 days","Week 24 timing","P24W","8a518e81-07c3-43c9-a535-9ef96bdcd2c0","P4D","P4D","Week 24"
"TIM16","Timing_16","-3..3 days","Week 26 timing","P26W","c618ae42-01fc-471f-875b-74446ab20eb3","P3D","P3D","Week 26"
"TIM17","Timing_17","","Adverse Event","P1D","2285b2ea-9665-4e7a-957c-a92371977796","","","Adverse Event"
"TIM18","Timing_18","","Early Termination","P1D","35d759a8-8e19-4fa8-82b0-9cc4423a8c9b","","","Early Termination"
"TIM19","Timing_19","","BP Anchor","PT0M","fd5f8514-a203-4d67-b33a-eb0cec94a29f","","","BP Anchor"
"TIM20","Timing_20","","BP while Supine","PT5M","c7405fba-97db-4343-9fe2-202b681cddd2","","","BP while Supine"
"TIM21","Timing_21","-2..0 mins","BP Stand Up","PT3M","8b59974f-a33f-406e-8885-548bac1bfd0c","PT2M","PT0M","BP Stand Up"
"TIM22","Timing_22","","BP while standing","PT0M","4adf5d19-e2f0-4e73-917a-f9915f57d678","","","BP while standing"
