"name","id","description","uuid:ID","label"
"E1","Encounter_1","Screening encounter","a436f970-c3ff-4a26-a4b4-d1aff9f351ac","Screening 1"
"E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","c300dcfd-fe67-4668-ac70-952c11746e36","Screening 2"
"E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","835fca52-1a4b-4eef-81c4-20644399733d","Baseline"
"E4","Encounter_4","Day 14","eb6140f5-820c-413c-b3b6-59ae0601580b","Week 2"
"E5","Encounter_5","Day 28","7abf5966-32b1-46ab-bda0-7b6a5b56a95f","Week 4"
"E7","Encounter_6","Day 42","8b388095-2115-4ead-bfdb-5fa705e472c6","Week 6"
"E8","Encounter_7","Day 56","4a312275-740d-4f6c-9afa-fa929b46adbc","Week 8"
"E9","Encounter_8","Day 84","7a14ff19-4c11-4bdd-a437-4759f3e24503","Week 12"
"E10","Encounter_9","Day 112","0af054bb-d767-4401-b706-787514522848","Week 16"
"E11","Encounter_10","Day 140","e02a39de-f218-4d15-86bb-3ae8836045ba","Week 20"
"E12","Encounter_11","Day 168","b77bb198-e02b-40c3-a64b-41b97482e800","Week 24"
"E13","Encounter_12","Day 182","09a11f40-9ccb-423a-bba7-e43c25ff110b","Week 26"
