"text","name","uuid:ID","id"
"Subject identifier","ENCOUNTER_START_RULE_1","72d99cdc-b6ce-47f7-94f4-fb85a5c9e78f","TransitionRule_1"
"completion of screening activities","ENCOUNTER_START_RULE_1","9ce25259-e850-49e9-9cc1-2ebd825552ac","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","c9a0c291-a9e2-4579-8362-f4dd79987c4a","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","2039f59a-a304-4ae8-bb07-168fd45fd67d","TransitionRule_4"
"Radomized","ENCOUNTER_START_RULE_3","2f3d1734-f829-49d1-990b-aed30f3f0e4b","TransitionRule_5"
"End of treatment","ENCOUNTER_START_RULE_12","e5147153-3fcc-426a-baf9-011eca878002","TransitionRule_6"
"Informed consent","ELEMENT_START_RULE_1","07eea7cb-874a-4074-aeeb-813e9fa811db","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","99591244-030f-44b9-82ea-cbd706466a62","TransitionRule_8"
"Administration of first dose","ELEMENT_START_RULE_2","78697eae-4c8c-4e3a-b8dd-7c1721f72e23","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","2c655fda-0270-4cfb-9a8b-e112dbf10b53","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","6ab6fe96-124e-48eb-bf40-ed5dbabd150d","TransitionRule_15"
"Administration of first dose","ELEMENT_START_RULE_3","0516f5cf-a44c-48e7-b5ca-57054c2cecd9","TransitionRule_10"
"Randomized","ELEMENT_START_RULE_4","8c040ea4-0e9b-4b84-b572-3030409ea36c","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","510b27da-ee5a-4978-bcf3-444c180425e4","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","5f8e63a0-b7e7-4ca3-803e-098a2bdf1f79","TransitionRule_13"
