"name","id","sectionTitle","text","uuid:ID","sectionNumber"
"ROOT","NarrativeContent_1","Root","","1020c2de-6d97-4538-bbef-958df90f0fc1","0"
"SECTION 0","NarrativeContent_2","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","e63922df-4375-4432-bbb2-11b028e938f0","0"
"SECTION 1","NarrativeContent_3","PROTOCOL SUMMARY","<div></div>","c33874ca-ebbb-4182-988d-ef457d563fe8","1"
"SECTION 1.1","NarrativeContent_4","Protocol Synopsis","<div></div>","753d028a-86ce-4413-83ac-e76c5eb1c609","1.1"
"SECTION 1.2","NarrativeContent_5","Trial Schema","<div></div>","0bb47fc4-cafa-4e8d-8020-7c54c270a150","1.2"
"SECTION 1.3","NarrativeContent_6","Schedule of Activities","<div></div>","0a529deb-c8e4-453b-a09f-fa22c6f58b7e","1.3"
"SECTION 2","NarrativeContent_7","INTRODUCTION","<div></div>","8195a7e9-1053-4f17-bbb4-dc883c5159e0","2"
"SECTION 2.1","NarrativeContent_8","Purpose of Trial","<div></div>","909000f7-62ec-44bd-b18e-abb958831a3c","2.1"
"SECTION 2.2","NarrativeContent_9","Summary of Benefits and Risks","<div></div>","ffd75aea-2a12-4876-98c4-48554cf24318","2.2"
"SECTION 3","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","90ce3c13-887c-4453-b8a1-e05d3880d895","3"
"SECTION 3.1","NarrativeContent_11","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","b355ff73-cd5b-4a37-aa79-ddc023df5f43","3.1"
"SECTION 4","NarrativeContent_12","TRIAL DESIGN","<div></div>","e9b9f31b-96dc-48da-a4be-94635c6f002f","4"
"SECTION 4.1","NarrativeContent_13","Description of Trial Design","<div></div>","61a4b3f8-c8f5-4a60-88b7-c0a9686cac6c","4.1"
"SECTION 4.1.1","NarrativeContent_14","Participant Input into Design","<div></div>","d8a2bbd4-bb00-4200-b120-ec6dbda3333f","4.1.1"
"SECTION 4.2","NarrativeContent_15","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","52996932-0eac-464e-b935-ca12aa00b70a","4.2"
"SECTION 4.2.1","NarrativeContent_16","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","224abe81-63c0-489f-92b8-6bf35bcd1b0d","4.2.1"
"SECTION 4.2.2","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","<div></div>","2ecbb027-4455-4014-8fd5-8506a1e7e96a","4.2.2"
"SECTION 4.2.3","NarrativeContent_18","Other Trial Design Considerations","<div></div>","943700bc-a2ad-44af-bb73-53d60f9ed8d7","4.2.3"
"SECTION 4.3","NarrativeContent_19","Access to Trial Intervention After End of Trial","<div></div>","69dce2eb-2ba4-4912-a04b-e9dc820318eb","4.3"
"SECTION 4.4","NarrativeContent_20","Start of Trial and End of Trial","<div></div>","e0742113-770a-4292-b2c1-d78a5835375f","4.4"
"SECTION 5","NarrativeContent_21","TRIAL POPULATION","<div></div>","797a878e-1fd6-4212-b949-de22b5f99850","5"
