"codeSystemVersion","id","decode","code","uuid:ID","codeSystem"
"2023-09-29","Code_1","Interventional Study","C98388","f70a59a7-dfe1-443e-baa0-a2fd2cbce222","http://www.cdisc.org"
"2023-09-29","Code_2","Phase II Trial","C15601","9799a489-834e-4610-bc34-53dc4e6e1c53","http://www.cdisc.org"
"2023-09-29","Code_5","Sponsor Approval Date","C132352","7db13b6a-4492-45b6-81b0-fb07fbd875ee","http://www.cdisc.org"
"2023-09-29","Code_6","Global","C68846","f5ddd360-e5e0-4ba9-8d94-c83698766abe","http://www.cdisc.org"
"2023-09-29","Code_54","IRB/IEC Feedback","C99904x3","4305e7c7-fe9b-42e8-8262-70564040c466","http://www.cdisc.org"
"2023-09-29","Code_55","Other","C17649","1645e47a-8153-4a61-845b-7c755ec8c1b4","http://www.cdisc.org"
"2023-09-29","Code_57","Region","C41129","71336f15-19b0-4160-8abb-0d8ac1e02730","http://www.cdisc.org"
"2020-08","Code_56","Europe","150","d947baa3-fa0c-4f95-8a37-b578c633a84a","ISO 3166 1 alpha3"
"12","Code_3","Eli Lilly","PHARMA","486a7e13-bdb3-4136-8941-ea37d0a34b52","SPONSOR"
"2023-09-29","Code_58","Clinical Study Sponsor","C70793","c059d03d-4dba-4029-910f-015f45432dad","http://www.cdisc.org"
"2020-08","Code_59","United States of America","USA","312591cb-3270-48ea-a2c3-c0985c91b527","ISO 3166 1 alpha3"
"2023-09-29","Code_60","Study Registry","C93453","ad4d8154-86f0-432f-ba49-44e4d2f607b1","http://www.cdisc.org"
"2023-09-29","Code_118","Treatment Study","C49656","e3e650e1-ab2f-4d3a-99ab-c04c71b56184","http://www.cdisc.org"
"2023-09-29","Code_119","Efficacy Study","C49666","fbc13cd8-d876-49d9-9b59-b965524d2ebd","http://www.cdisc.org"
"2023-09-29","Code_120","Safety Study","C49667","4959df1a-c1c2-4b65-a296-a8c5ab647fbe","http://www.cdisc.org"
"2023-09-29","Code_121","Pharmacokinetic Study","C49663","199f0d65-b42c-4a2e-83d1-7928d1877b77","http://www.cdisc.org"
