"description","label","text","purpose","uuid:ID","instanceType","name","id"
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","bac09acf-9b32-4969-bb71-f5d1ef9503f8","Endpoint","END1","Endpoint_1"
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","bb340fc2-b65e-4562-9acc-34b363b8ec33","Endpoint","END2","Endpoint_2"
"","","Adverse events","","75f9f6bd-2227-40db-af6a-5a2349b4f9cb","Endpoint","END3","Endpoint_3"
"","","Vital signs (weight, standing and supine blood pressure, heart rate)","","c931e809-7616-4533-8b73-eb81b296886a","Endpoint","END4","Endpoint_4"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Laboratory evaluations (Change from Baseline)","","e6cb9199-0027-4991-b9bb-3bfa1e0d71b2","Endpoint","END5","Endpoint_5"
"","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","a443644a-c05a-40aa-9d04-a31276a07bce","Endpoint","END6","Endpoint_6"
"","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","c4ce2d57-cb49-42b0-8cac-611a2fe85dd5","Endpoint","END7","Endpoint_7"
"","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","3b01f97f-7c41-4bfa-95aa-e8272f081244","Endpoint","END8","Endpoint_8"
"","","*** To be determined from protocol ***","","e1fe6b33-979d-433f-814c-e357049b43f8","Endpoint","END9","Endpoint_9"
"","","*** To be determined from protocol ***","","062b583a-b330-4def-b854-d2c110693c3a","Endpoint","END10","Endpoint_10"
"","","*** To be determined from protocol ***","","b5a48a55-eeea-45d3-83f3-c1cb414f2bf5","Endpoint","END11","Endpoint_11"
