"label","uuid:ID","synonyms","instanceType","name","id","reference"
"Informed Consent Obtained","ca85194c-cd5a-437e-b613-aa5fba14ad2a","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","Informed Consent Obtained","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"Sex","4cee6804-3f63-4463-a05b-6f36ec624e80","","BiomedicalConcept","Sex","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","fe20edd3-62df-4945-9827-982dee85471b","['Racial Group']","BiomedicalConcept","Race","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","399ca3b4-8c4d-4461-805a-00f7db553763","['Temperature', 'Body Temperature']","BiomedicalConcept","Temperature","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","583c85b0-3a12-459e-9d21-edc15922c288","['Weight', 'Body Weight']","BiomedicalConcept","Weight","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","abd7905c-337a-4278-949b-1d5038c9babd","['Height', 'Body Height']","BiomedicalConcept","Height","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","00fd3e71-dfec-4beb-9812-b1dce24f1ff1","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","75b78cb7-3f5e-4fee-8fc3-68ef20597f15","['Albumin', 'Albumin Measurement']","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","cf9c7fbb-5aa3-49ca-bc9f-422c36d82cd4","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","763a745f-cf82-44ed-8fdc-fc8471dc81b5","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","b7c8d830-2c1c-4e50-a728-5b741640b274","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","ed675ec6-ae29-47f5-a80f-6ca3d4d3907b","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","62987153-7dd8-4c3e-b34b-c1a1c1f656b7","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","d92d61b3-9e1f-4790-bf12-404a2afc6fea","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","ab03dc82-1623-442a-a911-038e466f05f0","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","Adverse Event Prespecified","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","f16ed1bb-7ab1-4eff-803f-45b3d5d720c3","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","6662d550-22ee-4a62-bae6-81d57c1483c7","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","9664e0e7-653c-4cc4-bb5d-065a76b21976","['Temperature', 'Body Temperature']","BiomedicalConcept","Temperature","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","c59c74a3-cfe8-4d4a-8fac-e631a6f71dbd","['Weight', 'Body Weight']","BiomedicalConcept","Weight","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","8f318cdc-9222-440e-b486-ebc2469d890a","['Height', 'Body Height']","BiomedicalConcept","Height","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","9ab9766b-5aa9-40b0-970e-e7af3f231c11","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","cfd7cfcd-3018-45c3-903b-5ba867a26c9f","['Albumin', 'Albumin Measurement']","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","e51f677d-ea5c-44ea-af2f-452c11e915a8","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","35853df7-44ce-4775-a01c-d88a589703d5","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","cd007d8f-f819-4a40-b16b-bceb6ae6bc62","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","f833f93e-ee60-4d5f-ab88-e8dd5a131b0d","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","584dfbc3-26d8-4b5a-ba9d-8abf6aac82be","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Systolic Blood Pressure","f669b6f1-4c6c-4871-b97e-f776e318507b","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","0e70adad-4e12-4c46-8c2a-581eafb5b865","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","7e461f91-22b5-463c-855d-827865982787","['Heart Rate']","BiomedicalConcept","Heart Rate","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
"Systolic Blood Pressure","ce294a45-0271-4687-8721-634e0c9eafee","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","b495b3f6-4be6-45df-a43b-f8b29763a311","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Heart Rate","2ffee53b-66b6-48d8-badc-7d19aad4f117","['Heart Rate']","BiomedicalConcept","Heart Rate","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR"
