"description","label","uuid:ID","instanceType","name","id"
"-","Screen One","97d43c37-bf7b-47b0-bcaf-17b8d0eb1074","ScheduledActivityInstance","SCREEN1","ScheduledActivityInstance_9"
"-","Screen Two","4577b274-d47e-4233-a092-b6d661c447dc","ScheduledActivityInstance","SCREEN2","ScheduledActivityInstance_10"
"-","Dose","63ce3b8c-cdcd-4e1c-893f-294821aa286a","ScheduledActivityInstance","DOSE","ScheduledActivityInstance_11"
"-","Week 2","d627c7d0-993b-4888-a8c7-9e06139820f8","ScheduledActivityInstance","WK2","ScheduledActivityInstance_12"
"-","Week 4","1d0625b5-5bb2-4a1d-88c9-58c06c1cc53d","ScheduledActivityInstance","WK4","ScheduledActivityInstance_13"
"-","Week 6","fef1d8db-9b57-4ee2-b7a3-9a2d9b17fa98","ScheduledActivityInstance","WK6","ScheduledActivityInstance_14"
"-","Week 8","952b77ca-5837-44ea-8600-d03974436fdb","ScheduledActivityInstance","WK8","ScheduledActivityInstance_15"
"-","Week NPI","aefb486b-f778-4abe-ad6d-d912be9be425","ScheduledActivityInstance","WK8N","ScheduledActivityInstance_16"
"-","Week 12","cabf3efe-8060-4419-890b-5ce1d3aff256","ScheduledActivityInstance","WK12","ScheduledActivityInstance_17"
"-","Week 12 NPI","a0e8a946-a3e0-4359-a385-193cbdeed593","ScheduledActivityInstance","WK12N","ScheduledActivityInstance_18"
"-","Week 16","9788adf1-20e4-4cf1-a2bc-87db056ea18f","ScheduledActivityInstance","WK16","ScheduledActivityInstance_19"
"-","Week 16 NPI","f3916561-8f29-476a-baba-51aeacdc2201","ScheduledActivityInstance","WK16N","ScheduledActivityInstance_20"
"-","Week 20","11106358-8f9e-47f9-b901-5b54b9a9ea6d","ScheduledActivityInstance","WK20","ScheduledActivityInstance_21"
"-","Week 20 NPI","d89e6076-fe45-45d1-8e37-a57776385a19","ScheduledActivityInstance","WK20N","ScheduledActivityInstance_22"
"-","Week 24","3c185c92-af32-44d8-92d9-ec224ddfa308","ScheduledActivityInstance","WK24","ScheduledActivityInstance_23"
"-","Week 26","d51b118e-0c74-41c3-955f-6a6ec767e17d","ScheduledActivityInstance","WK26","ScheduledActivityInstance_24"
"-","Adevers Event","7187f46d-0acd-47fa-a6f2-13c5a9acca6b","ScheduledActivityInstance","AE","ScheduledActivityInstance_1"
"-","Early Termination","73209f19-1377-4dc0-afd9-94952856c767","ScheduledActivityInstance","ET","ScheduledActivityInstance_2"
"","5 minute supine","c760f0ac-83fb-4699-9890-5222efe4737e","ScheduledActivityInstance","VS_5MIN","ScheduledActivityInstance_3"
"","Vital signs supine","32b650be-5a2f-495b-864e-36e93e2d7e63","ScheduledActivityInstance","VS_SUPINE","ScheduledActivityInstance_4"
"","1 minute standing","edea7035-8d4c-469f-9628-d7f769d0dee5","ScheduledActivityInstance","VS_1MIN","ScheduledActivityInstance_5"
"","Vital signs after 1 min standing","54a6d612-150f-444d-bd7c-7ade79cb469e","ScheduledActivityInstance","VS_STAND1","ScheduledActivityInstance_6"
"","2 minute standing","3631a945-272c-46f9-9066-cd9a0a9bee28","ScheduledActivityInstance","VS_2MIN","ScheduledActivityInstance_7"
"","Vital signs after 3 min standing","5c1722eb-1883-4ad9-8fec-80be2a88addc","ScheduledActivityInstance","VS_STAND3","ScheduledActivityInstance_8"
