"description","label","uuid:ID","instanceType","name","id"
"","Informed consent","68fe3861-a19a-4fd5-ba75-69ba38644792","Activity","Informed consent","Activity_1"
"","Inclusion and exclusion criteria","534619bb-93d3-4a1b-b065-6bac88d3a5f4","Activity","Inclusion/exclusion criteria","Activity_2"
"","Patient number assigned","24d8ba0d-ac6b-498b-82f6-6b4b7d7b4a69","Activity","Patient number assigned","Activity_3"
"","Demographics","0409c92e-ef99-4678-a039-9938d726ea4d","Activity","Demographics","Activity_4"
"","Hachinski Ischemic Scale","71b8f8c0-06b2-4f76-af4c-3c0133b44138","Activity","Hachinski","Activity_5"
"","MMSE","40a61a7c-a91c-4aee-94bf-8867a5ddd1cb","Activity","MMSE","Activity_6"
"","Physical examination","3a83b414-1cd5-4ed1-890f-c5103fc28428","Activity","Physical examination","Activity_7"
"","Medical history","8d4dffb1-8035-490a-87b8-acebd6989739","Activity","Medical history","Activity_8"
"","Habits","4d580228-69b0-4b86-ae3b-da4acf7ed72f","Activity","Habits","Activity_9"
"","Chest X-ray","e5e03ae5-cade-4df1-99e7-78a4a21f3714","Activity","Chest X-ray","Activity_10"
"","Apo E genotyping","7b783b8f-eb29-4423-8898-24478e7813f9","Activity","Apo E genotyping","Activity_11"
"","Patient randomised","3a4b747b-f7b1-4848-9e98-13a1642d19cd","Activity","Patient randomised","Activity_12"
"","Vital Signs and Temperature","c91c63e9-91da-420a-b796-1378a775f944","Activity","Vital signs / Temperature","Activity_13"
"","Ambulatory ECG placed","60978ff1-255d-428a-8543-18e8c24e25a9","Activity","Ambulatory ECG placed","Activity_14"
"","Ambulatory ECG removed","eb2447b7-0d45-4b13-9322-7a15b8c38991","Activity","Ambulatory ECG removed","Activity_15"
"","ECG","58aa3274-aabc-409c-a741-bee865836f14","Activity","ECG","Activity_16"
"","Placebo TTS test","061cfee4-1236-4da1-b683-5556b0872706","Activity","Placebo TTS test","Activity_17"
"","CT scan","83adc075-e45d-4414-b8a5-ceb92c42b721","Activity","CT scan","Activity_18"
"","Concomitant medications","c2b8eff1-8962-459b-bf01-6ac7ab364362","Activity","Concomitant medications","Activity_19"
"","Hematology","d787b001-c0af-47d3-b78a-abcb058a93c6","Activity","Hematology","Activity_20"
"","Chemistry","65fc9c4f-d246-4dda-a70b-40fa44aa3a9a","Activity","Chemistry","Activity_21"
"","Uninalysis","6e28b65e-659b-436f-921e-944092b5bad0","Activity","Uninalysis","Activity_22"
"","Plasma Specimen (Xanomeline)","edae656d-4edc-45d0-b55b-046dab23df41","Activity","Plasma Specimen (Xanomeline)","Activity_23"
"","Hemoglobin A1C","9927cfd7-09aa-4d6e-ae5a-6a5c71b8d61f","Activity","Hemoglobin A1C","Activity_24"
"","Study drug record , Medications dispensed, Medications returned","f0094306-a751-4bf3-992e-3f00d9b34184","Activity","Study drug","Activity_25"
"","TTS Acceptability Survey","78940b93-d646-49f6-9f07-45166ac3aaa9","Activity","TTS Acceptability Survey","Activity_26"
"","ADAS-Cog","a02bbae0-4915-4513-97b0-81b105d7c410","Activity","ADAS-Cog","Activity_27"
"","CIBIC+","5336a099-ed1a-4175-95db-28f66ba197ae","Activity","CIBIC+","Activity_28"
"","DAD","1703d30d-a019-4c38-88d4-f010b9a0e0d2","Activity","DAD","Activity_29"
"","NPI-X","6e77c4ca-1993-4821-ab43-ad3938dbd540","Activity","NPI-X","Activity_30"
"","Adverse events","83378269-6b69-421b-939e-bc46fc3298ad","Activity","Adverse events","Activity_31"
"","Check adverse events","ac972841-b8e2-4f53-97a1-cb240ca1e42a","Activity","Check adverse events","Activity_32"
"","Subject supine","2a629ba6-b01a-44a2-bf41-9cd1c13c0024","Activity","Supine","Activity_33"
"","Vital signs while supine","5513b60e-80a3-4ed2-af22-ad16c3ef3108","Activity","Vital Signs Supine","Activity_34"
"","Subject Standing","a47673aa-3d91-4f4d-8e00-8f6eb3205b13","Activity","Stand","Activity_35"
"","Vital signs while standing","bcb377d5-fe6c-4100-861b-1026b28a5161","Activity","Vital Signs Standing","Activity_36"
