"description","valueLabel","label","uuid:ID","windowLabel","value","windowUpper","instanceType","windowLower","name","id"
"Screening timing","2 weeks","Screening","b1f3078c-6163-4714-8822-244bc12f43c9","","P2W","","Timing","","TIM1","Timing_1"
"Pre dose timing","2 days","Pre dose","42f1046b-f8f7-40a8-b7d4-b23ea287184f","-4..0 hours","P2D","PT0H","Timing","PT4H","TIM2","Timing_2"
"Dosing anchor","1 Day","Dosing","bb5745bd-0c83-46d0-bbeb-a479d69295ba","","P1D","","Timing","","TIM3","Timing_3"
"Week 2 timing","2 Weeks","Week 2","614616d2-244c-4f55-bbed-bdeaf97c6f8b","-3..3 days","P2W","P3D","Timing","P3D","TIM4","Timing_4"
"Week 4 timing","4 Weeks","Week 4","3cd9adba-0e19-4fc7-b1a3-27d39ba42a99","-3..3 days","P4W","P3D","Timing","P3D","TIM5","Timing_5"
"Week 6 timing","6 Weeks","Week 6","4af51ea8-1950-4523-9e3b-7114a0c1eaa8","-3..3 days","P6W","P3D","Timing","P3D","TIM6","Timing_6"
"Week 8 timing","8 Weeks","Week 8","4067a7e9-b055-46cf-92ad-0939c9eb0ca2","-3..3 days","P8W","P3D","Timing","P3D","TIM7","Timing_7"
"Week 12 timing","12 Weeks","Week 12","55222866-c70e-4e7b-9abc-1e1c8ecd6a73","-4..4 days","P12W","P4D","Timing","P4D","TIM9","Timing_9"
"Week 16 timing","16 Weeks","Week 16","e0aef6f8-8679-4066-b92d-90143d1d640c","-4..4 days","P16W","P4D","Timing","P4D","TIM11","Timing_11"
"Week 20 timing","20 Weeks","Week 20","e6906f8d-15ac-419d-af03-0ac0c51d44ea","-4..4 days","P20W","P4D","Timing","P4D","TIM13","Timing_13"
"Week 24 timing","24 Weeks","Week 24","cde4bc1a-2672-44cd-b115-53e1ca5b1c7f","-4..4 days","P24W","P4D","Timing","P4D","TIM15","Timing_15"
"Week 26 timing","26 Weeks","Week 26","87969833-0301-4a3e-b876-29830b2f8092","-3..3 days","P26W","P3D","Timing","P3D","TIM16","Timing_16"
"Week 8 at home timing","2 Weeks","Week 8 Home","3f4b907a-c025-49eb-a391-1dd7418cdf69","","P2W","","Timing","","TIM8","Timing_8"
"Week 12 at home timing","2 Weeks","Week 12 Home","e476d223-14da-41ba-93a1-2377a113eff8","","P2W","","Timing","","TIM10","Timing_10"
"Week 16 at home timing","2 Weeks","Week 16 Home","d06af002-eaf7-4777-9f4f-5215a4226342","","P2W","","Timing","","TIM12","Timing_12"
"Week 20 at home timing","2 Weeks","Week 20 Home","935c4b8f-2ba7-4657-b8e8-2e168a101e9c","","P2W","","Timing","","TIM14","Timing_14"
"Adverse Event","1 Day","Adverse Event","330ccbfb-acc2-4150-a886-6fc1b1154a82","","P1D","","Timing","","TIM17","Timing_17"
"Early Termination","1 Day","Early Termination","ccbc469b-71dc-4e9e-86f3-a08b5b8d22f2","","P1D","","Timing","","TIM18","Timing_18"
"Supine","0 mins","Supine","24f6678a-dd21-4dfd-8ff7-c97f75d2e2ed","","PT0M","","Timing","","TIM19","Timing_19"
"VS while supine","5 mins","VS while supine","61da7eb0-ca33-4563-bd9e-2dbbee4439d2","","PT5M","","Timing","","TIM20","Timing_20"
"Standing","0 min","Standing","3d4d9ed8-5df1-4994-9dfe-fc16e506102b","","PT0M","","Timing","","TIM21","Timing_21"
"VS while standing","1 min","VS while standing","7f6f9511-c145-4042-8074-965905a6e666","","PT1M","","Timing","","TIM22","Timing_22"
"Standing","0 min","Standing","d2d24731-02c4-48a2-90dd-bbc07d0bb084","","PT0M","","Timing","","TIM23","Timing_23"
"VS while standing","2 min","VS while standing","263cb626-cbd3-4eda-a849-b5e3afbee70d","","PT2M","","Timing","","TIM24","Timing_24"
