"text","uuid:ID","instanceType","name","id"
"Subject identifier","0df8f692-eb1b-4f70-ba0c-999d3a502340","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1"
"completion of screening activities","c39c20f0-8495-4a4a-ab22-0110e18ff640","TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","c6973427-e132-40be-97a6-5edaf4c7c1eb","TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","233fbc2c-494e-40fb-b56a-1ec33924b46f","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4"
"Radomized","6842f81e-0885-49d7-a7ab-93ceac255265","TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5"
"End of treatment","ef1fe1fd-7877-42cd-8843-7f1ffd9c430a","TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6"
"Informed consent","8222e5a1-9a1f-4abd-bc96-4823ca0408f4","TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","b834b223-b08e-4638-819a-97599de98bd4","TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8"
"Administration of first dose","a144af61-5096-426f-9f4d-0e78598c7b2a","TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","c4f26c11-8d7e-44da-8dec-3fc44c4fd6e1","TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","8a9e07ac-d0cb-41fb-b0a6-3877cda2944a","TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15"
"Administration of first dose","7de1f030-606c-4b61-abb7-92db9c73583d","TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10"
"Randomized","9b35c81a-dec5-4af9-8f5a-d07a405224aa","TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","8536e87d-9ffc-4ff6-ad25-b0867bbfe10b","TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","6a82feca-cb3a-41b4-80a5-70d02571af3a","TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13"
