"description","label","uuid:ID","instanceType","name","id"
"Screening encounter","Screening 1","ee612300-299f-402a-93a7-2ed53e1b2c9e","Encounter","E1","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","Screening 2","237046fc-342a-4ec1-90d5-e8cfd8d79f85","Encounter","E2","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","Baseline","52c3575f-741a-40d3-b244-e4e3f481eecd","Encounter","E3","Encounter_3"
"Day 14","Week 2","a47d8bae-3245-4c94-89ca-dbdc100b5a44","Encounter","E4","Encounter_4"
"Day 28","Week 4","bd5f9a05-12d6-44c1-86a0-bfb63bf1dcaa","Encounter","E5","Encounter_5"
"Day 42","Week 6","38817ce4-219f-4385-adb7-d40089e0665e","Encounter","E7","Encounter_6"
"Day 56","Week 8","b73a97a1-b41f-4852-b4d4-ccb71f1eead2","Encounter","E8","Encounter_7"
"Day 84","Week 12","1a75ea82-131c-4efb-b49c-1ace6c9764e1","Encounter","E9","Encounter_8"
"Day 112","Week 16","708296ca-0511-4592-b6dc-d75450050235","Encounter","E10","Encounter_9"
"Day 140","Week 20","83dfd92c-aab4-4211-a4b5-be068b04b415","Encounter","E11","Encounter_10"
"Day 168","Week 24","6180f114-e712-4ba3-b7d7-918b6e8f23b4","Encounter","E12","Encounter_11"
"Day 182","Week 26","ec2575e9-1637-40c5-aba3-3645bb067c66","Encounter","E13","Encounter_12"
