"codeSystem","codeSystemVersion","uuid:ID","code","instanceType","id","decode"
"http://www.cdisc.org","2023-09-29","790c3e3b-0571-4b6e-a8b7-5e6dad67d2dc","C98388","Code","Code_1","Interventional Study"
"http://www.cdisc.org","2023-09-29","8247bb48-1910-438d-8a48-244ddf3caf23","C15601","Code","Code_2","Phase II Trial"
"http://www.cdisc.org","2023-09-29","2a28eb82-4a6a-42d1-b032-6072b0a29450","C132352","Code","Code_9","Sponsor Approval Date"
"http://www.cdisc.org","2023-09-29","f417a823-4142-467b-87b9-cac827d7fbcc","C68846","Code","Code_10","Global"
"http://www.cdisc.org","2023-09-29","624c4252-37f5-4687-bc1c-da8b44f32fd7","C99904x3","Code","Code_72","IRB/IEC Feedback"
"http://www.cdisc.org","2023-09-29","ddf21a03-6e35-40e1-8efc-f660b58b5da6","C17649","Code","Code_73","Other"
"http://www.cdisc.org","2023-09-29","54d03218-013e-4357-a689-8c5f8a110721","C41129","Code","Code_75","Region"
"ISO 3166 1 alpha3","2020-08","dcf21095-dfe0-40d4-9b56-041488200efe","150","Code","Code_74","Europe"
"SPONSOR","12","61682cd7-806f-4e90-a6e7-e4ff9425be63","PHARMA","Code","Code_4","Eli Lilly"
"http://www.cdisc.org","2023-09-29","2e4353b7-942d-452b-8d46-060fc9facb76","C70793","Code","Code_76","Clinical Study Sponsor"
"ISO 3166 1 alpha3","2020-08","156f46be-3dbe-4f3d-bb7e-0f6ed10df8e3","DNK","Code","Code_77","Denmark"
"http://www.cdisc.org","2023-09-29","c17157e0-9bdb-42e1-92be-ef6dd99c53b7","C93453","Code","Code_78","Study Registry"
"http://www.cdisc.org","2023-09-29","1ecc13e4-7aa3-44cf-b46f-c218f29f29a8","C49656","Code","Code_136","Treatment Study"
"http://www.cdisc.org","2023-09-29","b5141559-cdc6-4477-a73b-ad225e506902","C49666","Code","Code_137","Efficacy Study"
"http://www.cdisc.org","2023-09-29","afec0ad1-3459-4c1e-8f11-378b7450e674","C49667","Code","Code_138","Safety Study"
"http://www.cdisc.org","2023-09-29","3884a38a-c74a-4f39-a47a-ca29927b003a","C49663","Code","Code_139","Pharmacokinetic Study"
"SPONSOR","12","5f169eb2-1285-4262-92e1-638c9ca14547","MILD_MOD_ALZ","Code","Code_133","Mild to Moderate Alzheimer's Disease"
"SNOMED","January 31, 2018","c3a1242c-6374-4f91-be98-14389583faee","26929004","Code","Code_134","Alzheimer's disease"
"http://www.cdisc.org","2023-09-29","2c1a267a-3bc2-4336-b55d-812c9f65a612","C99907x1","Code","Code_142","EXTENSION"
"http://www.cdisc.org","2023-09-29","087ed7f8-f3a0-4cc1-bcf4-770138fa8f6e","C98704","Code","Code_143","ADAPTIVE"
"http://www.cdisc.org","2023-09-29","847ea201-dd78-4a88-848f-46ccc97ba5f2","C82639","Code","Code_140","Parallel Study"
"http://www.cdisc.org","2023-09-29","60160ff1-fa23-48c6-ad6c-04c937e1086c","C25716","Code","Code_82","Visit"
"http://www.cdisc.org","2023-09-29","ccf18360-f23b-4ebd-b1ff-079cf76cded1","C51282","Code","Code_83","Clinic"
"http://www.cdisc.org","2023-09-29","6a13812f-a1ab-4a01-a8c9-68285852c139","C175574","Code","Code_84","In Person"
