"sectionTitle","name","text","uuid:ID","sectionNumber","instanceType","id"
"Root","ROOT","","e4896c92-cd1a-433f-9792-3e97581ffa2f","0","NarrativeContent","NarrativeContent_1"
"TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","665478f4-11f3-44e7-93b8-23a65e81667b","0","NarrativeContent","NarrativeContent_2"
"PROTOCOL SUMMARY","SECTION 1","<div></div>","15aef1bb-077b-49ed-88de-014d1d2fbd7f","1","NarrativeContent","NarrativeContent_3"
"Protocol Synopsis","SECTION 1.1","<div></div>","73a043e4-34e8-4c0c-bbe1-7e59711cdd1d","1.1","NarrativeContent","NarrativeContent_4"
"Trial Schema","SECTION 1.2","<div></div>","43f83f42-2251-416b-b123-5d34b87b6511","1.2","NarrativeContent","NarrativeContent_5"
"Schedule of Activities","SECTION 1.3","<div></div>","e5b516ae-a0b9-4f89-8756-687db3061347","1.3","NarrativeContent","NarrativeContent_6"
"INTRODUCTION","SECTION 2","<div></div>","42b49ac5-d729-4c9f-bc3c-2af7f2ee5b25","2","NarrativeContent","NarrativeContent_7"
"Purpose of Trial","SECTION 2.1","<div></div>","79b9e905-bd25-44b3-8ce6-d839cfab9a30","2.1","NarrativeContent","NarrativeContent_8"
"Summary of Benefits and Risks","SECTION 2.2","<div></div>","b6991997-1194-424d-a68e-cb28589f1d3d","2.2","NarrativeContent","NarrativeContent_9"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","e48d3513-b15d-4203-b8dc-5356eea31244","3","NarrativeContent","NarrativeContent_10"
"Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","5b0d77f4-42b4-4bc7-979d-3485579d1e58","3.1","NarrativeContent","NarrativeContent_11"
"TRIAL DESIGN","SECTION 4","<div></div>","4396e750-3d9e-40c0-a281-05ee67678cb1","4","NarrativeContent","NarrativeContent_12"
"Description of Trial Design","SECTION 4.1","<div></div>","245fde92-5bdf-4a1e-8cb6-7b8f50767f53","4.1","NarrativeContent","NarrativeContent_13"
"Participant Input into Design","SECTION 4.1.1","<div></div>","1b457fce-12ff-4b6a-b548-7c6bc56981aa","4.1.1","NarrativeContent","NarrativeContent_14"
"Rationale for Trial Design","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","53958f93-af70-492f-8420-d59edd44cbfc","4.2","NarrativeContent","NarrativeContent_15"
"Rationale for Comparator","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","c603af28-e0cd-499e-babc-c8e6d4c3109d","4.2.1","NarrativeContent","NarrativeContent_16"
"Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","<div></div>","e6eb34d1-6e1f-4ae9-beb2-3eb3fd57786e","4.2.2","NarrativeContent","NarrativeContent_17"
"Other Trial Design Considerations","SECTION 4.2.3","<div></div>","4ba272bc-cb21-466b-aa48-a271afcc693a","4.2.3","NarrativeContent","NarrativeContent_18"
"Access to Trial Intervention After End of Trial","SECTION 4.3","<div></div>","428daea0-d14f-46c5-8aa3-cd8a3e83673e","4.3","NarrativeContent","NarrativeContent_19"
"Start of Trial and End of Trial","SECTION 4.4","<div></div>","c3506d02-b5c5-4991-8f1d-7f4790cc0932","4.4","NarrativeContent","NarrativeContent_20"
"TRIAL POPULATION","SECTION 5","<div></div>","c7597f1e-b0c9-4552-8f08-2289ae87ecfd","5","NarrativeContent","NarrativeContent_21"
"Selection of Trial Population","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","746f1720-7c0b-4056-b94c-090a8793fc7d","5.1","NarrativeContent","NarrativeContent_22"
