"label","reference","name","uuid:ID","synonyms","instanceType","id"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","f5c4b10b-8920-408c-8b35-e323fe682183","['Temperature']","BiomedicalConcept","BiomedicalConcept_20"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","927cfaad-04fd-4f4c-bcb9-0ae12a17c1fb","['Weight']","BiomedicalConcept","BiomedicalConcept_21"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","33779c2b-fab1-4905-81d3-b02de4b7b79f","['Height']","BiomedicalConcept","BiomedicalConcept_22"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","12f7fac6-c217-4c3e-ad75-a7ad57c293c4","['ALT', 'SGPT']","BiomedicalConcept","BiomedicalConcept_23"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","f1aa15db-9a0f-44de-8ddf-788f5c2252a7","['Albumin']","BiomedicalConcept","BiomedicalConcept_24"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","60dcbfd5-2195-4d29-95e4-f62a5a241883","['Alkaline Phosphatase']","BiomedicalConcept","BiomedicalConcept_25"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","47fab3ba-5900-428d-ab29-a13f891b2b7d","['AST', 'SGOT']","BiomedicalConcept","BiomedicalConcept_26"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","1152beb0-d783-43f6-b089-fa9d9114bced","['Creatinine']","BiomedicalConcept","BiomedicalConcept_27"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","cd564eca-31b7-45b8-83a4-76418e0306d7","['Potassium', 'K']","BiomedicalConcept","BiomedicalConcept_28"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","2d9354b9-f871-47b3-b245-dc5d4d17afe2","['Sodium', 'NA']","BiomedicalConcept","BiomedicalConcept_29"
"Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","1b0bcda9-9e34-4386-8abe-9ca91d70429e","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept","BiomedicalConcept_1"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","a6959a88-93be-459e-ba4b-b5ad1df2da7c","['SYSBP']","BiomedicalConcept","BiomedicalConcept_2"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","76562a3f-1967-4791-9905-918f74d101c4","['DIABP']","BiomedicalConcept","BiomedicalConcept_3"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","49313d4f-c892-475d-9399-fed26e860d48","['Temperature']","BiomedicalConcept","BiomedicalConcept_4"
