"value","label","description","window","name","uuid:ID","windowUpper","instanceType","windowLower","id"
"P2W","Screening","Screening timing","","TIM1","b96b3833-9886-4aed-bc1d-7cc920e27445","","Timing","","Timing_1"
"P2D","Pre dose","Pre dose timing","-4..0 hours","TIM2","6e8577e8-c88c-4983-b0d3-32d8d0a3b74a","PT0H","Timing","PT4H","Timing_2"
"P1D","Dosing","Dosing anchor","","TIM3","3858a055-3017-42eb-bc97-25f68cd16b6c","","Timing","","Timing_3"
"P2W","Week 2","Week 2 timing","-3..3 days","TIM4","3026d078-c2b4-446b-a365-fd2ab94ddcc0","P3D","Timing","P3D","Timing_4"
"P4W","Week 4","Week 4 timing","-3..3 days","TIM5","ce1d7b1d-2640-40a1-937a-2d4e5eeed75b","P3D","Timing","P3D","Timing_5"
"P6W","Week 6","Week 6 timing","-3..3 days","TIM6","5af14e99-0405-4a5e-a32f-8afc8f377fa7","P3D","Timing","P3D","Timing_6"
"P8W","Week 8","Week 8 timing","-3..3 days","TIM7","55cd0666-01e2-4560-952f-ac0101236502","P3D","Timing","P3D","Timing_7"
"P12W","Week 12","Week 12 timing","-4..4 days","TIM9","388b99aa-44a1-4b61-a279-175b886667d1","P4D","Timing","P4D","Timing_9"
"P16W","Week 16","Week 16 timing","-4..4 days","TIM11","97742ceb-c5ab-4922-a18e-b7495ece5469","P4D","Timing","P4D","Timing_11"
"P20W","Week 20","Week 20 timing","-4..4 days","TIM13","97d0ce7e-3d61-4fe5-8a81-54c96b2da4e6","P4D","Timing","P4D","Timing_13"
"P24W","Week 24","Week 24 timing","-4..4 days","TIM15","a15398ca-a5a3-47aa-a0fb-f0805148861c","P4D","Timing","P4D","Timing_15"
"P26W","Week 26","Week 26 timing","-3..3 days","TIM16","d9960894-3186-4803-9b07-090cc9755dc9","P3D","Timing","P3D","Timing_16"
"P2W","Week 8 Home","Week 8 at home timing","","TIM8","2879df8b-b863-4708-af71-b82cfee25c0b","","Timing","","Timing_8"
"P2W","Week 12 Home","Week 12 at home timing","","TIM10","f18c20cc-4b37-4271-829b-ab8fcff99b99","","Timing","","Timing_10"
"P2W","Week 16 Home","Week 16 at home timing","","TIM12","1ec4cda0-e745-40d6-8e06-507af436ff85","","Timing","","Timing_12"
"P2W","Week 20 Home","Week 20 at home timing","","TIM14","922f6ae3-21ac-4377-8ef6-3b29f69eda43","","Timing","","Timing_14"
"P1D","Adverse Event","Adverse Event","","TIM17","60d9ce38-5b85-4a1c-bd12-c23dfe61779f","","Timing","","Timing_17"
"P1D","Early Termination","Early Termination","","TIM18","06df31d0-6d53-4cc9-8a5a-e6c9d080ffe3","","Timing","","Timing_18"
"PT0M","Supine","Supine","","TIM19","857b86c9-f735-4f53-bdfd-7b4d13ca4897","","Timing","","Timing_19"
"PT5M","VS while supine","VS while supine","","TIM20","ad593ca9-41d8-42c8-821c-23ae9199f8de","","Timing","","Timing_20"
"PT0M","Standing","Standing","","TIM21","728291e7-8636-47b6-86ac-05b5d51deb28","","Timing","","Timing_21"
"PT1M","VS while standing","VS while standing","","TIM22","21083be5-fd40-47fd-9a5f-f6feb0d1f2b1","","Timing","","Timing_22"
"PT0M","Standing","Standing","","TIM23","cffb9e91-1252-4361-bdb6-47cf8510100c","","Timing","","Timing_23"
"PT2M","VS while standing","VS while standing","","TIM24","ed910efd-96c7-4e67-903e-eb3e3a20056c","","Timing","","Timing_24"
