"uuid:ID","instanceType","id","label","name","description","purpose","text"
"68e6fa11-fc24-4e1a-9a5b-dfe2cc3a9b7c","ENDPOINT","Endpoint_1","","END1","","","Clinical status assessed using a 7-category ordinal scale at Day 28"
"833dd2b3-3108-409d-af30-857d34cbe017","ENDPOINT","Endpoint_2","","END2","","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours"
"5cdfc938-7a40-4f4a-b614-7410fb4116f2","ENDPOINT","Endpoint_3","","END3","","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status"
"16069e0d-9b89-4d99-9cfd-865b11e35b43","ENDPOINT","Endpoint_4","","END4","","","Incidence of mechanical ventilation"
"ceb703bd-1e74-44da-9616-bac9bb2b3c37","ENDPOINT","Endpoint_5","","END5","","","Ventilator-free days to Day 28"
"e1be01b9-4c4c-4fa7-b64a-9362a2d5b8f7","ENDPOINT","Endpoint_6","","END6","","","Incidence of intensive care unit (ICU) stay"
"8c44d5e3-de4e-48b4-911f-a4603bc60814","ENDPOINT","Endpoint_7","","END7","","","Duration of ICU stay"
"64258422-197e-49a1-8d74-1014a61b7eb7","ENDPOINT","Endpoint_8","","END8","","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death."
"1a0725f8-f82c-49c6-95c6-a066b0f5a124","ENDPOINT","Endpoint_9","","END9","","","Mortality rate at Days 7, 14, 21, 28, and 60"
"3f751dfc-9db3-4ff5-a799-28dd620905db","ENDPOINT","Endpoint_10","","END10","","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)"
"1e2a4586-08f4-4233-8ee8-3dcab73ea835","ENDPOINT","Endpoint_11","","END11","","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen"
"222282ea-a043-4001-8c73-279d48a7216b","ENDPOINT","Endpoint_12","","END12","","","Duration of supplemental oxygen"
