"uuid:ID","id","label","name","description","text"
"12852b63-a416-4f72-aec0-d3b89658dc10","TransitionRule_1","","ENCOUNTER_START_RULE_1","","Subject identified"
"e78e3456-72b4-4ac6-b740-697ac361f5b0","TransitionRule_2","","ENCOUNTER_START_RULE_1","","IEs passed"
"966cef8a-f978-45d0-b832-a355cf76c86e","TransitionRule_3","","ENCOUNTER_START_RULE_3","","Radomized"
"4d63064b-d74a-498c-80ec-aa5eafe95232","TransitionRule_4","","ELEMENT_START_RULE_1","","Study Start"
"0e6a0f22-8765-4cb6-a938-a142d5c21954","TransitionRule_5","","ELEMENT_END_RULE_1","","Screened"
"6e3668a2-1023-42ee-ad19-358404086ab2","TransitionRule_6","","ELEMENT_START_RULE_2","","Screened"
"b6433296-aae8-4239-8962-72a8ee650b83","TransitionRule_7","","ELEMENT_END_RULE_2","","Radomized"
"69de171e-7238-4449-b234-e73783a731fc","TransitionRule_8","","ELEMENT_START_RULE_3","","Radomized"
"3e69bada-81ee-4e38-a996-662150175628","TransitionRule_9","","ELEMENT_END_RULE_3","","Completed treatment 1"
"fbedd431-f973-4feb-b43d-bdc4c64ca094","TransitionRule_12","","ELEMENT_START_RULE_5","","Radomized"
"a6402ac8-6fb3-410d-abf4-63e08b66b4c0","TransitionRule_13","","ELEMENT_END_RULE_5","","Completed treatment 2"
"32e3aeef-df35-44ae-af5f-2a949e947314","TransitionRule_10","","ELEMENT_START_RULE_4","","Treated"
"f30cb2f7-db92-4738-9755-29a174ff5df1","TransitionRule_11","","ELEMENT_END_RULE_4","","Leave Study"
