"id","sectionNumber","text","sectionTitle","name","uuid:ID"
"NarrativeContent_1","0","","Root","ROOT","6d6e538d-0d79-47d4-9900-51aa997ea2ed"
"NarrativeContent_2","0","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","SECTION 0","00fd4863-cd01-47b8-a2f8-9f008a9709e9"
"NarrativeContent_3","1","<div></div>","PROTOCOL SUMMARY","SECTION 1","0eb52356-24fc-4d5b-8f21-d70a7dd0d5d5"
"NarrativeContent_4","1.1","<div></div>","Protocol Synopsis","SECTION 1.1","17b192ed-6151-4822-99dd-9a64d8eaa89a"
"NarrativeContent_5","1.2","<div></div>","Trial Schema","SECTION 1.2","9ae7c2f4-1c40-4d54-aa25-be0166786531"
"NarrativeContent_6","1.3","<div></div>","Schedule of Activities","SECTION 1.3","9dcf6745-0d27-4be7-a112-01c401816733"
"NarrativeContent_7","2","<div></div>","INTRODUCTION","SECTION 2","1089395e-5f36-4d1a-89e8-fbbe5bcd59ba"
"NarrativeContent_8","2.1","<div></div>","Purpose of Trial","SECTION 2.1","2a2a8c3d-56d2-4dd5-95d1-b4c3ec6349a8"
"NarrativeContent_9","2.2","<div></div>","Summary of Benefits and Risks","SECTION 2.2","533af7e5-2e4e-4aca-a6f7-ec9c3347c45d"
"NarrativeContent_10","3","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","6708b581-6489-4c19-a5c2-7d05cce706a4"
"NarrativeContent_11","3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","SECTION 3.1","f9438206-5729-436f-89a3-ee121c7f5e2c"
"NarrativeContent_12","4","<div></div>","TRIAL DESIGN","SECTION 4","3c16a87a-b520-46f0-b5b9-c0b657b5fca8"
"NarrativeContent_13","4.1","<div></div>","Description of Trial Design","SECTION 4.1","ee0633c2-3252-44aa-ab29-9348b3a114ce"
"NarrativeContent_14","4.1.1","<div></div>","Participant Input into Design","SECTION 4.1.1","a6275a72-0c83-493f-8d11-2ff3a8a55e54"
"NarrativeContent_15","4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design","SECTION 4.2","d6113f7e-7bff-414f-85f2-c432e969b0a0"
"NarrativeContent_16","4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator","SECTION 4.2.1","778b65f9-b4ea-433c-9e17-bcc22a337499"
"NarrativeContent_17","4.2.2","<div></div>","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","b4f2f1d2-f9a9-4a30-80b0-7d477ef07545"
"NarrativeContent_18","4.2.3","<div></div>","Other Trial Design Considerations","SECTION 4.2.3","f32f0da7-535f-4bdd-92be-090119256aaf"
"NarrativeContent_19","4.3","<div></div>","Access to Trial Intervention After End of Trial","SECTION 4.3","80247764-7919-471e-a78b-8c4a596754ae"
"NarrativeContent_20","4.4","<div></div>","Start of Trial and End of Trial","SECTION 4.4","92b1d16e-f496-482e-b3b0-05a9ca86e2bb"
"NarrativeContent_21","5","<div></div>","TRIAL POPULATION","SECTION 5","1af3fe08-f0d4-4bef-ba02-c3cea0876fca"
"NarrativeContent_22","5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population","SECTION 5.1","8762bcfb-a5ab-4d16-9709-6042dc043351"
"NarrativeContent_23","5.2","<div></div>","Rationale for Trial Population","SECTION 5.2","d3953104-edde-4dde-ba3e-98204ecb1b31"
"NarrativeContent_24","5.3","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria","SECTION 5.3","56e4cadc-b80e-481b-9eed-3af78661c2c9"
"NarrativeContent_25","5.4","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria","SECTION 5.4","1ce08790-d7f0-4ba9-9e64-260f54a71f3f"
"NarrativeContent_26","5.5","<div></div>","Lifestyle Considerations","SECTION 5.5","518642b3-d3a8-4622-afd7-7589eb04f8a8"
"NarrativeContent_27","5.5.1","<div></div>","Meals and Dietary Restrictions","SECTION 5.5.1","6dce5f01-d39a-4eed-805d-ea42908ec80d"
