"id","name","uuid:ID","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","db1f200e-5ac7-4592-8a31-78253bded09f","Subject identifier"
"TransitionRule_2","ENCOUNTER_START_RULE_1","81583526-adbf-499a-b966-0f1bf12abe5b","completion of screening activities"
"TransitionRule_3","ENCOUNTER_START_RULE_2","730e2d79-5e52-4ddb-97bd-3a5f66353238","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","ENCOUNTER_START_RULE_3","3e7c05ea-4771-42d4-af62-f4d91b57c927","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","ENCOUNTER_START_RULE_3","0627329a-3b27-45fb-a911-456e6655fafa","Radomized"
"TransitionRule_6","ENCOUNTER_START_RULE_12","cd7b1f45-9247-4335-b70b-8d35dc2af7b3","End of treatment"
"TransitionRule_7","ELEMENT_START_RULE_1","70b1a1cd-de33-40e6-899d-f44405d98285","Informed consent"
"TransitionRule_8","ELEMENT_END_RULE_1","76e20b1c-ba27-4bb4-846e-d0cc47342b4c","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","ELEMENT_START_RULE_2","724fac41-3e7d-4652-8cd3-d88bbd8300ce","Administration of first dose"
"TransitionRule_14","ELEMENT_START_RULE_7","c7eb3cba-9bf1-4f1c-9dba-2b9bb6b3a764","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","ELEMENT_END_RULE_7","c6812324-518d-41cf-b832-482c661c3d71","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","ELEMENT_START_RULE_3","ee054132-bb86-49a8-bd99-2771c574494a","Administration of first dose"
"TransitionRule_11","ELEMENT_START_RULE_4","91ebfedb-7a8c-44f2-a4a2-658f71ee67c7","Randomized"
"TransitionRule_12","ELEMENT_START_RULE_5","77512456-6fad-4860-8c84-3e1882a33190","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","ELEMENT_START_RULE_6","9c78b8d7-4386-4018-9d86-c8f56bf17159","Administration of first dose (from patches supplied at Visit 12)"
