"id","description","label","name","uuid:ID"
"Encounter_1","Screening encounter","Screening 1","E1","0b43bb1d-edd1-4a2c-9f06-314b4c7e0b89"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","E2","ef1cc67b-f4aa-45a7-98c4-ddecec00ff4f"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","E3","c49a4935-1b9f-4132-bc76-8d199bac8d8f"
"Encounter_4","Day 14","Week 2","E4","7db2fcbe-0ddf-444a-be24-39c6ed88f6de"
"Encounter_5","Day 28","Week 4","E5","65724751-b0f8-44b7-b629-71103f76b474"
"Encounter_6","Day 42","Week 6","E7","f2ed6fc7-0fc3-4d0b-943a-28511ee8b700"
"Encounter_7","Day 56","Week 8","E8","68ee50f0-cb19-4cac-835c-2cc769d94bc7"
"Encounter_8","Day 84","Week 12","E9","19fe82bb-47e0-43d5-af56-37defe411ac3"
"Encounter_9","Day 112","Week 16","E10","b390072d-c047-4b4c-8201-d39505faeceb"
"Encounter_10","Day 140","Week 20","E11","77c3af9b-0322-41bf-8caf-c27f08511d5a"
"Encounter_11","Day 168","Week 24","E12","2f8ea87e-4e9f-42d3-8505-6aa89d3c8415"
"Encounter_12","Day 182","Week 26","E13","aa90dabf-aff8-43a0-94ff-2df2a56a0638"
