"id","timingWindowLower","description","timingWindow","label","timingValue","timingWindowUpper","name","uuid:ID"
"Timing_1","","Screening timing","","Screening","P2W","","TIM1","0e7a1a46-952e-4efd-858d-3c84ac079b86"
"Timing_2","PT4H","Pre dose timing","-4..0 hours","Pre dose","P2D","PT0H","TIM2","d2a55dc9-f082-4f88-bdea-baf17deeef03"
"Timing_3","","Dosing anchor","","Dosing","P1D","","TIM3","06c1cde2-146a-46cf-a3b3-b784b4ade58f"
"Timing_4","P3D","Week 2 timing","-3..3 days","Week 2","P2W","P3D","TIM4","75c75248-5749-477c-91aa-27b4ba95fd22"
"Timing_5","P3D","Week 4 timing","-3..3 days","Week 4","P4W","P3D","TIM5","04b399b6-a272-4568-98e8-c67c0ed0b4ea"
"Timing_6","P3D","Week 6 timing","-3..3 days","Week 6","P6W","P3D","TIM6","85f147a7-463d-47bc-b03b-826c601c7232"
"Timing_7","P3D","Week 8 timing","-3..3 days","Week 8","P8W","P3D","TIM7","2da1f6c5-becb-4eae-b5fb-442be8ef2d93"
"Timing_8","","Week 8 at home timing","","Week 8 Home","P2W","","TIM8","e8ab2db9-eb3e-4f6a-a732-e18eeb7c71e0"
"Timing_9","P4D","Week 12 timing","-4..4 days","Week 12","P12W","P4D","TIM9","0f5c33e7-7910-421a-9107-f94d128d962d"
"Timing_10","","Week 12 at home timing","","Week 12 Home","P2W","","TIM10","853747a5-de06-48a6-be55-6f07b2853cf3"
"Timing_11","P4D","Week 16 timing","-4..4 days","Week 16","P16W","P4D","TIM11","5f5a3729-437a-4bf7-aa91-5402d0eb6232"
"Timing_12","","Week 16 at home timing","","Week 16 Home","P2W","","TIM12","ae0e0ad2-a593-47c8-b153-8b437ed0e88e"
"Timing_13","P4D","Week 20 timing","-4..4 days","Week 20","P20W","P4D","TIM13","e8f52028-602c-4132-8905-b04609a7b52d"
"Timing_14","","Week 20 at home timing","","Week 20 Home","P2W","","TIM14","bb4eadd9-2947-4585-81d1-df7861230d04"
"Timing_15","P4D","Week 24 timing","-4..4 days","Week 24","P24W","P4D","TIM15","448941dd-abae-4e00-9832-c39b02f9fb5f"
"Timing_16","P3D","Week 26 timing","-3..3 days","Week 26","P26W","P3D","TIM16","345850a8-1ae9-4f9c-819a-7a94afa75e5f"
"Timing_17","","Adverse Event","","Adverse Event","P1D","","TIM17","baab8e1f-871d-472c-a3b3-c07efa4faeab"
"Timing_18","","Early Termination","","Early Termination","P1D","","TIM18","a2545723-adba-4439-9bb4-9aca11257f64"
"Timing_19","","BP Anchor","","BP Anchor","PT0M","","TIM19","2cd26141-644c-4b4c-81ba-12d9a3a3c4f8"
"Timing_20","","BP while Supine","","BP while Supine","PT5M","","TIM20","70d063e1-454d-4703-b4ef-d5c6eec34027"
"Timing_21","PT2M","BP Stand Up","-2..0 mins","BP Stand Up","PT3M","PT0M","TIM21","a7bb763f-457d-41cc-88fe-89a4514394dc"
"Timing_22","","BP while standing","","BP while standing","PT0M","","TIM22","06f0114a-3b3a-41a7-a7de-5c40310b4a6d"
