"id","sectionNumber","uuid:ID","text","sectionTitle","name"
"NarrativeContent_1","0","356d6fa7-9a08-40fc-a848-1982ce6b1448","","Root","ROOT"
"NarrativeContent_2","0","61eaa496-4e95-4e08-a9a6-75c1af79b43c","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","SECTION 0"
"NarrativeContent_3","1","155de20f-730c-49c9-9471-2853c9efaad4","<div></div>","PROTOCOL SUMMARY","SECTION 1"
"NarrativeContent_4","1.1","e9e160fe-564d-4407-a3a6-9dd6a69fc27a","<div></div>","Protocol Synopsis","SECTION 1.1"
"NarrativeContent_5","1.2","cfac58b8-de4d-4eae-bca4-2e56f485aea6","<div></div>","Trial Schema","SECTION 1.2"
"NarrativeContent_6","1.3","157fcdbf-b553-46a7-88ec-89f513b211af","<div></div>","Schedule of Activities","SECTION 1.3"
"NarrativeContent_7","2","90cd2e7e-48a5-40cc-9431-ee63dc710030","<div></div>","INTRODUCTION","SECTION 2"
"NarrativeContent_8","2.1","c5a9fa00-5442-41e4-abe0-7c992ae5df3d","<div></div>","Purpose of Trial","SECTION 2.1"
"NarrativeContent_9","2.2","199d6240-c8d0-40a1-89ba-7ea846f67cbc","<div></div>","Summary of Benefits and Risks","SECTION 2.2"
"NarrativeContent_10","3","4cdda4d7-5308-46c4-9176-95ac17a67b96","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3"
"NarrativeContent_11","3.1","4262d2f3-fd52-48b0-bcfa-741b2122e73f","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","SECTION 3.1"
"NarrativeContent_12","4","ec01dda0-bd1a-4c00-bf9b-14e4146ae295","<div></div>","TRIAL DESIGN","SECTION 4"
"NarrativeContent_13","4.1","88ebe77e-66cf-495f-8cdd-f963c7a9a69c","<div></div>","Description of Trial Design","SECTION 4.1"
"NarrativeContent_14","4.1.1","9e065a5b-2fe4-4d4a-86aa-250ecd232188","<div></div>","Participant Input into Design","SECTION 4.1.1"
"NarrativeContent_15","4.2","b4188668-31b2-402d-a7bb-6dc2574a4358","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design","SECTION 4.2"
"NarrativeContent_16","4.2.1","e9c6e70c-a273-46b7-be1a-064185248801","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator","SECTION 4.2.1"
"NarrativeContent_17","4.2.2","8288afa0-11b9-48ad-bdbe-4dc27a70a0d8","<div></div>","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2"
"NarrativeContent_18","4.2.3","bef921a7-f776-4f53-98a0-8cbe18eeb15a","<div></div>","Other Trial Design Considerations","SECTION 4.2.3"
"NarrativeContent_19","4.3","58e4cd0f-f36c-4f0c-a98f-b8ae1a2345ad","<div></div>","Access to Trial Intervention After End of Trial","SECTION 4.3"
"NarrativeContent_20","4.4","a32479cc-3e1c-4db6-bb8e-9ab93b495c36","<div></div>","Start of Trial and End of Trial","SECTION 4.4"
"NarrativeContent_21","5","06ae6d6b-0b03-4b19-9402-35d9a060c0e3","<div></div>","TRIAL POPULATION","SECTION 5"
"NarrativeContent_22","5.1","56f573fc-b6b0-482a-bd82-95328d5fe98b","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population","SECTION 5.1"
"NarrativeContent_23","5.2","7cb8549d-9e67-4344-9906-3e9506ffb5c2","<div></div>","Rationale for Trial Population","SECTION 5.2"
"NarrativeContent_24","5.3","7bdd7fe4-449b-41d7-9ada-d5cae47412df","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria","SECTION 5.3"
"NarrativeContent_25","5.4","a2aa0d5b-efac-41db-8640-38aa9137e34a","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria","SECTION 5.4"
"NarrativeContent_26","5.5","1f0269cd-da05-4246-a53d-3fdec75c591c","<div></div>","Lifestyle Considerations","SECTION 5.5"
"NarrativeContent_27","5.5.1","0d4f413b-4e99-4bc9-89ab-d4494f711ee6","<div></div>","Meals and Dietary Restrictions","SECTION 5.5.1"
"NarrativeContent_28","5.5.2","596a8e61-b67c-4de0-aeed-2ed13bbb50cb","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2"
"NarrativeContent_29","5.5.3","5f0c70bb-a420-4ae7-b0e3-f0bf0e7dcae2","<div></div>","Physical Activity","SECTION 5.5.3"
"NarrativeContent_30","5.5.4","51d2d179-4f05-4276-9d2b-2e5fb4fd05e3","<div></div>","Other Activity","SECTION 5.5.4"
"NarrativeContent_31","5.6","031f6cc4-74e9-47e9-b4b9-aaf38b7bf48c","<div></div>","Screen Failures","SECTION 5.6"
"NarrativeContent_32","6","0209baa8-420f-456d-8967-9776bb4b9088","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6"
"NarrativeContent_33","6.1","f6f3ce80-63c6-431d-ad66-4c435d8b832d","<div></div>","Description of Trial Intervention","SECTION 6.1"
"NarrativeContent_34","6.2","998dc585-83f1-4f78-9b64-16f8bf78e61c","<div></div>","Rationale for Trial Intervention","SECTION 6.2"
"NarrativeContent_35","6.3","ae034869-bac9-4d2b-93b9-6c0857d877d9","<div></div>","Dosing and Administration","SECTION 6.3"
"NarrativeContent_36","6.3.1","f2e9ef7f-92d2-40e5-9103-0671bea47ef7","<div></div>","Trial Intervention Dose Modification","SECTION 6.3.1"
"NarrativeContent_37","6.4","3da0cc78-a08e-4faa-b823-f1c3c20ff964","<div></div>","Treatment of Overdose","SECTION 6.4"
"NarrativeContent_38","6.5","12854556-c740-4854-afe5-7abf5c4a33cc","<div></div>","Preparation, Handling, Storage and Accountability","SECTION 6.5"
"NarrativeContent_39","6.5.1","19e3872e-6d8b-4c4d-8387-7be0cec2d70e","<div></div>","Preparation of Trial Intervention","SECTION 6.5.1"
"NarrativeContent_40","6.5.2","35d3bc2d-69c5-4579-b5b4-a008f1549c9b","<div></div>","Handling and Storage of Trial Intervention","SECTION 6.5.2"
"NarrativeContent_41","6.5.3","f7904f79-dfe9-40a8-9e2b-67bb726a412a","<div></div>","Accountability of Trial Intervention","SECTION 6.5.3"
"NarrativeContent_42","6.6","a010ae5a-8ad4-4fb5-8728-d1704ab0a6b0","<div></div>","Participant Assignment, Randomisation and Blinding","SECTION 6.6"
"NarrativeContent_43","6.6.1","bb7e3d78-4af0-4f2c-a211-1f020b394939","<div></div>","Participant Assignment","SECTION 6.6.1"
"NarrativeContent_44","6.6.2","5d956be4-ba70-4819-b410-a0f4fadf2afd","<div></div>","Randomisation","SECTION 6.6.2"
"NarrativeContent_45","6.6.3","a765c753-5db6-4c6d-bc6f-6a26494cf772","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding","SECTION 6.6.3"
"NarrativeContent_46","6.7","3c8e4dff-3175-4cac-bd95-87a59f2696a3","<div></div>","Trial Intervention Compliance","SECTION 6.7"
"NarrativeContent_47","6.8","3fefdc2c-8a79-4e8f-ad93-b3d173a086d9","<div></div>","Concomitant Therapy","SECTION 6.8"
"NarrativeContent_48","6.8.1","f5100523-dda6-48ed-bfd6-2668473b8c54","<div></div>","Prohibited Concomitant Therapy","SECTION 6.8.1"
"NarrativeContent_49","6.8.2","0b98798a-de49-4fe8-811d-ed8f02e5e758","<div></div>","Permitted Concomitant Therapy","SECTION 6.8.2"
"NarrativeContent_50","6.8.3","472d9d71-43b3-4bdf-8505-f59d500c9a50","<div></div>","Rescue Therapy","SECTION 6.8.3"
"NarrativeContent_51","6.8.4","2e715b15-617b-46d9-a239-de8bd98f40a5","<div></div>","Other Therapy","SECTION 6.8.4"
"NarrativeContent_52","7","89b5e198-cb16-4d3c-9535-1486b7cc11b4","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7"
"NarrativeContent_53","7.1","0f29750e-b042-473a-b1a1-7626f820428a","<div></div>","Discontinuation of Trial Intervention","SECTION 7.1"
"NarrativeContent_54","7.1.1","ffe4596f-b07c-4622-addc-a00cca31ca0c","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1"
"NarrativeContent_55","7.1.2","03b8ca84-f47b-423b-941f-f30e50f30901","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2"
"NarrativeContent_56","7.1.3","8c58166c-c993-4574-92c6-866db548ed1b","<div></div>","Rechallenge","SECTION 7.1.3"
"NarrativeContent_57","7.2","000fb9f8-401b-449c-adb5-3d9f3eeb5598","<div></div>","Participant Withdrawal from the Trial","SECTION 7.2"
