"label","id","uuid:ID","synonyms","name","reference"
"Body Temperature","BiomedicalConcept_18","8bd0d3f3-f388-40e1-950d-f50b9bc54462","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"Body Weight","BiomedicalConcept_19","af179360-177c-4cf4-bc3d-e4ec31355566","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"Body Height","BiomedicalConcept_20","5c285da1-17dc-402e-ba87-d96216494e09","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","BiomedicalConcept_21","c682250e-3107-40e6-a290-aeef5fb91f3d","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","BiomedicalConcept_22","5e00f174-5e2b-4b7d-8332-0a68642d7a5b","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"Alkaline Phosphatase Measurement","BiomedicalConcept_23","bbe4ce94-8ae1-441a-b527-09ed2fae539e","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"Aspartate Aminotransferase Measurement","BiomedicalConcept_24","35dbe34b-1d04-4469-b81c-6c954d9560bb","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"Creatinine Measurement","BiomedicalConcept_25","5c6192d0-4876-4b2c-8f82-90bbd0da3751","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"Potassium Measurement","BiomedicalConcept_26","59c3d7c1-491f-4930-a4c2-be3679ee7660","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"Sodium Measurement","BiomedicalConcept_27","bd2345e7-f857-424a-9c06-a4f20cc4568a","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"Adverse Event","BiomedicalConcept_1","12df9e86-7ad8-40c6-bc34-5a290680a113","['Adverse Event Reported Term', 'AETERM']","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"Systolic Blood Pressure","BiomedicalConcept_2","af4f10d8-c626-4fed-9d54-cbd09e007fa3","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","BiomedicalConcept_3","444a3481-9fc0-4c46-881c-852546c90a32","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"Body Temperature","BiomedicalConcept_4","a200b281-281a-40e8-ae85-e4e597da4924","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"Body Weight","BiomedicalConcept_5","f991f76d-32f1-4a37-a104-125c5d2ecadc","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"Body Height","BiomedicalConcept_6","94ad1c46-0a1f-4c0f-8f00-a6ccaa288f8b","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","BiomedicalConcept_7","de594e8d-356c-4dd1-a475-62cd265032c9","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","BiomedicalConcept_8","97b183dd-54b0-4c9d-a300-9413db394803","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
