"name","id","uuid:ID","text"
"ENCOUNTER_START_RULE_1","TransitionRule_1","38df5734-1f1a-4ad0-b2e6-1ade1cce3e07","Subject identifier"
"ENCOUNTER_START_RULE_1","TransitionRule_2","bc8fac94-d267-45fc-a47d-e78136808fa1","completion of screening activities"
"ENCOUNTER_START_RULE_2","TransitionRule_3","4aef0e55-dd52-4f4d-bc86-da6c8694fac1","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","TransitionRule_4","4fdb08f5-d1e6-47c1-b7df-cc33224084a8","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","TransitionRule_5","50e0cd76-6cf7-4a4f-bea0-06add861dcfa","Radomized"
"ENCOUNTER_START_RULE_12","TransitionRule_6","8a96cffe-7914-4d74-9379-f838f19b2d89","End of treatment"
"ELEMENT_START_RULE_1","TransitionRule_7","7993c107-ec4a-4a20-81b6-0c9dbc01d45a","Informed consent"
"ELEMENT_END_RULE_1","TransitionRule_8","ac7a4f11-95a0-4bf6-a22f-baa82a90981f","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","TransitionRule_9","d1f5dd7b-04b8-41dd-a4cc-bdd155e6779b","Administration of first dose"
"ELEMENT_START_RULE_7","TransitionRule_14","7cd160cb-d379-4261-976b-6e94a7ba69ec","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","TransitionRule_15","cf92c2dd-0da4-4aa9-97b4-5282d22698df","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","TransitionRule_10","671b37a2-2647-49a6-a3d0-f4fe2db42487","Administration of first dose"
"ELEMENT_START_RULE_4","TransitionRule_11","79eae0c1-1a53-44b4-86d4-33f873e7fd20","Randomized"
"ELEMENT_START_RULE_5","TransitionRule_12","ffc0caab-84c8-4af2-97d9-ddd2299247e0","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","TransitionRule_13","1947a0c2-3b74-438d-85d8-5e332a4062cc","Administration of first dose (from patches supplied at Visit 12)"
