"label","id","windowUpper","uuid:ID","value","description","name","window","windowLower"
"Screening","Timing_1","","97d64217-56f8-48b5-bd1d-bd080cdf30d0","P2W","Screening timing","TIM1","",""
"Pre dose","Timing_2","PT0H","4556ebc0-0157-4b5c-8b1e-a8ed6a28227e","P2D","Pre dose timing","TIM2","-4..0 hours","PT4H"
"Dosing","Timing_3","","2337001e-ddec-412b-a0c3-dfad7545dcf4","P1D","Dosing anchor","TIM3","",""
"Week 2","Timing_4","P3D","eec7be81-ee28-4167-a7bd-af16ca1905cd","P2W","Week 2 timing","TIM4","-3..3 days","P3D"
"Week 4","Timing_5","P3D","98e7221d-00f4-4368-b086-81442366bfa0","P4W","Week 4 timing","TIM5","-3..3 days","P3D"
"Week 6","Timing_6","P3D","3b78198d-5801-4772-a456-1772bb20e684","P6W","Week 6 timing","TIM6","-3..3 days","P3D"
"Week 8","Timing_7","P3D","a34bbd4a-8a61-4dbb-98a3-37b8895e3fc5","P8W","Week 8 timing","TIM7","-3..3 days","P3D"
"Week 8 Home","Timing_8","","b8e58fcc-e855-460b-8436-e0126a1c9fdf","P2W","Week 8 at home timing","TIM8","",""
"Week 12","Timing_9","P4D","dc64e70b-cc23-42f8-aeec-95b120815bf8","P12W","Week 12 timing","TIM9","-4..4 days","P4D"
"Week 12 Home","Timing_10","","a3b3283c-6cf5-402b-819d-4be2e8c67a28","P2W","Week 12 at home timing","TIM10","",""
"Week 16","Timing_11","P4D","7cca7e00-87e3-401f-9f92-46d7ed3fad73","P16W","Week 16 timing","TIM11","-4..4 days","P4D"
"Week 16 Home","Timing_12","","90e40d88-98ae-48ea-9c32-aafb8a95724b","P2W","Week 16 at home timing","TIM12","",""
"Week 20","Timing_13","P4D","90036090-755b-492e-968e-36112f4b8a36","P20W","Week 20 timing","TIM13","-4..4 days","P4D"
"Week 20 Home","Timing_14","","12c201b4-cd8c-43e0-b011-eff4dfc7e78f","P2W","Week 20 at home timing","TIM14","",""
"Week 24","Timing_15","P4D","f2a69b94-5324-47a2-a74c-105be9217940","P24W","Week 24 timing","TIM15","-4..4 days","P4D"
"Week 26","Timing_16","P3D","6db9923c-9ac1-485f-b041-f06aeb546b3b","P26W","Week 26 timing","TIM16","-3..3 days","P3D"
"Adverse Event","Timing_17","","c027713b-4c69-4e98-a4ed-f33cc5fc292c","P1D","Adverse Event","TIM17","",""
"Early Termination","Timing_18","","db514840-bc3f-4b97-aecd-e6d89df75164","P1D","Early Termination","TIM18","",""
"BP Anchor","Timing_19","","5df4594a-eb01-41b8-8864-76af691d547d","PT0M","BP Anchor","TIM19","",""
"BP while Supine","Timing_20","","714d968c-4fd6-449c-8c22-3d2c615fa8a8","PT5M","BP while Supine","TIM20","",""
"BP Stand Up","Timing_21","PT0M","13446a74-4dd9-4fec-92cb-14e424795ae5","PT3M","BP Stand Up","TIM21","-2..0 min","PT2M"
"BP while standing","Timing_22","","f28574e1-1c04-4ae9-a6c8-0ce49de7eaf8","PT0M","BP while standing","TIM22","",""
