"id","codeSystem","uuid:ID","code","codeSystemVersion","decode"
"Code_1","http://www.cdisc.org","6ca0c992-99ff-4e55-87ec-4c87357c134a","C98388","2023-09-29","Interventional Study"
"Code_2","http://www.cdisc.org","102e8eb7-ea2f-4a21-901e-c842601a61f5","C15601","2023-09-29","Phase II Trial"
"Code_5","http://www.cdisc.org","2ba83b31-068d-478e-a660-4f49b1348b8d","C132352","2023-09-29","Sponsor Approval Date"
"Code_6","http://www.cdisc.org","11d6e6c0-146a-47c2-8604-df1f168d2829","C68846","2023-09-29","Global"
"Code_65","http://www.cdisc.org","88d70908-f512-4b64-a163-8d59eca33c4e","C99904x3","2023-09-29","IRB/IEC Feedback"
"Code_66","http://www.cdisc.org","dd1ece14-5d33-4c8e-8de4-501f77b428cd","C17649","2023-09-29","Other"
"Code_68","http://www.cdisc.org","dbd60544-3514-43a8-a616-9141fcc75186","C41129","2023-09-29","Region"
"Code_67","ISO 3166 1 alpha3","d200375a-34c9-4c0a-8338-3fe8c1ecdd8b","150","2020-08","Europe"
"Code_3","SPONSOR","0b5b80c4-0121-4181-9866-34d31697eeba","PHARMA","12","Eli Lilly"
"Code_69","http://www.cdisc.org","182419da-7ac7-427e-8781-8d1b720ac022","C70793","2023-09-29","Clinical Study Sponsor"
"Code_70","ISO 3166 1 alpha3","8fc34b73-9b02-4177-be48-b42ee78c741a","USA","2020-08","United States of America"
"Code_71","http://www.cdisc.org","dfd35df5-96d4-4c97-a09d-c6397e2a78f9","C93453","2023-09-29","Study Registry"
"Code_129","http://www.cdisc.org","f6725ecc-6cf7-44c4-b0be-5912363f9065","C49656","2023-09-29","Treatment Study"
"Code_130","http://www.cdisc.org","7e563073-1045-41a1-bb52-b858ec5efc9b","C49666","2023-09-29","Efficacy Study"
"Code_131","http://www.cdisc.org","04004968-f678-4e07-bfbe-89c79664d4bd","C49667","2023-09-29","Safety Study"
"Code_132","http://www.cdisc.org","d52137a6-7233-47b8-aee1-b7300b0b616b","C49663","2023-09-29","Pharmacokinetic Study"
"Code_126","SPONSOR","26a644ad-2952-463c-bc3b-de1c102d3f36","MILD_MOD_ALZ","12","Mild to Moderate Alzheimer\'s Disease"
"Code_127","SNOMED","eb3eefe1-2ccc-4b3c-bcb3-a110324c40a3","26929004","January 31, 2018","Alzheimer\'s disease"
"Code_133","http://www.cdisc.org","16e95d97-72a3-440c-ad89-c38dbbb6ca54","C82639","2023-09-29","Parallel Study"
"Code_75","http://www.cdisc.org","cb736fe2-d41d-4493-8455-1ee75d28d75b","C25716","2023-09-29","Visit"
"Code_76","http://www.cdisc.org","b5cbf39f-9ad7-4b76-a0c6-8c921f4a3c14","C51282","2023-09-29","Clinic"
"Code_77","http://www.cdisc.org","5feb4add-e924-4947-a601-1d3faf19d492","C175574","2023-09-29","In Person"
"Code_78","http://www.cdisc.org","1162a7d5-98d4-4e06-9f0c-0a404b45c024","C25716","2023-09-29","Visit"
"Code_79","http://www.cdisc.org","9dc8f27e-5a1b-46c9-8812-cd92b8b13336","C51282","2023-09-29","Clinic"
