"id","sectionTitle","text","name","sectionNumber","uuid:ID","instanceType"
"NarrativeContent_1","Root","","ROOT","0","a672096e-0b32-4d6c-9f8d-cd2873db22c3","NarrativeContent"
"NarrativeContent_2","TITLE PAGE","<div><usdm:section name=""M11-title-page""></usdm:section></div>","SECTION 0","0","2250349d-a3a8-41e9-88f6-bbbb49982401","NarrativeContent"
"NarrativeContent_3","PROTOCOL SUMMARY","<div></div>","SECTION 1","1","5c51b457-3e12-4328-ad9f-429744d980b8","NarrativeContent"
"NarrativeContent_4","Protocol Synopsis","<div></div>","SECTION 1.1","1.1","fb9717e7-dd4b-4ff5-816a-0c0e97f4e0eb","NarrativeContent"
"NarrativeContent_5","Trial Schema","<div></div>","SECTION 1.2","1.2","12a282b3-46e1-4546-8ede-a04220dc7756","NarrativeContent"
"NarrativeContent_6","Schedule of Activities","<div></div>","SECTION 1.3","1.3","4e18802b-7c97-4d5e-8600-69116b70c011","NarrativeContent"
"NarrativeContent_7","INTRODUCTION","<div></div>","SECTION 2","2","b4d7a002-a5fc-4f96-be8f-bae6ef4d6efc","NarrativeContent"
"NarrativeContent_8","Purpose of Trial","<div></div>","SECTION 2.1","2.1","5f02f2c5-b105-4b98-95e4-132211bc4c01","NarrativeContent"
"NarrativeContent_9","Summary of Benefits and Risks","<div></div>","SECTION 2.2","2.2","4051b100-6aa9-4dd9-a680-d3b056483fb8","NarrativeContent"
"NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","SECTION 3","3","a61204c7-8167-44f7-b3a1-b574f07c7660","NarrativeContent"
"NarrativeContent_11","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></usdm:section></div>","SECTION 3.1","3.1","11342a24-191b-483e-ae25-a4f7efb11f79","NarrativeContent"
"NarrativeContent_12","TRIAL DESIGN","<div></div>","SECTION 4","4","d10cebe0-6c4d-4774-865c-4d2e6d87cac3","NarrativeContent"
"NarrativeContent_13","Description of Trial Design","<div></div>","SECTION 4.1","4.1","0cf475b1-7861-4855-9af6-ac56dbbace0f","NarrativeContent"
"NarrativeContent_14","Participant Input into Design","<div></div>","SECTION 4.1.1","4.1.1","0a9cc0fd-b35d-4ba5-ad3a-2e4b3398bf96","NarrativeContent"
"NarrativeContent_15","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","4.2","9bb34c1d-bf4d-4193-9b74-4c722b171963","NarrativeContent"
