"id","text","name","uuid:ID","instanceType"
"TransitionRule_1","Subject identifier","ENCOUNTER_START_RULE_1","f25384a9-fa9a-4029-9b33-6b30d85df8c7","TransitionRule"
"TransitionRule_2","completion of screening activities","ENCOUNTER_START_RULE_1","99c113d2-ff99-4a05-a249-4bda9c070697","TransitionRule"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","65c19ceb-ffa1-40f7-b743-941e380570f8","TransitionRule"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","df89ca87-b56a-4a2f-8659-38cc3a7a9071","TransitionRule"
"TransitionRule_5","Radomized","ENCOUNTER_START_RULE_3","1964d037-c773-41e8-bca9-c71651ea4559","TransitionRule"
"TransitionRule_6","End of treatment","ENCOUNTER_START_RULE_12","65acd3ab-fa98-4bfb-acad-4e3ffa1b2e7c","TransitionRule"
"TransitionRule_7","Informed consent","ELEMENT_START_RULE_1","f73f3afb-ddf5-4a5e-81e2-9daeb3a9e9f3","TransitionRule"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","d855ab0e-2f43-473a-b757-0cc5f5f596a9","TransitionRule"
"TransitionRule_9","Administration of first dose","ELEMENT_START_RULE_2","d20b4c78-c803-45cc-a75c-878d14eb000d","TransitionRule"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","2b257a87-0069-4c42-9cfd-6080eeb14bf8","TransitionRule"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","5bc1033c-8a60-4059-b1a7-6c1ffde09296","TransitionRule"
"TransitionRule_10","Administration of first dose","ELEMENT_START_RULE_3","c909899e-4bb1-4f52-9237-f58686c850e0","TransitionRule"
"TransitionRule_11","Randomized","ELEMENT_START_RULE_4","fabb9947-a8b2-493a-b766-a1f97d9f81d0","TransitionRule"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","77c93092-d15e-470c-838c-75175d3a31e9","TransitionRule"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","f3ddb70d-2665-416b-a677-ebe8664d32f7","TransitionRule"
