"id","label","reference","name","uuid:ID","instanceType","synonyms"
"BiomedicalConcept_20","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","Body Temperature","eaf08bb8-b8d6-4178-89cd-4db1d764a6a7","BiomedicalConcept","['Temperature']"
"BiomedicalConcept_21","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","Body Weight","962cf65a-f8a7-4f1e-af3b-9611725195b6","BiomedicalConcept","['Weight']"
"BiomedicalConcept_22","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","Body Height","f71a861a-954b-40e1-a78b-e9a45837dc5f","BiomedicalConcept","['Height']"
"BiomedicalConcept_23","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","1feb8c7a-9053-4865-ad6f-c2d803937aec","BiomedicalConcept","['ALT', 'SGPT']"
"BiomedicalConcept_24","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","b13af10f-43bd-4dc2-a628-ff88c0eb4b93","BiomedicalConcept","['Albumin']"
"BiomedicalConcept_25","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","ad9df43a-ff15-47b0-9735-7b67c046238a","BiomedicalConcept","['Alkaline Phosphatase']"
"BiomedicalConcept_26","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","0b6c5bd6-0b82-4ea3-8049-e4c90c883b4b","BiomedicalConcept","['AST', 'SGOT']"
"BiomedicalConcept_27","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","b3165eae-c182-4f05-907b-87128f2d5ad7","BiomedicalConcept","['Creatinine']"
"BiomedicalConcept_28","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","b4bf4241-64ff-4223-97e7-90f0b633ac63","BiomedicalConcept","['Potassium', 'K']"
"BiomedicalConcept_29","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","ee598fa2-9d8e-4ee3-bd94-d5ecb45958ba","BiomedicalConcept","['Sodium', 'NA']"
