"id","isRequired","datatype","label","isEnabled","name","uuid:ID","instanceType"
"BiomedicalConceptProperty_89","True","decimal","Clinical Test Result","True","Clinical Test Result","070b8cb0-4032-40a4-98b7-a35cba413e67","BiomedicalConceptProperty"
"BiomedicalConceptProperty_90","True","string","Unit of Temperature","True","Unit of Temperature","379c860a-74a7-49cc-9d98-a69d795aba91","BiomedicalConceptProperty"
"BiomedicalConceptProperty_91","True","string","Anatomic Site","True","Anatomic Site","aea5a487-31a4-489f-ad59-f92717226f4d","BiomedicalConceptProperty"
"BiomedicalConceptProperty_92","True","decimal","Clinical Test Result","True","Clinical Test Result","f37cfc47-7144-49bd-a180-35fea97222ec","BiomedicalConceptProperty"
"BiomedicalConceptProperty_93","True","string","Unit of Weight","True","Unit of Weight","591d3c8d-00d2-4d7c-b15a-63b27c9c37be","BiomedicalConceptProperty"
"BiomedicalConceptProperty_94","True","decimal","Clinical Test Result","True","Clinical Test Result","e16b5e64-9382-4284-b6dd-690ce7371c78","BiomedicalConceptProperty"
"BiomedicalConceptProperty_95","True","string","Unit of Height","True","Unit of Height","c7a04a66-5cfe-4ab0-b53b-bae18be48303","BiomedicalConceptProperty"
"BiomedicalConceptProperty_96","True","decimal","Laboratory Test Result","True","Laboratory Test Result","7cc192ba-d7e9-4b1b-b3c9-854886a97feb","BiomedicalConceptProperty"
"BiomedicalConceptProperty_97","True","boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","b19a65dc-8812-4c60-8b90-4518e279b879","BiomedicalConceptProperty"
"BiomedicalConceptProperty_98","True","string","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","d68912c4-9ee6-4895-9351-b6696be43573","BiomedicalConceptProperty"
"BiomedicalConceptProperty_99","True","string","Biospecimen Type","True","Biospecimen Type","7824ab6f-4086-4c2d-8adc-14210ad14235","BiomedicalConceptProperty"
"BiomedicalConceptProperty_100","True","string","Laboratory Test Result","True","Laboratory Test Result","9767c1e0-2458-4689-aef4-9dedf3216c80","BiomedicalConceptProperty"
"BiomedicalConceptProperty_101","True","boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","371db940-1aa5-424f-a376-9efaefe6d138","BiomedicalConceptProperty"
"BiomedicalConceptProperty_102","True","string","Unit of Concentration","True","Unit of Concentration","76d3d147-0e8c-4bd4-8a4d-b53dfe3de644","BiomedicalConceptProperty"
"BiomedicalConceptProperty_103","True","string","Biospecimen Type","True","Biospecimen Type","adfe7035-e28c-4ea1-9bf8-ab17fb3f1df7","BiomedicalConceptProperty"
"BiomedicalConceptProperty_104","True","decimal","Laboratory Test Result","True","Laboratory Test Result","e9169d0e-2f52-4d98-b39b-829aa200aba5","BiomedicalConceptProperty"
"BiomedicalConceptProperty_105","True","boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","49795bf3-c973-4515-9075-e3e9b95bd812","BiomedicalConceptProperty"
"BiomedicalConceptProperty_106","True","string","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","884add7d-f015-4652-a330-7ccd2d2f87af","BiomedicalConceptProperty"
"BiomedicalConceptProperty_107","True","string","Biospecimen Type","True","Biospecimen Type","451135e4-f889-40dc-a80b-fad94b8013aa","BiomedicalConceptProperty"
"BiomedicalConceptProperty_108","True","decimal","Laboratory Test Result","True","Laboratory Test Result","180345fd-f662-47c0-9fcc-3589fb4141e8","BiomedicalConceptProperty"
"BiomedicalConceptProperty_109","True","boolean","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","9d704958-dae8-43e5-b646-164aa6a1fa1e","BiomedicalConceptProperty"
"BiomedicalConceptProperty_110","True","string","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","fc7b4a4d-e0f2-46e6-bb75-2af4b530a3d1","BiomedicalConceptProperty"
"BiomedicalConceptProperty_111","True","string","Biospecimen Type","True","Biospecimen Type","4c05aa0c-aec0-4ba9-b4bb-abad1d01d4ef","BiomedicalConceptProperty"
"BiomedicalConceptProperty_112","True","string","Laboratory Test Result","True","Laboratory Test Result","09ccd782-231a-4156-97df-8ff8fbfce1c8","BiomedicalConceptProperty"
