"id","label","name","uuid:ID","description","instanceType"
"Encounter_1","Screening 1","E1","8de74c0b-9e94-4243-b4e0-3e377d32b748","Screening encounter","Encounter"
"Encounter_2","Screening 2","E2","21d8370c-c974-48bf-8f48-c2f4e638138f","Screening encounter - Ambulatory ECG Placement","Encounter"
"Encounter_3","Baseline","E3","f0e412a9-9ee2-4c5e-89e4-c1d4aa63bb30","Baseline encounter - Ambulatory ECG Removal","Encounter"
"Encounter_4","Week 2","E4","70e773eb-0ca1-4052-9997-f0c474c07261","Day 14","Encounter"
"Encounter_5","Week 4","E5","9df5f1c5-5a58-49fd-bf34-85d4292de13e","Day 28","Encounter"
"Encounter_6","Week 6","E7","8e72a3cf-2bd3-42c9-9b27-3bf598792c8a","Day 42","Encounter"
"Encounter_7","Week 8","E8","e8302aab-bddd-4a91-92a9-c7c94c01cb03","Day 56","Encounter"
"Encounter_8","Week 12","E9","f3d49e3b-3843-429b-b625-df1973cb4beb","Day 84","Encounter"
"Encounter_9","Week 16","E10","1e84a4a2-6c63-4f7a-9480-50efbe01660d","Day 112","Encounter"
"Encounter_10","Week 20","E11","6e41234c-6f54-4f1a-ae06-77da3e531524","Day 140","Encounter"
"Encounter_11","Week 24","E12","41a59ff7-cae7-4eaf-b7bd-77b61e8de9cd","Day 168","Encounter"
"Encounter_12","Week 26","E13","bd956e42-be29-4b34-819e-48dd5641c5da","Day 182","Encounter"
