"codeSystemVersion","id","code","decode","uuid:ID","instanceType","codeSystem"
"2023-09-29","Code_1","C98388","Interventional Study","c919fcaa-9aa4-4ce4-ac7e-bd613c27b16d","Code","http://www.cdisc.org"
"2023-09-29","Code_2","C15601","Phase II Trial","cb3b691a-6f90-480b-bb52-c8a858fd06ab","Code","http://www.cdisc.org"
"2023-09-29","Code_9","C132352","Sponsor Approval Date","05fe8ae6-c38c-4cdd-a03d-0e0461f6613b","Code","http://www.cdisc.org"
"2023-09-29","Code_10","C68846","Global","fad9d7b4-265c-4cb5-871f-8d49fada1c2f","Code","http://www.cdisc.org"
"2023-09-29","Code_72","C99904x3","IRB/IEC Feedback","01c92d7b-98ed-4480-8a33-20ed4682823f","Code","http://www.cdisc.org"
"2023-09-29","Code_73","C17649","Other","48ab852a-c97e-4cee-ab0e-5fa5443e1dd6","Code","http://www.cdisc.org"
"2023-09-29","Code_75","C41129","Region","8d7e6a9a-2633-46f5-8a96-6f02dccc9f41","Code","http://www.cdisc.org"
"2020-08","Code_74","150","Europe","2cf8145e-6dfb-42c6-ae84-19f2d8e7c95a","Code","ISO 3166 1 alpha3"
"12","Code_4","PHARMA","Eli Lilly","aab760b4-5de4-4643-bb5a-d12e19d0b9ee","Code","SPONSOR"
"2023-09-29","Code_76","C70793","Clinical Study Sponsor","cd8aa24b-e0b1-4f4a-8e5f-1da41f53232a","Code","http://www.cdisc.org"
"2020-08","Code_77","USA","United States of America","8c39c4cb-536c-4b26-aa53-f13023a5217e","Code","ISO 3166 1 alpha3"
"2023-09-29","Code_78","C93453","Study Registry","573244e4-2268-4e00-89f1-e01b336d3693","Code","http://www.cdisc.org"
"2023-09-29","Code_136","C49656","Treatment Study","ea365df7-2abe-4f4e-8f16-4233f39bd6ef","Code","http://www.cdisc.org"
"2023-09-29","Code_137","C49666","Efficacy Study","a6eafdcf-fe41-405c-95dc-1cbd347db113","Code","http://www.cdisc.org"
"2023-09-29","Code_138","C49667","Safety Study","c1dbe191-926f-4992-a64a-5458f97f109c","Code","http://www.cdisc.org"
"2023-09-29","Code_139","C49663","Pharmacokinetic Study","22e6cfdc-0e39-4017-9e1c-b7e52152bae3","Code","http://www.cdisc.org"
"12","Code_133","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","cccb6dca-b38d-42d2-b9eb-92627776421b","Code","SPONSOR"
"January 31, 2018","Code_134","26929004","Alzheimer's disease","9ef16715-1980-4b6d-936e-447871ae318b","Code","SNOMED"
"2023-09-29","Code_142","C99907x1","EXTENSION","10235bee-9440-4ed8-9faa-b1f3deecd4e9","Code","http://www.cdisc.org"
"2023-09-29","Code_143","C98704","ADAPTIVE","9d00e104-92c6-4214-84b7-8de860f9a3eb","Code","http://www.cdisc.org"
"2023-09-29","Code_140","C82639","Parallel Study","d54d0fed-088e-4d9c-aef5-212a621e29cf","Code","http://www.cdisc.org"
"2023-09-29","Code_82","C25716","Visit","673c109c-51f3-44b5-8ed1-4afd00452619","Code","http://www.cdisc.org"
"2023-09-29","Code_83","C51282","Clinic","e4bd7007-1f68-4255-a845-9f82255d81b5","Code","http://www.cdisc.org"
"2023-09-29","Code_84","C175574","In Person","9d00df9a-6d83-4c26-bce6-22e2e9452665","Code","http://www.cdisc.org"
"2023-09-29","Code_85","C25716","Visit","ce8a0833-2c80-4f77-8b00-e662ce9e8e59","Code","http://www.cdisc.org"
"2023-09-29","Code_86","C51282","Clinic","c4382a18-db2b-4d32-9bd5-a9c85be9ff7e","Code","http://www.cdisc.org"
"2023-09-29","Code_87","C175574","In Person","622895ce-065c-4590-9088-dd1ff60b506c","Code","http://www.cdisc.org"
"2023-09-29","Code_88","C25716","Visit","039cb408-5c96-4871-bbac-75a41a36b630","Code","http://www.cdisc.org"
"2023-09-29","Code_89","C51282","Clinic","b5b8cb36-30e8-4c30-9329-3520d371424d","Code","http://www.cdisc.org"
"2023-09-29","Code_90","C175574","In Person","8050c7ce-d622-4eba-bba0-006fafaba098","Code","http://www.cdisc.org"
"2023-09-29","Code_91","C25716","Visit","08a93559-cf8d-4801-af8c-c3230a8690d6","Code","http://www.cdisc.org"
"2023-09-29","Code_92","C51282","Clinic","3d73d9cf-c2c8-47b3-83fb-a6efe85b337c","Code","http://www.cdisc.org"
"2023-09-29","Code_93","C175574","In Person","1a39c4a5-45cf-4f02-8c24-2f498c31c6cc","Code","http://www.cdisc.org"
"2023-09-29","Code_94","C25716","Visit","bb956eeb-9670-4178-92a4-0845fc3efcbf","Code","http://www.cdisc.org"
"2023-09-29","Code_95","C51282","Clinic","22efe3f3-ff30-4595-96e8-86f0c4809ac4","Code","http://www.cdisc.org"
"2023-09-29","Code_96","C175574","In Person","f4598c46-3698-41e5-9b9a-97a23045b1ca","Code","http://www.cdisc.org"
"2023-09-29","Code_97","C25716","Visit","668b5f45-cb4b-4235-bd02-db49c994d7e7","Code","http://www.cdisc.org"
"2023-09-29","Code_98","C51282","Clinic","bb4af69e-69ec-498c-9b08-6e4e59be3d23","Code","http://www.cdisc.org"
"2023-09-29","Code_99","C175574","In Person","e2c2bac0-a34e-4e85-ae55-86cffa9caaa7","Code","http://www.cdisc.org"
"2023-09-29","Code_100","C25716","Visit","a604d9a6-394f-4a39-aaef-dd822596753b","Code","http://www.cdisc.org"
"2023-09-29","Code_101","C51282","Clinic","c980ee32-6734-4076-8b78-7c3b12b1d844","Code","http://www.cdisc.org"
"2023-09-29","Code_102","C175574","In Person","bec9558b-a117-4a60-b89f-da05bff57bf2","Code","http://www.cdisc.org"
"2023-09-29","Code_103","C171537","Telephone Call","a2787b3e-97f0-4894-953e-fa4f1b2a7c20","Code","http://www.cdisc.org"
"2023-09-29","Code_104","C25716","Visit","3e3514dd-d5a8-459c-a13d-d92b69d77d5d","Code","http://www.cdisc.org"
"2023-09-29","Code_105","C51282","Clinic","8b83bb4c-15fd-4699-aed1-c0792acd2400","Code","http://www.cdisc.org"
"2023-09-29","Code_106","C175574","In Person","5ffa7d0c-f906-4f37-bee5-c11ce50f25ec","Code","http://www.cdisc.org"
"2023-09-29","Code_107","C171537","Telephone Call","3c93d279-656f-40f8-8c36-8e5180ddd2d1","Code","http://www.cdisc.org"
"2023-09-29","Code_108","C25716","Visit","6fda74fa-639d-461b-ad05-234d67d3a60b","Code","http://www.cdisc.org"
"2023-09-29","Code_109","C51282","Clinic","d38f6289-1ba6-4403-86f5-ac4ac3bc9502","Code","http://www.cdisc.org"
"2023-09-29","Code_110","C175574","In Person","bc19b8db-f912-4d77-b77e-6f4f41426e1e","Code","http://www.cdisc.org"
"2023-09-29","Code_111","C171537","Telephone Call","2d84719c-05c4-4a5b-ad8c-a48d22a29e1d","Code","http://www.cdisc.org"
"2023-09-29","Code_112","C25716","Visit","bdf4ed4b-4a86-48c5-b7e4-4daa0321dd68","Code","http://www.cdisc.org"
"2023-09-29","Code_113","C51282","Clinic","3b9f0bc4-2fc7-4c56-a85d-4d0164770ea3","Code","http://www.cdisc.org"
"2023-09-29","Code_114","C175574","In Person","736ca555-b853-428c-bbb0-1189fa96c362","Code","http://www.cdisc.org"
"2023-09-29","Code_115","C171537","Telephone Call","c5349df7-df17-4eb4-8cef-467f2dbf17b5","Code","http://www.cdisc.org"
"2023-09-29","Code_116","C25716","Visit","092f207b-0cc3-4745-804c-c89fb3bbd70f","Code","http://www.cdisc.org"
"2023-09-29","Code_117","C51282","Clinic","e8e71a5c-383c-45ba-b934-92e96f526c14","Code","http://www.cdisc.org"
"2023-09-29","Code_118","C175574","In Person","923da717-217b-466f-b5c1-c46721553b97","Code","http://www.cdisc.org"
"2023-09-29","Code_119","C25716","Visit","89481545-9bf8-4e55-be07-8e281bbc1637","Code","http://www.cdisc.org"
"2023-09-29","Code_120","C51282","Clinic","eaf3a451-3d6f-44ef-882e-21cc0d5d036c","Code","http://www.cdisc.org"
"2023-09-29","Code_121","C175574","In Person","f6293cd6-ef25-4982-9ad3-8aacfa7a076f","Code","http://www.cdisc.org"
"January 31, 2018","Code_79","383371000119108","CT of head without contrast","350852bc-1aae-45df-880b-5d997b2f1e9a","Code","SNOMED"
"12","Code_80","123","Subject Supine","95ba0271-7348-450f-80d7-792ec71b235b","Code","SPONSOR"
"12","Code_81","124","Subject Standing","cfebd9db-122c-496f-aa88-fb55938bc434","Code","SPONSOR"
"","Code_268","C77140","Clinical Test Result","8ce90263-a83e-497d-a3f9-b5bebd979b06","Code","NCI Thesaurus"
"2023-09-29","Code_269","C42537","Kelvin","f7e33dd6-70ca-49e9-bfc5-77604d5b7738","Code","http://www.cdisc.org"
"","Code_270","C44276","Unit of Temperature","0ec86ae1-5ec3-435a-990d-1a040fac3b11","Code","NCI Thesaurus"
"","Code_271","C13717","Anatomic Site","768311de-8838-4d21-a6ed-87634e52100d","Code","NCI Thesaurus"
"","Code_267","C174446","Body Temperature","2a132d9a-aca3-4d4e-a478-cbce00b0af7c","Code","NCI Thesaurus"
"","Code_273","C77140","Clinical Test Result","48a743dd-f48b-4fc0-b302-8ef1d72dc289","Code","NCI Thesaurus"
"2023-09-29","Code_274","C28252","Kilogram","0d2fe772-aa5c-4247-9e0d-8dcf0dba68fa","Code","http://www.cdisc.org"
"2023-09-29","Code_275","C48155","Gram","ee3cc3f4-05fa-4a2f-ada2-0f3bc0c8beb5","Code","http://www.cdisc.org"
"2023-09-29","Code_276","C48531","Pound","645e60d8-a341-4478-b805-bbf01414c5b8","Code","http://www.cdisc.org"
"","Code_277","C48208","Unit of Weight","2cf78aab-1ded-4c7d-a237-d692fb70b028","Code","NCI Thesaurus"
"","Code_272","C81328","Body Weight","6ddc5f49-8fd3-448d-a45e-64dd7f5f1cac","Code","NCI Thesaurus"
"","Code_279","C77140","Clinical Test Result","54e3ae06-4b8d-44b4-80a1-e3a06b8f357f","Code","NCI Thesaurus"
"2023-09-29","Code_280","C49668","Centimeter","1267c189-3ca7-459b-9657-1417e5a31599","Code","http://www.cdisc.org"
"2023-09-29","Code_281","C48500","Inch","0c0a5de0-7bd2-403d-9990-c64a09797b79","Code","http://www.cdisc.org"
"2023-09-29","Code_282","C28251","Millimeter","cdc93d4c-912b-4a43-a347-36b1d47d544c","Code","http://www.cdisc.org"
"2023-09-29","Code_283","C41139","Meter","08416bec-a70c-463c-a557-d5902ee5b9cd","Code","http://www.cdisc.org"
"","Code_284","C168688","Unit of Height","995d85a8-aee3-43ba-9de8-135f608cad14","Code","NCI Thesaurus"
"","Code_278","C164634","Body Height","4bf5cfe0-8210-42dc-bd25-aeba15b92266","Code","NCI Thesaurus"
"","Code_286","C36292","Laboratory Test Result","6214bd95-c422-43ae-b961-8dbf3563b326","Code","NCI Thesaurus"
"","Code_287","C83309","Laboratory Test Fasting Status","b25927b9-7393-4158-9ded-82f737d9ef22","Code","NCI Thesaurus"
"","Code_288","C67365","Unit of Catalytic Activity Concentration","3ad4b21d-a80c-42be-b15c-ba88958a0a4b","Code","NCI Thesaurus"
"","Code_289","C70713","Biospecimen Type","f325023d-91b7-42e9-9539-ea66b0294ba8","Code","NCI Thesaurus"
"","Code_285","C64433","Alanine Aminotransferase Measurement","96f7d2fd-1845-4409-a670-39a5d74bf354","Code","NCI Thesaurus"
"","Code_291","C36292","Laboratory Test Result","a97bce15-ace3-4b29-9ac9-086ec4804dbd","Code","NCI Thesaurus"
"","Code_292","C83309","Laboratory Test Fasting Status","4c4b7dd0-409c-40a1-8584-443105f95cb9","Code","NCI Thesaurus"
"","Code_293","C48207","Unit of Concentration","f31df882-0899-4e9e-a8df-eeb6e59ef4fa","Code","NCI Thesaurus"
"","Code_294","C70713","Biospecimen Type","4476b12d-b08e-46f7-b950-6f068b052ee1","Code","NCI Thesaurus"
"","Code_290","C64431","Albumin Measurement","18d0e239-be90-43d9-baa8-512fb797438e","Code","NCI Thesaurus"
"","Code_296","C36292","Laboratory Test Result","cb2de651-2eb1-47fc-954d-f49c841477ab","Code","NCI Thesaurus"
"","Code_297","C83309","Laboratory Test Fasting Status","49ed6025-7034-4c19-8f59-642641980460","Code","NCI Thesaurus"
"","Code_298","C67365","Unit of Catalytic Activity Concentration","d7dc695f-f0d1-4462-82e0-287edf6e98bf","Code","NCI Thesaurus"
"","Code_299","C70713","Biospecimen Type","c42073fd-29bb-4173-91a7-cf0a1870898b","Code","NCI Thesaurus"
"","Code_295","C64432","Alkaline Phosphatase Measurement","2db51cf5-a122-4e52-a7a2-d6213ea1ad15","Code","NCI Thesaurus"
"","Code_301","C36292","Laboratory Test Result","2b031030-269b-44dc-a7cb-aad79a08398f","Code","NCI Thesaurus"
"","Code_302","C83309","Laboratory Test Fasting Status","2cdb0b21-f28f-49f9-8984-5a3c91b07342","Code","NCI Thesaurus"
"","Code_303","C67365","Unit of Catalytic Activity Concentration","f22cdbdf-d4cf-45f1-b5e2-d943df90a0fc","Code","NCI Thesaurus"
"","Code_304","C70713","Biospecimen Type","8df6cdcb-4ef0-4e1a-8d31-a833f57f1890","Code","NCI Thesaurus"
"","Code_300","C64467","Aspartate Aminotransferase Measurement","423b8993-2893-4d1c-8b70-718c2c09bd97","Code","NCI Thesaurus"
"","Code_306","C36292","Laboratory Test Result","a929cf4b-01b0-455c-8d34-51e52a3ae5bb","Code","NCI Thesaurus"
"","Code_307","C83309","Laboratory Test Fasting Status","72fdf235-0b64-42bd-97bf-9f1f935f41bf","Code","NCI Thesaurus"
"","Code_308","C48207","Unit of Concentration","b7c569bc-0255-4528-95b7-06fbb4576f59","Code","NCI Thesaurus"
