"id","label","value","window","name","windowLower","uuid:ID","description","instanceType","windowUpper"
"Timing_1","Screening","P2W","","TIM1","","a3b0a597-e5bd-4bd8-b891-82006143a44a","Screening timing","Timing",""
"Timing_2","Pre dose","P2D","-4..0 hours","TIM2","PT4H","9416c5c6-cb27-4007-9f28-54deeb3a6afc","Pre dose timing","Timing","PT0H"
"Timing_3","Dosing","P1D","","TIM3","","fa510d41-2dc2-49dd-a63e-7c3347214c93","Dosing anchor","Timing",""
"Timing_4","Week 2","P2W","-3..3 days","TIM4","P3D","0a4edb77-3d42-43ff-8987-8e766040c81e","Week 2 timing","Timing","P3D"
"Timing_5","Week 4","P4W","-3..3 days","TIM5","P3D","60b7c16f-ca28-4a6e-8a48-dbf414b2a1aa","Week 4 timing","Timing","P3D"
"Timing_6","Week 6","P6W","-3..3 days","TIM6","P3D","687dd546-5fd2-4bca-9d25-da7a255815d3","Week 6 timing","Timing","P3D"
"Timing_7","Week 8","P8W","-3..3 days","TIM7","P3D","8b1e8c29-c80e-4036-a1d6-5dddfb7be4ca","Week 8 timing","Timing","P3D"
"Timing_9","Week 12","P12W","-4..4 days","TIM9","P4D","d8b26f47-3b4c-4030-9246-031cbbd00241","Week 12 timing","Timing","P4D"
"Timing_11","Week 16","P16W","-4..4 days","TIM11","P4D","e3dee287-7b42-44fb-a5f4-30e617cd24ae","Week 16 timing","Timing","P4D"
"Timing_13","Week 20","P20W","-4..4 days","TIM13","P4D","1c6dae8f-491a-4abf-b412-7eac598a6207","Week 20 timing","Timing","P4D"
"Timing_15","Week 24","P24W","-4..4 days","TIM15","P4D","974a406e-8428-4e52-91ea-78a52c7f60cb","Week 24 timing","Timing","P4D"
"Timing_16","Week 26","P26W","-3..3 days","TIM16","P3D","6487f074-f43e-4c25-8ea0-1128e9806f65","Week 26 timing","Timing","P3D"
"Timing_8","Week 8 Home","P2W","","TIM8","","b9c8517d-9ee8-4aac-be93-0f79b709e07e","Week 8 at home timing","Timing",""
"Timing_10","Week 12 Home","P2W","","TIM10","","8dd49151-dcf0-4320-b863-df224747c174","Week 12 at home timing","Timing",""
"Timing_12","Week 16 Home","P2W","","TIM12","","066ce068-8da0-48b2-9df4-48fa41aa47bd","Week 16 at home timing","Timing",""
"Timing_14","Week 20 Home","P2W","","TIM14","","5314808b-e335-4af7-820b-7fb84c68cfe3","Week 20 at home timing","Timing",""
"Timing_17","Adverse Event","P1D","","TIM17","","af2be912-4474-429e-9316-0b7f2f636886","Adverse Event","Timing",""
"Timing_18","Early Termination","P1D","","TIM18","","f44b2ef4-8319-4c81-87ba-4059d91ace5f","Early Termination","Timing",""
"Timing_19","Supine","PT0M","","TIM19","","1e1c7475-ab83-4f00-b604-0bba64e6af9f","Supine","Timing",""
"Timing_20","VS while supine","PT5M","","TIM20","","06f15c9b-a753-46dc-9535-48a2da2e60cc","VS while supine","Timing",""
"Timing_21","Standing","PT0M","","TIM21","","fa15df42-f7ed-4ed1-8e22-2abaa222c91e","Standing","Timing",""
"Timing_22","VS while standing","PT1M","","TIM22","","f514e644-93b5-4be5-a8af-480d08c5e382","VS while standing","Timing",""
"Timing_23","Standing","PT0M","","TIM23","","88aa4fe4-de2d-4497-bb40-f077b8c1a5c9","Standing","Timing",""
"Timing_24","VS while standing","PT2M","","TIM24","","3de03916-54d0-4879-b66f-f3e1822bd90b","VS while standing","Timing",""
