"id","label","name","uuid:ID","description","instanceType"
"Activity_1","","Informed consent","0475e980-1bd5-4607-838f-ff839209150f","","Activity"
"Activity_2","","Inclusion/exclusion criteria","a8257913-163a-4dc3-a26b-438f319e54b5","","Activity"
"Activity_3","","Patient number assigned","d378d0cb-9194-4a46-9208-19a5e453d635","","Activity"
"Activity_4","Demographics","Demographics","81f87051-a2dd-4cda-a11c-0a7d57397700","","Activity"
"Activity_5","Hachinski","Hachinski","707cd34d-687c-4ae3-8caf-0a74af04c3b2","","Activity"
"Activity_6","MMSE","MMSE","802b5cba-8086-4b50-a1ef-beb84f3d51bb","","Activity"
"Activity_7","","Physical examination","f0dccabe-dfd0-4c10-91fa-2c14649e43e7","","Activity"
"Activity_8","","Medical history","27c62dec-da97-463e-b49b-9df4cdab6481","","Activity"
"Activity_9","","Habits","dd6de435-df69-41fd-a348-8c99947d631d","","Activity"
"Activity_10","","Chest X-ray","a1215d00-822f-428c-80d3-587e350d5c04","","Activity"
"Activity_11","","Apo E genotyping","e9f29b95-6d33-47d0-ab55-4fd3b680b423","","Activity"
"Activity_12","","Patient randomised","73067226-dd8c-466d-ac5d-a13c5e49516f","","Activity"
"Activity_13","Vital Signs and Temperature","Vital signs / Temperature","80f7924c-c850-4981-9d45-a45f26f1fac5","","Activity"
"Activity_14","","Ambulatory ECG placed","a186e7b4-62ec-4ef5-8daf-74c52a722864","","Activity"
"Activity_15","","Ambulatory ECG removed","40672979-15dd-4b9e-a76d-f1cd3a5b08cc","","Activity"
"Activity_16","","ECG","ed4d6ab6-d233-48e7-8c8d-76b94f9a97c1","","Activity"
"Activity_17","","Placebo TTS test","a2fd8e9c-3af4-41d0-bb9d-03ad135e56f9","","Activity"
"Activity_18","","CT scan","d5197c2f-2579-4099-b5b4-feb81cb04996","","Activity"
"Activity_19","","Concomitant medications","8e71fc0d-3bd7-4f3c-8fad-3eeb279018d0","","Activity"
"Activity_20","","Hematology","df5a20e5-a93c-4859-a100-81a03656bad4","","Activity"
"Activity_21","","Chemistry","8481397e-89bc-494d-8764-24991c6fe824","","Activity"
"Activity_22","","Uninalysis","98a036f6-cdd4-4d22-ad02-1f7989a337ff","","Activity"
"Activity_23","","Plasma Specimen (Xanomeline)","79d8dc9f-a709-4788-bd66-d50f91be3eae","","Activity"
"Activity_24","","Hemoglobin A1C","2547efbe-b758-447c-82c6-e9cfbf27f70c","","Activity"
"Activity_25","Study drug record , Medications dispensed, Medications returned","Study drug","7ee0a7a8-d8e6-4b9d-b49f-1f113cf3b9e6","","Activity"
"Activity_26","","TTS Acceptability Survey","40ee36c2-1a63-4ce1-a2ee-588919355f8d","","Activity"
"Activity_27","","ADAS-Cog","8acc813e-8bb7-4c75-8f94-ed823b8d3626","","Activity"
"Activity_28","","CIBIC+","23c72564-0ee8-4c41-90d6-cd186be85fcd","","Activity"
"Activity_29","","DAD","fb4b1681-df28-4760-a669-ea6c09d47d45","","Activity"
"Activity_30","","NPI-X","4d0cfe00-0284-4759-8ac9-e5bac1f0c517","","Activity"
"Activity_31","","Adverse events","18de1b62-0290-41dd-8a02-2efde5b7a5b5","","Activity"
"Activity_32","","Check adverse events","81afa176-a1d9-4ed4-9831-7696b556e390","","Activity"
"Activity_33","Subject supine","Supine","ce89c4c4-196c-4e9e-8ae3-daf7df610ec6","","Activity"
"Activity_34","Vital signs while supine","Vital Signs Supine","027a3d2b-2a53-4487-ab76-381fb1962ff5","","Activity"
"Activity_35","Subject Standing","Stand","f0c5f7b8-a43f-4b71-af9e-7d9a3ad756ba","","Activity"
"Activity_36","Vital signs while standing","Vital Signs Standing","e3e21dba-1b61-4a88-80d9-dcd190d496a3","","Activity"
