"name","id","description","label","uuid:ID","instanceType"
"E1","Encounter_1","Screening encounter","Screening 1","b54783d7-f6cc-494f-8523-cc7c357830a4","Encounter"
"E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","958f623d-22bc-4a00-b466-323acfaaf1c4","Encounter"
"E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","cdc500c3-f68a-4219-bd75-e70dc00c3c08","Encounter"
"E4","Encounter_4","Day 14","Week 2","6fd4b987-00eb-49ee-9b0f-7af3808f477a","Encounter"
"E5","Encounter_5","Day 28","Week 4","aa257867-b044-43cb-a93f-9813ef826e5d","Encounter"
"E7","Encounter_6","Day 42","Week 6","8271ae63-4a63-4ab3-9e66-2626529a740b","Encounter"
"E8","Encounter_7","Day 56","Week 8","3f8c4c04-cea9-4499-9909-c4f9dffd04be","Encounter"
"E9","Encounter_8","Day 84","Week 12","0c637167-6ca3-46ee-a6d2-5f043f5ac1b4","Encounter"
"E10","Encounter_9","Day 112","Week 16","1fb05225-faaf-4eef-b8f5-ab4537dbfa9f","Encounter"
"E11","Encounter_10","Day 140","Week 20","013552d5-08ed-45b2-8e5c-515e69d5f00b","Encounter"
"E12","Encounter_11","Day 168","Week 24","73ab7ce8-44d1-4991-8bc5-f5d6c18e63a8","Encounter"
"E13","Encounter_12","Day 182","Week 26","a9f27737-9945-40d6-bf2d-30b4a149ea6b","Encounter"
