"id","codeSystem","code","instanceType","uuid:ID","decode","codeSystemVersion"
"Code_1","http://www.cdisc.org","C98388","Code","248536d4-e3fe-47ca-b519-ba7af8a300cc","Interventional Study","2023-09-29"
"Code_2","http://www.cdisc.org","C15601","Code","ed0f29be-65dc-4cc7-8e91-a87613c8fb1a","Phase II Trial","2023-09-29"
"Code_9","http://www.cdisc.org","C132352","Code","3d49de3c-7115-49b8-9c1d-a3b098ee1ffb","Sponsor Approval Date","2023-09-29"
"Code_10","http://www.cdisc.org","C68846","Code","ab59bef0-ae36-4311-a069-28cba80e1ef3","Global","2023-09-29"
"Code_72","http://www.cdisc.org","C99904x3","Code","1f272b1c-7736-46bb-91d0-7d717a83fdd3","IRB/IEC Feedback","2023-09-29"
"Code_73","http://www.cdisc.org","C17649","Code","b6ed6a5c-50e0-4542-aad0-cf60caf41feb","Other","2023-09-29"
"Code_75","http://www.cdisc.org","C41129","Code","6c46616d-0557-410c-8086-bb383b60ba95","Region","2023-09-29"
"Code_74","ISO 3166 1 alpha3","150","Code","2a043407-1db9-4db1-afcd-34b4d3cde34e","Europe","2020-08"
"Code_4","SPONSOR","PHARMA","Code","dda6f9de-20ee-400f-bde6-0cba67770ad5","Eli Lilly","12"
"Code_76","http://www.cdisc.org","C70793","Code","43ba134a-b6b7-4448-b5b2-d474b6f82ee2","Clinical Study Sponsor","2023-09-29"
"Code_77","ISO 3166 1 alpha3","DNK","Code","91b9ca0e-3301-446c-95ce-9cb70b8c282c","Denmark","2020-08"
"Code_78","http://www.cdisc.org","C93453","Code","fdc4102f-e887-4b26-b3d7-01d0bc028791","Study Registry","2023-09-29"
"Code_136","http://www.cdisc.org","C49656","Code","d69bba94-03e5-4894-a5d7-9f93897eb5d6","Treatment Study","2023-09-29"
"Code_137","http://www.cdisc.org","C49666","Code","c36fb56f-b9f7-4b15-a676-d734613c79ee","Efficacy Study","2023-09-29"
"Code_138","http://www.cdisc.org","C49667","Code","dcd3802c-6bcd-4240-80f0-fb7085a1ee6f","Safety Study","2023-09-29"
"Code_139","http://www.cdisc.org","C49663","Code","28f80b16-17dd-487f-afb4-a7de90411ee1","Pharmacokinetic Study","2023-09-29"
"Code_133","SPONSOR","MILD_MOD_ALZ","Code","6f076014-a97c-4fc1-8bc2-9e64a3379848","Mild to Moderate Alzheimer's Disease","12"
"Code_134","SNOMED","26929004","Code","7d4bc2d9-2d08-46c8-a54b-e387af426cd1","Alzheimer's disease","January 31, 2018"
"Code_142","http://www.cdisc.org","C99907x1","Code","91f350ce-ac5c-4bea-93e4-5f97613f63c6","EXTENSION","2023-09-29"
"Code_143","http://www.cdisc.org","C98704","Code","3e765684-0842-44f3-bcc1-e3dd4893a760","ADAPTIVE","2023-09-29"
"Code_140","http://www.cdisc.org","C82639","Code","3e36d504-ecdf-4f42-85bc-a57fa1746dbc","Parallel Study","2023-09-29"
"Code_82","http://www.cdisc.org","C25716","Code","a872bdc9-5d24-4a58-b3c4-5f35122b5322","Visit","2023-09-29"
"Code_83","http://www.cdisc.org","C51282","Code","c4d7c257-e38b-40f6-ab32-32f794485c68","Clinic","2023-09-29"
"Code_84","http://www.cdisc.org","C175574","Code","0646a0b1-04a9-4454-a28e-bf5d7099b74e","In Person","2023-09-29"
"Code_85","http://www.cdisc.org","C25716","Code","ab642d75-cecf-434e-b021-961f1c243895","Visit","2023-09-29"
"Code_86","http://www.cdisc.org","C51282","Code","01bebafe-c8fe-48a4-80a5-2589da420589","Clinic","2023-09-29"
"Code_87","http://www.cdisc.org","C175574","Code","d4c8bb57-4edc-4d72-9737-4d916e2bad2a","In Person","2023-09-29"
"Code_88","http://www.cdisc.org","C25716","Code","228a8c3f-6763-4245-9759-b18c300d4b43","Visit","2023-09-29"
"Code_89","http://www.cdisc.org","C51282","Code","a52612dc-d900-4271-910b-584e8549d150","Clinic","2023-09-29"
"Code_90","http://www.cdisc.org","C175574","Code","2ccb8740-9ab5-478c-922a-21b950062683","In Person","2023-09-29"
"Code_91","http://www.cdisc.org","C25716","Code","2e638505-e77b-4014-af46-736efdfe4884","Visit","2023-09-29"
"Code_92","http://www.cdisc.org","C51282","Code","89c2b0fb-29ed-4275-96ac-26d79c8c1aac","Clinic","2023-09-29"
"Code_93","http://www.cdisc.org","C175574","Code","129ad27b-df8c-4b6a-8820-6768d7f3167d","In Person","2023-09-29"
"Code_94","http://www.cdisc.org","C25716","Code","2e6a5ec4-8d66-46c1-a179-209dc3721fa1","Visit","2023-09-29"
"Code_95","http://www.cdisc.org","C51282","Code","cd44cdd1-fc2c-48bc-b774-d301a4652f0a","Clinic","2023-09-29"
"Code_96","http://www.cdisc.org","C175574","Code","289a228c-b158-4fb6-98da-0afdf55c90b1","In Person","2023-09-29"
"Code_97","http://www.cdisc.org","C25716","Code","6e36355c-7ff8-41ae-a56d-2e4efc0041af","Visit","2023-09-29"
"Code_98","http://www.cdisc.org","C51282","Code","4276a02a-92c8-4bb8-8f93-6fd23474a85e","Clinic","2023-09-29"
"Code_99","http://www.cdisc.org","C175574","Code","96fe2284-ac0a-4653-aada-4f2a6e89fd10","In Person","2023-09-29"
"Code_100","http://www.cdisc.org","C25716","Code","1c6c8e9d-30bb-423a-ad60-74d916eb24a1","Visit","2023-09-29"
"Code_101","http://www.cdisc.org","C51282","Code","f85664cd-0229-4bb0-b923-9977aa0b0208","Clinic","2023-09-29"
"Code_102","http://www.cdisc.org","C175574","Code","b700b7a4-47ab-45c2-a09e-5dbcec317c3f","In Person","2023-09-29"
"Code_103","http://www.cdisc.org","C171537","Code","29d6d55e-03c1-4e4e-8601-9a8817b157d9","Telephone Call","2023-09-29"
"Code_104","http://www.cdisc.org","C25716","Code","771ee272-dc40-470f-804c-2c1c9142181c","Visit","2023-09-29"
"Code_105","http://www.cdisc.org","C51282","Code","d3b5255e-0ff6-4732-9b35-5e9c6e6cb5d7","Clinic","2023-09-29"
"Code_106","http://www.cdisc.org","C175574","Code","6ac8b107-0cec-4683-a77a-f94302224ed8","In Person","2023-09-29"
"Code_107","http://www.cdisc.org","C171537","Code","beb9f6d9-97b8-4d6b-b39e-10e1cb867dc3","Telephone Call","2023-09-29"
"Code_108","http://www.cdisc.org","C25716","Code","502e3b78-61f5-44e5-82f6-946de62158b9","Visit","2023-09-29"
"Code_109","http://www.cdisc.org","C51282","Code","30883ae3-17c0-40e6-b216-c047fd7e23fb","Clinic","2023-09-29"
"Code_110","http://www.cdisc.org","C175574","Code","da31fb0f-70cc-4216-84c9-83dba82353c2","In Person","2023-09-29"
"Code_111","http://www.cdisc.org","C171537","Code","40fc6b13-cd80-40e6-a486-b47eaa023bf7","Telephone Call","2023-09-29"
"Code_112","http://www.cdisc.org","C25716","Code","90716065-b39c-4dfc-98e1-a9eb6442d0fc","Visit","2023-09-29"
"Code_113","http://www.cdisc.org","C51282","Code","38d440c4-bc22-4c6e-b9c4-9be00808f09b","Clinic","2023-09-29"
"Code_114","http://www.cdisc.org","C175574","Code","b2adcd23-ee5b-49a3-9a79-9ddc334d04b1","In Person","2023-09-29"
"Code_115","http://www.cdisc.org","C171537","Code","748bc932-0ec6-46eb-87e5-63cc61f300ef","Telephone Call","2023-09-29"
"Code_116","http://www.cdisc.org","C25716","Code","50f5914b-f598-4516-84aa-64a400229e35","Visit","2023-09-29"
"Code_117","http://www.cdisc.org","C51282","Code","46e52b67-9a6f-4a68-a778-8cd28e38213a","Clinic","2023-09-29"
"Code_118","http://www.cdisc.org","C175574","Code","94768659-2b3b-4080-8f10-29ad979f93a2","In Person","2023-09-29"
"Code_119","http://www.cdisc.org","C25716","Code","6bcb8a6d-5a4d-4f9c-9b9d-a142cea5c1a9","Visit","2023-09-29"
"Code_120","http://www.cdisc.org","C51282","Code","8dc097c1-66cd-4200-a841-db68c47050f7","Clinic","2023-09-29"
"Code_121","http://www.cdisc.org","C175574","Code","aa9a95cf-ccd3-46dc-9404-c892c1101724","In Person","2023-09-29"
"Code_79","SNOMED","383371000119108","Code","6054a287-d337-4fab-8ac3-be8f7f0637c9","CT of head without contrast","January 31, 2018"
"Code_80","SPONSOR","123","Code","cbfa4031-b54f-4bec-b3eb-4a9d73c1ab58","Subject Supine","12"
"Code_81","SPONSOR","124","Code","515fe794-ee01-4c73-961b-41e234ef1b13","Subject Standing","12"
"Code_278","NCI Thesaurus","C173522","Code","5345fa40-177b-4860-aafa-2a230ba669ab","Vital Signs Result",""
"Code_279","http://www.cdisc.org","C42537","Code","616b8447-adbd-49bf-a743-8d8f8a92b7cd","Kelvin","2023-09-29"
"Code_280","NCI Thesaurus","C44276","Code","2b5279c5-9042-40a6-96e7-14dca264e72b","Unit of Temperature",""
"Code_281","NCI Thesaurus","C83088","Code","699e66f0-d38a-4e4c-bad9-1aef032f4a81","Vital Signs Location",""
"Code_277","NCI Thesaurus","C174446","Code","34d42073-702f-4165-8ede-f591b8fe5bae","Body Temperature",""
"Code_283","NCI Thesaurus","C173522","Code","464cf2ef-5a28-4df5-b0ed-c69592642a10","Vital Signs Result",""
"Code_284","http://www.cdisc.org","C28252","Code","e3095852-aa6c-4b96-9a5f-b79ff0086055","Kilogram","2023-09-29"
"Code_285","http://www.cdisc.org","C48155","Code","383d0f2e-cc2f-4575-8f8d-d7fa0293b4cf","Gram","2023-09-29"
"Code_286","http://www.cdisc.org","C48531","Code","e9c545af-292d-4c47-af8f-d36e8570f1d9","Pound","2023-09-29"
"Code_287","NCI Thesaurus","C48208","Code","d1ee5467-ff81-4163-b0ba-517105347944","Unit of Weight",""
"Code_282","NCI Thesaurus","C81328","Code","78edf3bc-a94c-4800-8238-26f33d86adad","Body Weight",""
"Code_289","NCI Thesaurus","C173522","Code","60f076d2-de10-40db-83ab-f13305a99dbd","Vital Signs Result",""
"Code_290","http://www.cdisc.org","C49668","Code","79e2f498-ad8b-4bec-8fa5-bf6e51dc27d7","Centimeter","2023-09-29"
"Code_291","http://www.cdisc.org","C48500","Code","8940749d-949c-41eb-9384-5ec85fc473d9","Inch","2023-09-29"
"Code_292","http://www.cdisc.org","C28251","Code","169f43e3-f21b-475e-b273-86c3296cb9de","Millimeter","2023-09-29"
"Code_293","http://www.cdisc.org","C41139","Code","20c3545e-675b-45ee-a9aa-d61ed94389de","Meter","2023-09-29"
"Code_294","NCI Thesaurus","C168688","Code","9ceadaf3-6c34-4042-a5e6-a0b340f57e42","Unit of Height",""
"Code_288","NCI Thesaurus","C164634","Code","99b023ad-ba32-4e8f-a72a-d42f54cc0ad0","Body Height",""
"Code_296","NCI Thesaurus","C36292","Code","6c509fdd-aa9f-459a-8797-3bcba228b07c","Laboratory Test Result",""
