"text","name","id","uuid:ID","instanceType"
"Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule_1","4296e50c-0e14-41e4-a9ff-a0047882b4d0","TransitionRule"
"completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule_2","40c014b6-863c-42a2-826c-98c97a78f22b","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule_3","b737bf90-d180-49fe-b534-7e552d9e8deb","TransitionRule"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule_4","a82a2165-bb10-4129-b5bb-33b87fcf2c6a","TransitionRule"
"Radomized","ENCOUNTER_START_RULE_3","TransitionRule_5","80dc4806-11e9-42a6-a205-0ecf94c19bbe","TransitionRule"
"End of treatment","ENCOUNTER_START_RULE_12","TransitionRule_6","bfde9c6f-c10a-4cf0-b6ec-a1f8e4b32426","TransitionRule"
"Informed consent","ELEMENT_START_RULE_1","TransitionRule_7","88177f24-172d-45f3-9910-c378791be484","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule_8","710852d7-5349-4ab7-aee7-f1efa57d8983","TransitionRule"
"Administration of first dose","ELEMENT_START_RULE_2","TransitionRule_9","e83fc0e2-7b57-4f2f-931d-75ee44e87d73","TransitionRule"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule_14","af9af833-9a0f-4490-b3f8-85057e1bc967","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule_15","a9e79671-ec5b-4fcc-9c80-992c8fe27f05","TransitionRule"
"Administration of first dose","ELEMENT_START_RULE_3","TransitionRule_10","e029c1de-53ab-4b01-82e6-6aad23a119ba","TransitionRule"
"Randomized","ELEMENT_START_RULE_4","TransitionRule_11","66971104-20b5-4146-adf8-7f617f020e5e","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule_12","76965f09-30c8-4a49-8c59-dbd16469bdf1","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule_13","42e3d9df-6d80-4b79-a410-11826e900315","TransitionRule"
