"name","id","description","label","uuid:ID","instanceType"
"Informed consent","Activity_1","","","c4d8316e-2c50-46d3-8707-ac70cbc12dcb","Activity"
"Inclusion/exclusion criteria","Activity_2","","","9d594682-b3d3-4035-895f-913213f23301","Activity"
"Patient number assigned","Activity_3","","","36c3ec8a-7ccb-4d13-b32e-796f2675db48","Activity"
"Demographics","Activity_4","","Demographics","ea1a08de-05d3-4ba6-96e8-605e54591c9f","Activity"
"Hachinski","Activity_5","","Hachinski","8a2b3929-c0e3-4146-b7b9-27251d6d18e7","Activity"
"MMSE","Activity_6","","MMSE","d66fa020-f850-4be3-861b-dd942266c978","Activity"
"Physical examination","Activity_7","","","15d0c0ee-7c3e-4f5e-a817-fcfe6d538c60","Activity"
"Medical history","Activity_8","","","b6df2d8e-8f2c-4144-b57c-a90a6cb874d2","Activity"
"Habits","Activity_9","","","cbc4a00d-3e29-4d0e-90a2-881974c2bdd6","Activity"
"Chest X-ray","Activity_10","","","e654e53a-4f1f-492b-b05e-2f1b5215c971","Activity"
"Apo E genotyping","Activity_11","","","3a216a5a-38f2-4a86-aa75-8eae5c6202e4","Activity"
"Patient randomised","Activity_12","","","f785c82c-20de-4539-b2ff-3d43b9115a32","Activity"
"Vital signs / Temperature","Activity_13","","Vital Signs and Temperature","79cb2385-76eb-412f-a2d3-253be5487480","Activity"
"Ambulatory ECG placed","Activity_14","","","53a0845c-7b50-4336-b746-b04327dc6569","Activity"
"Ambulatory ECG removed","Activity_15","","","8dc6e8cc-de1e-462c-b858-c3f500b6e117","Activity"
"ECG","Activity_16","","","5dca357e-3fa4-47d3-bb59-ca4c95891df7","Activity"
"Placebo TTS test","Activity_17","","","63b3605b-a8e4-4380-830e-0d8c9882a7f8","Activity"
"CT scan","Activity_18","","","fca5934c-4947-4d16-852c-c1017cd28c13","Activity"
"Concomitant medications","Activity_19","","","eb6fb2c2-2fdc-47da-ac86-384d2a7a2ab3","Activity"
"Hematology","Activity_20","","","e1b1ef03-1a49-4236-835b-2392711ebb13","Activity"
"Chemistry","Activity_21","","","9f3e7196-8dec-491e-bae3-49f7bea1fb04","Activity"
"Uninalysis","Activity_22","","","9f2e0991-d316-48c1-8c38-3614edc621c0","Activity"
"Plasma Specimen (Xanomeline)","Activity_23","","","401dd2eb-f31c-4a00-abda-54873c814f34","Activity"
"Hemoglobin A1C","Activity_24","","","3725ebd8-fd28-47d4-8ad8-9b7d6d5d133c","Activity"
"Study drug","Activity_25","","Study drug record , Medications dispensed, Medications returned","dcb30054-f36f-4c8e-b9b7-01db6b26c7b2","Activity"
"TTS Acceptability Survey","Activity_26","","","37083c94-c712-49af-9a35-fc2294b44766","Activity"
"ADAS-Cog","Activity_27","","","78fad606-27ab-4f7b-b92f-13d3a4ef543c","Activity"
"CIBIC+","Activity_28","","","e383e94d-a49c-4aec-ad00-bac6faa848c9","Activity"
"DAD","Activity_29","","","7da21746-936e-4415-899c-d281721cf9e0","Activity"
"NPI-X","Activity_30","","","7dc81f17-028b-49f2-a8af-18a8655d9118","Activity"
"Adverse events","Activity_31","","","8e196aa7-c1f3-4c8e-8d83-cd0789287510","Activity"
"Check adverse events","Activity_32","","","e3de05b5-0de6-441d-bdc6-d16ac8cabd6f","Activity"
"Supine","Activity_33","","Subject supine","8fbf6b21-8aed-4a32-92ac-bc4a8973e8c6","Activity"
"Vital Signs Supine","Activity_34","","Vital signs while supine","0d92855d-14a4-4561-9200-6b8b5a33d90c","Activity"
"Stand","Activity_35","","Subject Standing","bbb284f5-588a-4b3c-9d02-4a6929e3df17","Activity"
"Vital Signs Standing","Activity_36","","Vital signs while standing","1c38d5e8-4205-40a6-8386-90d956a2dcad","Activity"
