"sectionNumber","text","name","id","sectionTitle","uuid:ID","instanceType"
"0","","ROOT","NarrativeContent_1","Root","4587c24a-5fe6-4c5f-859b-0b9e9772ef98","NarrativeContent"
"0","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","NarrativeContent_2","TITLE PAGE","50c4e8cc-4495-4ba0-b066-3518702cd266","NarrativeContent"
"1","<div></div>","SECTION 1","NarrativeContent_3","PROTOCOL SUMMARY","c2072000-6e57-4b63-a4c6-dd04ec785991","NarrativeContent"
"1.1","<div></div>","SECTION 1.1","NarrativeContent_4","Protocol Synopsis","9f1635fb-a0ab-4222-9d43-88e5e0f7aed1","NarrativeContent"
"1.2","<div></div>","SECTION 1.2","NarrativeContent_5","Trial Schema","803ce5d8-ce80-494a-a0a4-eee9b4c1f970","NarrativeContent"
"1.3","<div></div>","SECTION 1.3","NarrativeContent_6","Schedule of Activities","34305940-105f-4282-bca5-5b539555e937","NarrativeContent"
"2","<div></div>","SECTION 2","NarrativeContent_7","INTRODUCTION","09efedb9-609f-4de9-a2d9-aeaf0b8d1c28","NarrativeContent"
"2.1","<div></div>","SECTION 2.1","NarrativeContent_8","Purpose of Trial","9db02284-7c3f-445e-af37-f13adcf59c80","NarrativeContent"
"2.2","<div></div>","SECTION 2.2","NarrativeContent_9","Summary of Benefits and Risks","ce10add2-020c-4610-b665-7f452dce718d","NarrativeContent"
"3","<div></div>","SECTION 3","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","a8a56af8-d1c6-4691-acfc-a195a15d6ba5","NarrativeContent"
"3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","NarrativeContent_11","Primary Objectives","0a168cd9-0e91-45d8-ab9d-cdd005fd58c4","NarrativeContent"
"4","<div></div>","SECTION 4","NarrativeContent_12","TRIAL DESIGN","1e971f37-66dd-4572-be50-311547dc0f5f","NarrativeContent"
"4.1","<div></div>","SECTION 4.1","NarrativeContent_13","Description of Trial Design","63ae8e22-9ba1-46f0-9dcf-5aa4501c3d82","NarrativeContent"
"4.1.1","<div></div>","SECTION 4.1.1","NarrativeContent_14","Participant Input into Design","a254bbd5-3c87-4d45-9773-90a26ea8e106","NarrativeContent"
