"name","id","reference","synonyms","label","uuid:ID","instanceType"
"Body Temperature","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature","5ac75bfb-e455-47a5-8a5c-a400baeb13c8","BiomedicalConcept"
"Body Weight","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight","981963f8-ec27-4793-96f8-e0cb92dd1281","BiomedicalConcept"
"Body Height","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height","976ff532-ee1e-4dee-a56d-933e0d604902","BiomedicalConcept"
"Alanine Aminotransferase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","2643b599-320d-4432-8b12-5e538d6e56f1","BiomedicalConcept"
"Albumin Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","554428d7-53b2-48ea-8628-a0f37ea0d75b","BiomedicalConcept"
"Alkaline Phosphatase Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","6cd39778-1f90-4f1e-ad50-d151c061c25b","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","e456f29e-9b80-4159-8e93-f321db728b14","BiomedicalConcept"
"Creatinine Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","d849e201-abed-4c36-a21b-6d6c8408b311","BiomedicalConcept"
"Potassium Measurement","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","e2dcee24-b0f1-4fc5-803f-0672da7764c8","BiomedicalConcept"
"Sodium Measurement","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","3df88710-e7c5-498f-aa4c-ce650160ef54","BiomedicalConcept"
"Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","Adverse Event","fb7f5c1f-d5e7-4d33-a9fc-c69f588da31c","BiomedicalConcept"
"Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","fdbd1e7f-dad9-496b-a040-e03da6787744","BiomedicalConcept"
"Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","f297afec-a9d6-4b07-9b43-b23ba498a287","BiomedicalConcept"
"Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature","fd163d19-2199-4167-9383-4ac51c24f042","BiomedicalConcept"
"Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight","17e1dd5e-03ce-4120-9847-0e5a0a7b1eb2","BiomedicalConcept"
