"isRequired","name","id","isEnabled","label","uuid:ID","datatype","instanceType"
"True","Vital Signs Result","BiomedicalConceptProperty_98","True","Vital Signs Result","ece3c783-0bf7-46a7-9f5a-2979e0efefce","decimal","BiomedicalConceptProperty"
"True","Unit of Temperature","BiomedicalConceptProperty_99","True","Unit of Temperature","1de7f367-ab33-4f26-91e5-494054733eea","string","BiomedicalConceptProperty"
"True","Vital Signs Location","BiomedicalConceptProperty_100","True","Vital Signs Location","96cefa4e-0fa4-4b62-96ba-0a88ce078e35","string","BiomedicalConceptProperty"
"True","Vital Signs Result","BiomedicalConceptProperty_101","True","Vital Signs Result","25205a19-7f3b-4a9e-9a19-5bdc5079d4a2","decimal","BiomedicalConceptProperty"
"True","Unit of Weight","BiomedicalConceptProperty_102","True","Unit of Weight","db42496d-fc46-41b1-96f5-d4083846966a","string","BiomedicalConceptProperty"
"True","Vital Signs Result","BiomedicalConceptProperty_103","True","Vital Signs Result","dd31f9aa-f8c6-4a67-832b-228e0e69ef6f","decimal","BiomedicalConceptProperty"
"True","Unit of Height","BiomedicalConceptProperty_104","True","Unit of Height","9997dd94-6d6f-450e-93ac-cc5911a47c72","string","BiomedicalConceptProperty"
"True","Laboratory Test Result","BiomedicalConceptProperty_105","True","Laboratory Test Result","1a304ef2-36f7-4f0f-90c2-739e9451a87a","decimal","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","True","Laboratory Test Fasting Status","9b70246b-37b3-4bf1-8347-68f103900e82","boolean","BiomedicalConceptProperty"
"True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","True","Unit of Catalytic Activity Concentration","68c04807-6c3b-43a5-b5e4-b7489869b334","string","BiomedicalConceptProperty"
"True","Biospecimen Type","BiomedicalConceptProperty_108","True","Biospecimen Type","3b6d7bff-313a-41fc-96e3-fd900ba8e331","string","BiomedicalConceptProperty"
"True","Laboratory Test Result","BiomedicalConceptProperty_109","True","Laboratory Test Result","ee21ef74-eaed-4290-92eb-942ea33f28c1","string","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","True","Laboratory Test Fasting Status","1e160a9d-d493-4e80-9db9-ff222529ea4f","boolean","BiomedicalConceptProperty"
"True","Unit of Concentration","BiomedicalConceptProperty_111","True","Unit of Concentration","630f251d-188e-4feb-a9b4-73fc8ca48066","string","BiomedicalConceptProperty"
"True","Biospecimen Type","BiomedicalConceptProperty_112","True","Biospecimen Type","782a0fcf-3890-476e-9616-78e307cff964","string","BiomedicalConceptProperty"
"True","Laboratory Test Result","BiomedicalConceptProperty_113","True","Laboratory Test Result","257a1f5e-1781-4584-8c80-e7cd6aa3198d","decimal","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","True","Laboratory Test Fasting Status","db61e5d0-4eba-40ad-ae27-5fb080f73b7a","boolean","BiomedicalConceptProperty"
"True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_115","True","Unit of Catalytic Activity Concentration","6863712a-4479-4b3e-b799-bfe0303efadd","string","BiomedicalConceptProperty"
"True","Biospecimen Type","BiomedicalConceptProperty_116","True","Biospecimen Type","f95832f1-4b3c-4ddf-8691-d3755a4ca343","string","BiomedicalConceptProperty"
"True","Laboratory Test Result","BiomedicalConceptProperty_117","True","Laboratory Test Result","06ba7593-7546-4e4e-b689-81c35ebd72b6","decimal","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","True","Laboratory Test Fasting Status","4d060fda-905e-4ba2-822e-7ab510d6dbef","boolean","BiomedicalConceptProperty"
"True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_119","True","Unit of Catalytic Activity Concentration","082b58a5-0b4c-4d06-ae8f-bee28532b6b8","string","BiomedicalConceptProperty"
"True","Biospecimen Type","BiomedicalConceptProperty_120","True","Biospecimen Type","69aa5e91-11ce-4a4e-9ec9-673eefa5af2b","string","BiomedicalConceptProperty"
"True","Laboratory Test Result","BiomedicalConceptProperty_121","True","Laboratory Test Result","d08566d7-03b8-45cb-8590-7a6e737e45c8","string","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty_122","True","Laboratory Test Fasting Status","04b0f3af-ec31-4533-902e-eae5dc4aaea6","boolean","BiomedicalConceptProperty"
"True","Unit of Concentration","BiomedicalConceptProperty_123","True","Unit of Concentration","3518158b-d5b7-46c2-9c62-bf5e80f60e7c","string","BiomedicalConceptProperty"
"True","Biospecimen Type","BiomedicalConceptProperty_124","True","Biospecimen Type","a618cd8d-b742-4b10-8f9b-34db6f27755a","string","BiomedicalConceptProperty"
"True","Laboratory Test Result","BiomedicalConceptProperty_125","True","Laboratory Test Result","470dc541-10a4-42af-b616-88eeff620af4","decimal","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty_126","True","Laboratory Test Fasting Status","065b7e93-9499-4179-974f-8b8967dba7c4","boolean","BiomedicalConceptProperty"
"True","Molarity Unit","BiomedicalConceptProperty_127","True","Molarity Unit","d8efd860-9d8d-4cb1-b897-048e1b126db1","string","BiomedicalConceptProperty"
"True","Biospecimen Type","BiomedicalConceptProperty_128","True","Biospecimen Type","31a3142a-1b59-4d75-87ff-270ed597f108","string","BiomedicalConceptProperty"
"True","Laboratory Test Result","BiomedicalConceptProperty_129","True","Laboratory Test Result","42c7fc73-7552-4694-ab74-0ed21e573908","decimal","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","BiomedicalConceptProperty_130","True","Laboratory Test Fasting Status","858ca20a-8542-4402-9090-f77fa1c63371","boolean","BiomedicalConceptProperty"
"True","Molarity Unit","BiomedicalConceptProperty_131","True","Molarity Unit","425b168b-6292-4c69-aa48-ac3e34e41658","string","BiomedicalConceptProperty"
"True","Biospecimen Type","BiomedicalConceptProperty_132","True","Biospecimen Type","7a0d2931-5dca-47c9-a617-71dea3bcff7b","string","BiomedicalConceptProperty"
"True","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","True","Adverse Event Verbatim Description","f8963cb0-5894-4555-9957-8d6c3cccfdfe","string","BiomedicalConceptProperty"
"True","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","True","Adverse Event Dictionary Derived Term","3b864914-975e-4efb-8ed7-7dff19900301","string","BiomedicalConceptProperty"
"True","Adverse Event Category","BiomedicalConceptProperty_3","True","Adverse Event Category","9174abbd-c8b1-4dc7-bfbc-d27c46505c4e","string","BiomedicalConceptProperty"
