"windowLower","name","id","windowUpper","description","value","label","uuid:ID","window","instanceType"
"","TIM1","Timing_1","","Screening timing","P2W","Screening","6d35619c-9051-4019-9670-b467e1f2f136","","Timing"
"PT4H","TIM2","Timing_2","PT0H","Pre dose timing","P2D","Pre dose","c436955c-c6c5-421c-b90e-e4deeaa30c6b","-4..0 hours","Timing"
"","TIM3","Timing_3","","Dosing anchor","P1D","Dosing","18035ad0-172d-41a4-8111-410ae7f6c0df","","Timing"
"P3D","TIM4","Timing_4","P3D","Week 2 timing","P2W","Week 2","657354e1-eedf-4cb6-94d3-2a0651d98d78","-3..3 days","Timing"
"P3D","TIM5","Timing_5","P3D","Week 4 timing","P4W","Week 4","9d773213-e27b-4bf7-a0ea-b49ba2d9a474","-3..3 days","Timing"
"P3D","TIM6","Timing_6","P3D","Week 6 timing","P6W","Week 6","90b16652-a60f-4521-b085-825aed71b728","-3..3 days","Timing"
"P3D","TIM7","Timing_7","P3D","Week 8 timing","P8W","Week 8","b40f2e01-2403-4f6c-8642-557565666973","-3..3 days","Timing"
"P4D","TIM9","Timing_9","P4D","Week 12 timing","P12W","Week 12","0f316681-6141-46c3-bec4-44d37f7770ff","-4..4 days","Timing"
"P4D","TIM11","Timing_11","P4D","Week 16 timing","P16W","Week 16","de1e4bac-e4f4-408b-900c-74ff435c40a0","-4..4 days","Timing"
"P4D","TIM13","Timing_13","P4D","Week 20 timing","P20W","Week 20","00b82ad2-e6a0-44f0-8ad7-6ab9ffed7fd3","-4..4 days","Timing"
"P4D","TIM15","Timing_15","P4D","Week 24 timing","P24W","Week 24","f38b27bc-2987-479b-849e-44b76cdcb02a","-4..4 days","Timing"
"P3D","TIM16","Timing_16","P3D","Week 26 timing","P26W","Week 26","1618098b-bba7-4c00-9ba6-adc50306da18","-3..3 days","Timing"
"","TIM8","Timing_8","","Week 8 at home timing","P2W","Week 8 Home","7732fb0a-37e1-4131-9d4f-69949262c55e","","Timing"
"","TIM10","Timing_10","","Week 12 at home timing","P2W","Week 12 Home","e7f295be-a246-443c-9060-8b094d8eba74","","Timing"
"","TIM12","Timing_12","","Week 16 at home timing","P2W","Week 16 Home","d3cd70a0-62d4-4ab4-b77b-3c389cb370d3","","Timing"
"","TIM14","Timing_14","","Week 20 at home timing","P2W","Week 20 Home","c02389b2-05e7-4ad7-b49c-39704ac20107","","Timing"
"","TIM17","Timing_17","","Adverse Event","P1D","Adverse Event","576ddb84-f049-4704-98a6-1d95dcf6d603","","Timing"
"","TIM18","Timing_18","","Early Termination","P1D","Early Termination","6794ae5c-4dde-40fc-9aa9-5c0f3227c841","","Timing"
"","TIM19","Timing_19","","Supine","PT0M","Supine","b7ce278a-e93e-4268-b966-193c25b0c5e4","","Timing"
"","TIM20","Timing_20","","VS while supine","PT5M","VS while supine","2d0341e2-a364-4659-bb54-384fe3d62938","","Timing"
"","TIM21","Timing_21","","Standing","PT0M","Standing","71fc6ccb-2fb2-4d11-bfcc-96e6cd8ed0b4","","Timing"
"","TIM22","Timing_22","","VS while standing","PT1M","VS while standing","577b945e-885b-4710-99c4-e9f5a876538b","","Timing"
"","TIM23","Timing_23","","Standing","PT0M","Standing","c968fd7d-68a5-432f-8bc8-aa3f0b41b553","","Timing"
"","TIM24","Timing_24","","VS while standing","PT2M","VS while standing","95ae740f-7357-45b6-8b5d-b39a6967ed75","","Timing"
